"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
337,"K",9.437,0.2,47.127,0,0.993,0.051,17,100
338,"theta",8637.447,544793.033,0.016,0.988,0.997,0.051,18,100
338,"m0",0.18,0.017,10.549,0,0.997,0.051,18,100
338,"K",9.898,0.181,54.733,0,0.997,0.051,18,100
339,"theta",17105.427,1986872.642,0.009,0.993,0.992,0.051,19,100
339,"m0",0.175,0.015,11.637,0,0.992,0.051,19,100
339,"K",10.279,0.235,43.749,0,0.992,0.051,19,100
340,"theta",21317.708,2679604.659,0.008,0.994,0.993,0.051,20,100
340,"m0",0.171,0.014,11.855,0,0.993,0.051,20,100
340,"K",10.566,0.338,31.245,0,0.993,0.051,20,100
341,"theta",7585.804,390664.091,0.019,0.985,0.972,0.054,1,100
341,"m0",0.212,0.011,18.94,0,0.972,0.054,1,100
341,"K",0.603,0.119,5.08,0,0.972,0.054,1,100
342,"theta",20343.428,565500.181,0.036,0.972,0.981,0.054,2,100
342,"m0",0.249,0.01,25.338,0,0.981,0.054,2,100
342,"K",1.239,0.16,7.735,0,0.981,0.054,2,100
343,"theta",18583.661,785437.684,0.024,0.981,0.98,0.054,3,100
343,"m0",0.254,0.01,24.333,0,0.98,0.054,3,100
343,"K",2.059,0.199,10.373,0,0.98,0.054,3,100
344,"theta",23590.093,690515.888,0.034,0.973,0.989,0.054,4,100
344,"m0",0.248,0.007,35.996,0,0.989,0.054,4,100
344,"K",2.843,0.153,18.623,0,0.989,0.054,4,100
345,"theta",28338.945,734582.575,0.039,0.97,0.989,0.054,5,100
345,"m0",0.252,0.007,34.148,0,0.989,0.054,5,100
345,"K",3.404,0.183,18.648,0,0.989,0.054,5,100
346,"theta",25883.654,679914.211,0.038,0.97,0.994,0.054,6,100
346,"m0",0.233,0.005,44.934,0,0.994,0.054,6,100
346,"K",4.337,0.131,33.196,0,0.994,0.054,6,100
347,"theta",25483.759,1245979.057,0.02,0.984,0.992,0.054,7,100
347,"m0",0.237,0.008,28.165,0,0.992,0.054,7,100
347,"K",4.615,0.165,28.003,0,0.992,0.054,7,100
348,"theta",43996.928,757070.285,0.058,0.954,0.995,0.054,8,100
348,"m0",0.229,0.004,53.15,0,0.995,0.054,8,100
348,"K",5.463,0.135,40.602,0,0.995,0.054,8,100
349,"theta",18783.802,1089386.459,0.017,0.986,0.993,0.054,9,100
349,"m0",0.229,0.008,29.468,0,0.993,0.054,9,100
349,"K",5.805,0.243,23.845,0,0.993,0.054,9,100
350,"theta",18331.097,2010121.891,0.009,0.993,0.993,0.054,10,100
350,"m0",0.223,0.015,14.63,0,0.993,0.054,10,100
350,"K",6.435,0.197,32.677,0,0.993,0.054,10,100
351,"theta",21716.961,584902.78,0.037,0.971,0.997,0.054,11,100
351,"m0",0.215,0.006,36.616,0,0.997,0.054,11,100
351,"K",6.922,0.152,45.536,0,0.997,0.054,11,100
