"Mean","Range","Variance","Standard.Deviation","Standard.Error","maxArea","ModelOrSim"
10.793,"1 - 39",31.322,5.597,0.006,400,"SolmanSim"
10.71,"1 - 21.45",34.647,5.886,0.007,400,"ChisholmMod"
4.419,"1 - 19",10.456,3.234,0.009,20,"SolmanSim"
5.146,"1 - 20",26.206,5.119,0.014,20,"ChisholmMod"
