"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",8.13,0.034,242.552,"$<$ 0.001",0.566,"Area"
"2","z.area",2.797,0.034,83.443,"$<$ 0.001",0.566,"Area"
"3","(Intercept)",8.13,0.026,311.431,"$<$ 0.001",0.737,"Niches"
"4","z.K_num",3.191,0.026,122.233,"$<$ 0.001",0.737,"Niches"
