"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",10.793,0.013,814.755,"$<$ 0.001",0.947,"Niche_Area_Migration"
"2","z.K_num",2.613,0.018,148.326,"$<$ 0.001",0.947,"Niche_Area_Migration"
"3","z.area",2.736,0.018,155.289,"$<$ 0.001",0.947,"Niche_Area_Migration"
"4","z.migration",1.091,0.013,82.343,"$<$ 0.001",0.947,"Niche_Area_Migration"
"5","(Intercept)",10.793,0.018,599.386,"$<$ 0.001",0.902,"Niche_Area"
"6","z.K_num",2.613,0.024,109.118,"$<$ 0.001",0.902,"Niche_Area"
"7","z.area",2.736,0.024,114.241,"$<$ 0.001",0.902,"Niche_Area"
"8","(Intercept)",10.793,0.029,369.481,"$<$ 0.001",0.741,"Niche"
"9","z.K_num",4.416,0.029,151.172,"$<$ 0.001",0.741,"Niche"
