"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.213,0.011,477.661,"$<$ 0.001",0.972,"Niche_Area_Migration"
"2","z.K_num",2.704,0.011,237.188,"$<$ 0.001",0.972,"Niche_Area_Migration"
"3","z.area",0.637,0.011,55.871,"$<$ 0.001",0.972,"Niche_Area_Migration"
"4","z.migration",0.251,0.011,23.026,"$<$ 0.001",0.972,"Niche_Area_Migration"
"5","(Intercept)",5.213,0.012,428.032,"$<$ 0.001",0.965,"Niche_Area"
"6","z.K_num",2.704,0.013,212.545,"$<$ 0.001",0.965,"Niche_Area"
"7","z.area",0.637,0.013,50.066,"$<$ 0.001",0.965,"Niche_Area"
"8","(Intercept)",5.213,0.018,291.166,"$<$ 0.001",0.923,"Niche"
"9","z.K_num",2.888,0.018,161.247,"$<$ 0.001",0.923,"Niche"
