"migration_rate","area","niches","mean_sp"
0.002,1,1,1
0.002,2,2,1.96
0.002,2,1,1
0.002,3,3,2.95
0.002,3,1,1.01
0.002,4,4,3.69
0.002,4,2,1.97
0.002,4,1,1.01
0.002,5,5,4.63
0.002,5,1,1.03
0.002,6,6,5.55
0.002,6,3,2.87
0.002,6,2,2.02
0.002,6,1,1.04
0.002,7,7,6.35
0.002,7,1,1.04
0.002,8,8,7.05
0.002,8,4,3.73
0.002,8,2,2.01
0.002,8,1,1.06
0.002,9,9,7.9
0.002,9,3,2.93
0.002,9,1,1.11
0.002,10,10,8.64
0.002,10,5,4.65
0.002,10,2,2.07
0.002,10,1,1.11
0.002,11,11,9.6
0.002,11,1,1.1
0.002,12,12,10.17
0.002,12,6,5.62
0.002,12,4,3.84
0.002,12,3,2.9
0.002,12,2,2.05
0.002,12,1,1.1
0.002,13,13,11.03
0.002,13,1,1.14
0.002,14,14,11.49
0.002,14,7,6.48
0.002,14,2,2.05
0.002,14,1,1.12
0.002,15,15,12.25
0.002,15,5,4.76
0.002,15,3,2.94
0.002,15,1,1.12
0.002,16,8,7.07
0.002,16,4,3.95
0.002,16,2,2.02
0.002,18,9,8.05
0.002,18,6,5.61
0.002,18,3,2.97
0.002,18,2,2.06
0.002,20,10,8.59
0.002,20,5,4.74
0.002,20,4,3.88
0.002,20,2,2.14
0.002,22,11,9.38
0.002,22,2,2.23
0.002,21,7,6.49
0.002,21,3,3.05
0.004,1,1,1
0.004,2,2,1.95
0.004,2,1,1.02
0.004,3,3,2.82
0.004,3,1,1.02
0.004,4,4,3.72
0.004,4,2,1.97
0.004,4,1,1.05
0.004,5,5,4.48
0.004,5,1,1.03
0.004,6,6,5.18
0.004,6,3,2.84
0.004,6,2,2.03
0.004,6,1,1.03
0.004,7,7,6.11
0.004,7,1,1.08
0.004,8,8,6.86
0.004,8,4,3.71
0.004,8,2,1.96
0.004,8,1,1.05
0.004,9,9,7.57
0.004,9,3,2.88
0.004,9,1,1.09
0.004,10,10,8.03
0.004,10,5,4.47
0.004,10,2,2
0.004,10,1,1.11
0.004,11,11,8.91
0.004,11,1,1.13
0.004,12,12,9.52
0.004,12,6,5.09
0.004,12,4,3.76
0.004,12,3,2.9
0.004,12,2,2.02
0.004,12,1,1.18
0.004,13,13,10.05
0.004,13,1,1.18
0.004,14,14,10.7
0.004,14,7,6.14
0.004,14,2,2.1
0.004,14,1,1.19
0.004,15,15,11.22
0.004,15,5,4.5
0.004,15,3,2.99
0.004,15,1,1.27
0.004,16,8,6.86
0.004,16,4,3.9
0.004,16,2,2.19
0.004,18,9,7.71
0.004,18,6,5.38
0.004,18,3,3.02
0.004,18,2,2.15
0.004,20,10,8.39
0.004,20,5,4.53
0.004,20,4,3.88
0.004,20,2,2.27
