"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.629,0.01,480.435,"< 0.001",0.982,"Niche_Area_Migration"
"2","z.K_num",2.469,0.01,241.858,"< 0.001",0.982,"Niche_Area_Migration"
"3","z.area",0.397,0.01,38.858,"< 0.001",0.982,"Niche_Area_Migration"
"4","z.migration",0.079,0.01,8.197,"< 0.001",0.982,"Niche_Area_Migration"
"5","(Intercept)",4.629,0.01,469.287,"< 0.001",0.981,"Niche_Area"
"6","z.K_num",2.469,0.01,236.246,"< 0.001",0.981,"Niche_Area"
"7","z.area",0.397,0.01,37.956,"< 0.001",0.981,"Niche_Area"
"8","(Intercept)",4.629,0.014,328.185,"< 0.001",0.961,"Niche"
"9","z.K_num",2.6,0.014,184.261,"< 0.001",0.961,"Niche"
