"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.479,0.012,361.366,"$<$ 0.001",0.976,"Niche_Area_Migration"
"2","z.K_num",2.832,0.013,215.217,"$<$ 0.001",0.976,"Niche_Area_Migration"
"3","z.area",0.373,0.013,28.317,"$<$ 0.001",0.976,"Niche_Area_Migration"
"4","z.migration",0.14,0.012,11.315,"$<$ 0.001",0.976,"Niche_Area_Migration"
"5","(Intercept)",4.479,0.013,345.978,"$<$ 0.001",0.974,"Niche_Area"
"6","z.K_num",2.832,0.014,206.051,"$<$ 0.001",0.974,"Niche_Area"
"7","z.area",0.373,0.014,27.111,"$<$ 0.001",0.974,"Niche_Area"
"8","(Intercept)",4.479,0.016,280.16,"$<$ 0.001",0.961,"Niche"
"9","z.K_num",2.956,0.016,184.834,"$<$ 0.001",0.961,"Niche"
