"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.307,0.009,561.622,"< 0.001",0.978,"Niche_Area_Migration"
"2","z.K_num",2.433,0.01,237.31,"< 0.001",0.978,"Niche_Area_Migration"
"3","z.area",0.581,0.01,56.693,"< 0.001",0.978,"Niche_Area_Migration"
"4","z.migration",0.141,0.009,14.907,"< 0.001",0.978,"Niche_Area_Migration"
"5","(Intercept)",5.307,0.01,531.118,"< 0.001",0.975,"Niche_Area"
"6","z.K_num",2.433,0.011,224.421,"< 0.001",0.975,"Niche_Area"
"7","z.area",0.581,0.011,53.614,"< 0.001",0.975,"Niche_Area"
"8","(Intercept)",5.307,0.016,333.64,"< 0.001",0.937,"Niche"
"9","z.K_num",2.658,0.016,167.035,"< 0.001",0.937,"Niche"
