"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",8.13,0.011,708.812,"$<$ 0.001",0.949,"Niche_Area_Migration"
"2","z.K_num",2.433,0.013,190.776,"$<$ 0.001",0.949,"Niche_Area_Migration"
"3","z.area",1.733,0.013,135.87,"$<$ 0.001",0.949,"Niche_Area_Migration"
"4","z.migration",0.712,0.011,62.087,"$<$ 0.001",0.949,"Niche_Area_Migration"
"5","(Intercept)",8.13,0.015,540.135,"$<$ 0.001",0.913,"Niche_Area"
"6","z.K_num",2.433,0.017,145.376,"$<$ 0.001",0.913,"Niche_Area"
"7","z.area",1.733,0.017,103.537,"$<$ 0.001",0.913,"Niche_Area"
"8","(Intercept)",8.13,0.026,311.431,"$<$ 0.001",0.737,"Niche"
"9","z.K_num",3.191,0.026,122.233,"$<$ 0.001",0.737,"Niche"
