"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",9.31,0.012,778.393,"$<$ 0.001",0.947,"Niche_Area_Migration"
"2","z.K_num",2.401,0.014,170.403,"$<$ 0.001",0.947,"Niche_Area_Migration"
"3","z.area",2.202,0.014,156.267,"$<$ 0.001",0.947,"Niche_Area_Migration"
"4","z.migration",0.892,0.012,74.605,"$<$ 0.001",0.947,"Niche_Area_Migration"
"5","(Intercept)",9.31,0.016,573.285,"$<$ 0.001",0.903,"Niche_Area"
"6","z.K_num",2.401,0.019,125.501,"$<$ 0.001",0.903,"Niche_Area"
"7","z.area",2.202,0.019,115.091,"$<$ 0.001",0.903,"Niche_Area"
"8","(Intercept)",9.31,0.028,330.578,"$<$ 0.001",0.708,"Niche"
"9","z.K_num",3.566,0.028,126.619,"$<$ 0.001",0.708,"Niche"
