"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.586,0.068,67.409,"$<$ 0.001",0.179,"Area"
"2","z.area",1.247,0.068,18.326,"$<$ 0.001",0.179,"Area"
"3","(Intercept)",4.586,0.016,281.956,"$<$ 0.001",0.953,"Niches"
"4","z.K_num",2.876,0.016,176.765,"$<$ 0.001",0.953,"Niches"
