"Area","Species","ModelOrSim"
105,10.4376666666667,"Solman Sim"
64,7.98466666666667,"Solman Sim"
80,8.964,"Solman Sim"
88,9.35166666666667,"Solman Sim"
96,9.806,"Solman Sim"
104,10.2463333333333,"Solman Sim"
112,10.6576666666667,"Solman Sim"
120,10.9425,"Solman Sim"
81,9.036,"Solman Sim"
99,9.93833333333333,"Solman Sim"
108,10.3293333333333,"Solman Sim"
117,10.7886666666667,"Solman Sim"
126,11.208,"Solman Sim"
135,11.6643333333333,"Solman Sim"
100,9.98733333333333,"Solman Sim"
110,10.4283333333333,"Solman Sim"
130,11.3016666666667,"Solman Sim"
140,11.7913333333333,"Solman Sim"
150,12.1516666666667,"Solman Sim"
121,10.916,"Solman Sim"
132,11.3763333333333,"Solman Sim"
143,11.8083333333333,"Solman Sim"
154,12.294,"Solman Sim"
165,12.7316666666667,"Solman Sim"
144,11.9306666666667,"Solman Sim"
156,12.3783333333333,"Solman Sim"
168,12.799,"Solman Sim"
180,13.2463333333333,"Solman Sim"
169,12.858,"Solman Sim"
182,13.3553333333333,"Solman Sim"
195,13.7823333333333,"Solman Sim"
196,13.774,"Solman Sim"
210,14.1886666666667,"Solman Sim"
225,14.6133333333333,"Solman Sim"
