"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.747,0.011,424.775,"$<$ 0.001",0.976,"Niche_Area_Migration"
"2","z.K_num",2.725,0.012,233.595,"$<$ 0.001",0.976,"Niche_Area_Migration"
"3","z.area",0.488,0.012,41.821,"$<$ 0.001",0.976,"Niche_Area_Migration"
"4","z.migration",0.185,0.011,16.59,"$<$ 0.001",0.976,"Niche_Area_Migration"
"5","(Intercept)",4.747,0.012,394.124,"$<$ 0.001",0.972,"Niche_Area"
"6","z.K_num",2.725,0.013,216.739,"$<$ 0.001",0.972,"Niche_Area"
"7","z.area",0.488,0.013,38.803,"$<$ 0.001",0.972,"Niche_Area"
"8","(Intercept)",4.747,0.017,286.975,"$<$ 0.001",0.946,"Niche"
"9","z.K_num",2.864,0.017,173.08,"$<$ 0.001",0.946,"Niche"
