"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.438,0.013,352.079,"$<$ 0.001",0.976,"Niche_Area_Migration"
"2","z.K_num",2.838,0.013,211.637,"$<$ 0.001",0.976,"Niche_Area_Migration"
"3","z.area",0.361,0.013,26.901,"$<$ 0.001",0.976,"Niche_Area_Migration"
"4","z.migration",0.136,0.013,10.753,"$<$ 0.001",0.976,"Niche_Area_Migration"
"5","(Intercept)",4.438,0.013,338.089,"$<$ 0.001",0.974,"Niche_Area"
"6","z.K_num",2.838,0.014,203.228,"$<$ 0.001",0.974,"Niche_Area"
"7","z.area",0.361,0.014,25.832,"$<$ 0.001",0.974,"Niche_Area"
"8","(Intercept)",4.438,0.016,276.912,"$<$ 0.001",0.962,"Niche"
"9","z.K_num",2.96,0.016,184.618,"$<$ 0.001",0.962,"Niche"
