"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.76,0.011,531.725,"$<$ 0.001",0.966,"Niche_Area_Migration"
"2","z.K_num",2.652,0.011,233.724,"$<$ 0.001",0.966,"Niche_Area_Migration"
"3","z.area",0.829,0.011,73.037,"$<$ 0.001",0.966,"Niche_Area_Migration"
"4","z.migration",0.336,0.011,30.987,"$<$ 0.001",0.966,"Niche_Area_Migration"
"5","(Intercept)",5.76,0.013,457.56,"$<$ 0.001",0.954,"Niche_Area"
"6","z.K_num",2.652,0.013,201.124,"$<$ 0.001",0.954,"Niche_Area"
"7","z.area",0.829,0.013,62.85,"$<$ 0.001",0.954,"Niche_Area"
"8","(Intercept)",5.76,0.02,292.783,"$<$ 0.001",0.888,"Niche"
"9","z.K_num",2.897,0.02,147.224,"$<$ 0.001",0.888,"Niche"
