"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.637,0.012,401.078,"$<$ 0.001",0.976,"Niche_Area_Migration"
"2","z.K_num",2.759,0.012,227.692,"$<$ 0.001",0.976,"Niche_Area_Migration"
"3","z.area",0.445,0.012,36.758,"$<$ 0.001",0.976,"Niche_Area_Migration"
"4","z.migration",0.167,0.012,14.477,"$<$ 0.001",0.976,"Niche_Area_Migration"
"5","(Intercept)",4.637,0.012,376.924,"$<$ 0.001",0.973,"Niche_Area"
"6","z.K_num",2.759,0.013,213.98,"$<$ 0.001",0.973,"Niche_Area"
"7","z.area",0.445,0.013,34.545,"$<$ 0.001",0.973,"Niche_Area"
"8","(Intercept)",4.637,0.016,284.473,"$<$ 0.001",0.952,"Niche"
"9","z.K_num",2.892,0.016,177.383,"$<$ 0.001",0.952,"Niche"
