"Mean.Difference","t.value","p.value","df","conf..low","conf..high","method","alternative","maxArea"
0.08,20.64,"$<$ 0.001",799999,0.08,0.09,"Paired t-test","two.sided",400
-0.73,-108.12,"$<$ 0.001",131999,-0.74,-0.71,"Paired t-test","two.sided",20
