"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.068,0.011,549.463,"$<$ 0.001",0.962,"Niche_Area_Migration"
"2","z.K_num",2.644,0.012,227.147,"$<$ 0.001",0.962,"Niche_Area_Migration"
"3","z.area",0.929,0.012,79.779,"$<$ 0.001",0.962,"Niche_Area_Migration"
"4","z.migration",0.38,0.011,34.427,"$<$ 0.001",0.962,"Niche_Area_Migration"
"5","(Intercept)",6.068,0.013,466.489,"$<$ 0.001",0.948,"Niche_Area"
"6","z.K_num",2.644,0.014,192.846,"$<$ 0.001",0.948,"Niche_Area"
"7","z.area",0.929,0.014,67.732,"$<$ 0.001",0.948,"Niche_Area"
"8","(Intercept)",6.068,0.021,295.042,"$<$ 0.001",0.87,"Niche"
"9","z.K_num",2.938,0.021,142.846,"$<$ 0.001",0.87,"Niche"
