"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.068,0.047,128.587,"$<$ 0.001",0.314,"Area"
"2","z.area",1.765,0.047,37.398,"$<$ 0.001",0.314,"Area"
"3","(Intercept)",6.068,0.021,295.042,"$<$ 0.001",0.87,"Niches"
"4","z.K_num",2.938,0.021,142.846,"$<$ 0.001",0.87,"Niches"
