"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.53,0.053,103.582,"$<$ 0.001",0.252,"Area"
"2","z.area",1.544,0.053,28.907,"$<$ 0.001",0.252,"Area"
"3","(Intercept)",5.53,0.019,292.495,"$<$ 0.001",0.906,"Niches"
"4","z.K_num",2.926,0.019,154.739,"$<$ 0.001",0.906,"Niches"
