"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",4.863,0.011,443.408,"$<$ 0.001",0.975,"Niche_Area_Migration"
"2","z.K_num",2.702,0.011,236.478,"$<$ 0.001",0.975,"Niche_Area_Migration"
"3","z.area",0.531,0.011,46.46,"$<$ 0.001",0.975,"Niche_Area_Migration"
"4","z.migration",0.204,0.011,18.591,"$<$ 0.001",0.975,"Niche_Area_Migration"
"5","(Intercept)",4.863,0.012,406.527,"$<$ 0.001",0.97,"Niche_Area"
"6","z.K_num",2.702,0.012,216.808,"$<$ 0.001",0.97,"Niche_Area"
"7","z.area",0.531,0.012,42.596,"$<$ 0.001",0.97,"Niche_Area"
"8","(Intercept)",4.863,0.017,287.641,"$<$ 0.001",0.94,"Niche"
"9","z.K_num",2.85,0.017,168.527,"$<$ 0.001",0.94,"Niche"
