"migration_rate","area","niches","mean_sp"
0.006,8,1,1.18
0.006,9,9,7.28
0.006,9,3,2.84
0.006,9,1,1.14
0.006,10,10,7.8
0.006,10,5,4.48
0.006,10,2,2.04
0.006,10,1,1.18
0.006,11,11,8.68
0.006,11,1,1.16
0.006,12,12,9.12
0.006,12,6,5.27
0.006,12,4,3.67
0.006,12,3,3.05
0.006,12,2,2.12
0.006,12,1,1.06
0.006,13,13,9.62
0.006,13,1,1.23
0.006,14,14,10.48
0.006,14,7,5.86
0.006,14,2,2.27
0.006,14,1,1.27
0.006,15,15,10.91
0.006,15,5,4.56
0.006,15,3,3.05
0.006,15,1,1.27
0.006,16,16,11.34
0.006,16,8,6.89
0.006,16,4,3.77
0.006,16,2,2.32
0.006,16,1,1.36
0.006,17,17,11.71
0.006,17,1,1.4
0.006,18,18,12.39
0.006,18,9,7.52
0.006,18,6,5.3
0.006,18,3,3.08
0.006,18,2,2.23
0.006,18,1,1.35
0.006,19,19,12.85
0.006,19,1,1.46
0.006,20,20,13.46
0.006,20,10,8.15
0.006,20,5,4.63
0.006,20,4,3.72
0.006,20,2,2.28
0.006,20,1,1.57
0.006,21,7,6.06
0.006,21,3,3.13
0.009,1,1,1
0.009,2,2,1.95
0.009,2,1,1.04
0.009,3,3,2.8
0.009,3,1,1.03
0.009,4,4,3.64
0.009,4,2,1.99
0.009,4,1,1.05
0.009,5,5,4.39
0.009,5,1,1.07
0.009,6,6,5.04
0.009,6,3,2.85
0.009,6,2,2.02
0.009,6,1,1.19
0.009,7,7,5.88
0.009,7,1,1.17
0.009,8,8,6.51
0.009,8,4,3.68
0.009,8,2,2.06
0.009,8,1,1.22
0.009,9,9,7.3
0.009,9,3,2.99
0.009,9,1,1.23
0.009,10,10,7.79
0.009,10,5,4.46
0.009,10,2,2.01
0.009,10,1,1.19
0.009,11,11,8.17
0.009,11,1,1.33
0.009,12,12,8.78
0.009,12,6,5.03
0.009,12,4,3.77
0.009,12,3,3.06
0.009,12,2,2.1
0.009,12,1,1.34
0.009,13,13,9.56
0.009,13,1,1.34
0.009,14,14,10.37
0.009,14,7,5.87
0.009,14,2,2.29
0.009,14,1,1.32
0.009,15,15,10.36
0.009,15,5,4.8
0.009,15,3,3.09
0.009,15,1,1.49
0.009,16,16,11.02
