"","X1","R-Squared","AIC Score","BIC Score","ID","Model"
"1",1,0.995974109015019,-72.3098649796947,-65.6488424288187,1,"Gompertz"
"2",2,NA,NA,NA,1,"Baranyi"
"3",3,NA,NA,NA,1,"Buchanan"
"4",4,0.934979867982209,3.58475451363071,8.91357255433153,1,"Quadratic"
"5",5,0.987590443275394,-40.7896873322186,-34.1286647813426,1,"Polynomial"
"6",6,0.714849861402188,42.9776836677899,46.9742971983155,1,"Linear"
"7",1,0.985093320978898,-63.7029726683976,-57.0419501175216,10,"Gompertz"
"8",2,NA,NA,NA,10,"Baranyi"
"9",3,NA,NA,NA,10,"Buchanan"
"10",4,0.920018555702083,-18.6633844775625,-13.3345664368617,10,"Quadratic"
"11",5,0.972203134727945,-46.2557838778591,-39.5947613269831,10,"Polynomial"
"12",6,0.631297620932674,22.1260782190632,26.1226917495888,10,"Linear"
"13",1,0.99597099494694,-0.936336026890128,0.576589438080102,100,"Gompertz"
"14",2,0.996650249688116,-2.78267253776581,-1.26974707279557,100,"Baranyi"
"15",3,NA,NA,NA,100,"Buchanan"
"16",4,0.987928283618835,8.03712164180603,9.24746201378222,100,"Quadratic"
"17",5,0.995798132018656,-0.516238791928796,0.996686673041435,100,"Polynomial"
"18",6,0.987609563548384,6.29771858070063,7.20547385968277,100,"Linear"
"19",1,NA,NA,NA,101,"Gompertz"
"20",2,NA,NA,NA,101,"Baranyi"
"21",3,NA,NA,NA,101,"Buchanan"
"22",4,0.995178177633051,-0.273612259590685,-1.10657438267847,101,"Quadratic"
"23",5,0.996566237250278,-0.310583876919168,-1.35178653077889,101,"Polynomial"
"24",6,0.888817363300739,16.5545214431974,15.9297998508815,101,"Linear"
"25",1,0.973712698055777,24.7395040338491,27.5642508211568,102,"Gompertz"
"26",2,NA,NA,NA,102,"Baranyi"
"27",3,0.988375170761182,14.1322483546985,16.9569951420062,102,"Buchanan"
"28",4,0.963756847354638,26.9146420676026,29.1744394974488,102,"Quadratic"
"29",5,0.989725862203621,12.5265739189919,15.3513207062995,102,"Polynomial"
"30",6,0.946068574975673,30.0816592693871,31.7765073417717,102,"Linear"
"31",1,0.990522994239274,9.59304153229385,12.4177883196015,103,"Gompertz"
"32",2,NA,NA,NA,103,"Baranyi"
"33",3,NA,NA,NA,103,"Buchanan"
"34",4,0.98882611055394,9.73428893644565,11.9940863662918,103,"Quadratic"
"35",5,0.995643652736203,-0.511006911289083,2.3137398760186,103,"Polynomial"
"36",6,0.928851664754374,31.799722137564,33.4945702099486,103,"Linear"
"37",1,0.994684334823883,3.26338591790553,5.68791916684553,104,"Gompertz"
"38",2,NA,NA,NA,104,"Baranyi"
"39",3,0.995953839256954,-0.0112903363550636,2.41324291258494,104,"Buchanan"
"40",4,0.977684731107533,18.478741835955,20.418368435107,104,"Quadratic"
"41",5,0.997805974606858,-7.35565671012322,-4.93112346118322,104,"Polynomial"
"42",6,0.973020569538801,18.7563849523013,20.2111049016653,104,"Linear"
"43",1,0.993346967428566,6.54403749167693,7.53016037835802,105,"Gompertz"
"44",2,NA,NA,NA,105,"Baranyi"
"45",3,0.990329028083086,9.91054181915312,10.8966647058342,105,"Buchanan"
"46",4,0.986940345298154,10.6141316603554,11.4030299697003,105,"Quadratic"
"47",5,0.991949461644715,8.2600331938289,9.24615608051,105,"Polynomial"
"48",6,0.986897245339369,8.64378489103488,9.23545862304354,105,"Linear"
"49",1,NA,NA,NA,106,"Gompertz"
"50",2,0.991914567323565,-4.58135244019165,-3.06842697522142,106,"Baranyi"
"51",3,NA,NA,NA,106,"Buchanan"
"52",4,0.867896845749756,21.353838374255,22.5641787462312,106,"Quadratic"
"53",5,0.909262569526307,19.5977070481134,21.1106325130836,106,"Polynomial"
"54",6,0.734484353132306,26.3347452097009,27.242500488683,106,"Linear"
"55",1,0.994362872191976,2.37603022688736,2.10558097216392,107,"Gompertz"
"56",2,NA,NA,NA,107,"Baranyi"
"57",3,NA,NA,NA,107,"Buchanan"
"58",4,0.984473278551435,7.4683449817844,7.25198557800565,107,"Quadratic"
"59",5,0.984957855902986,9.24639852961037,8.97594927488693,107,"Polynomial"
"60",6,0.745492567799175,25.0457177245656,24.8834481717315,107,"Linear"
"61",1,NA,NA,NA,108,"Gompertz"
"62",2,NA,NA,NA,108,"Baranyi"
"63",3,NA,NA,NA,108,"Buchanan"
"64",4,0.94779197147978,27.4415432358208,29.701340665667,108,"Quadratic"
"65",5,0.99389966813083,1.53193278436926,4.35667957167694,108,"Polynomial"
"66",6,0.942607116301968,26.672435653407,28.3672837257917,108,"Linear"
"67",1,NA,NA,NA,109,"Gompertz"
"68",2,NA,NA,NA,109,"Baranyi"
"69",3,NA,NA,NA,109,"Buchanan"
"70",4,0.984283962196914,9.38277199213734,11.3223985912893,109,"Quadratic"
"71",5,0.984582667105142,11.1525001770537,13.5770334259937,109,"Polynomial"
"72",6,0.919626496687289,26.966806240123,28.421526189487,109,"Linear"
"73",1,0.994400268393185,-70.3243659099483,-63.6633433590723,11,"Gompertz"
"74",2,NA,NA,NA,11,"Baranyi"
"75",3,NA,NA,NA,11,"Buchanan"
"76",4,0.870090017918722,15.7110807735101,21.0398988142109,11,"Quadratic"
"77",5,0.985651416106933,-43.9782535386815,-37.3172309878055,11,"Polynomial"
"78",6,0.477684233663388,52.6711363491356,56.6677498796612,11,"Linear"
"79",1,0.996293415041784,0.351263559488844,2.3407399234807,110,"Gompertz"
"80",2,NA,NA,NA,110,"Baranyi"
"81",3,0.992699631485079,7.80721615271541,9.79669251670726,110,"Buchanan"
