"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
248,"theta",120805.722,1022732.328,0.118,0.907,0.987,0.039,8,20
248,"m0",0.278,0.008,33.113,0,0.987,0.039,8,20
248,"K",6.85,0.243,28.149,0,0.987,0.039,8,20
249,"theta",-6.696,0.224,-29.884,0,0.997,0.039,9,20
249,"m0",-0.011,0.003,-3.352,0.004,0.997,0.039,9,20
249,"K",8.648,0.151,57.254,0,0.997,0.039,9,20
250,"theta",-7.61,0.258,-29.53,0,0.997,0.039,10,20
250,"m0",-0.01,0.003,-2.906,0.01,0.997,0.039,10,20
250,"K",9.57,0.174,55.086,0,0.997,0.039,10,20
251,"theta",-8.48,0.328,-25.883,0,0.996,0.039,11,20
251,"m0",-0.009,0.004,-2.294,0.035,0.996,0.039,11,20
251,"K",10.459,0.222,47.123,0,0.996,0.039,11,20
252,"theta",-9.002,0.31,-29.036,0,0.997,0.039,12,20
252,"m0",-0.012,0.004,-3.135,0.006,0.997,0.039,12,20
252,"K",11.523,0.205,56.243,0,0.997,0.039,12,20
253,"theta",-9.995,0.319,-31.38,0,0.997,0.039,13,20
253,"m0",-0.01,0.004,-2.834,0.011,0.997,0.039,13,20
253,"K",12.382,0.221,56.05,0,0.997,0.039,13,20
254,"theta",99855.546,1906155.699,0.052,0.959,0.989,0.039,14,20
254,"m0",0.365,0.01,36.929,0,0.989,0.039,14,20
254,"K",12.06,0.423,28.483,0,0.989,0.039,14,20
255,"theta",-11.068,0.327,-33.807,0,0.998,0.039,15,20
255,"m0",-0.015,0.004,-3.739,0.002,0.998,0.039,15,20
255,"K",14.277,0.229,62.332,0,0.998,0.039,15,20
256,"theta",182463.326,3362980.482,0.054,0.957,0.987,0.039,16,20
256,"m0",0.394,0.012,34.023,0,0.987,0.039,16,20
256,"K",13.67,0.786,17.381,0,0.987,0.039,16,20
257,"theta",213348.484,4113455.382,0.052,0.959,0.987,0.039,17,20
257,"m0",0.405,0.012,32.439,0,0.987,0.039,17,20
257,"K",14.547,0.527,27.581,0,0.987,0.039,17,20
258,"theta",196494.387,2215626.896,0.089,0.93,0.987,0.039,18,20
258,"m0",0.417,0.013,32.634,0,0.987,0.039,18,20
258,"K",15.429,0.557,27.692,0,0.987,0.039,18,20
259,"theta",219499.839,4856924.083,0.045,0.964,0.987,0.039,19,20
259,"m0",0.431,0.013,32.69,0,0.987,0.039,19,20
259,"K",16.168,0.61,26.518,0,0.987,0.039,19,20
260,"theta",290022.038,3545295.415,0.082,0.936,0.988,0.039,20,20
260,"m0",0.444,0.013,34.633,0,0.988,0.039,20,20
260,"K",17.055,0.632,26.993,0,0.988,0.039,20,20
261,"theta",295766.916,275211.542,1.075,0.298,0.97,0.042,1,20
261,"m0",0.102,0.005,22.416,0,0.97,0.042,1,20
261,"K",0.863,0.049,17.776,0,0.97,0.042,1,20
262,"theta",224041.951,574303.629,0.39,0.701,0.971,0.042,2,20
262,"m0",0.144,0.006,22.55,0,0.971,0.042,2,20
262,"K",1.713,0.096,17.9,0,0.971,0.042,2,20
263,"theta",89175.831,837389.445,0.106,0.916,0.978,0.042,3,20
263,"m0",0.182,0.007,24.753,0,0.978,0.042,3,20
263,"K",2.523,0.13,19.357,0,0.978,0.042,3,20
264,"theta",-3.16,0.128,-24.608,0,0.995,0.042,4,20
264,"m0",-0.005,0.003,-1.926,0.071,0.995,0.042,4,20
264,"K",3.831,0.097,39.388,0,0.995,0.042,4,20
265,"theta",-3.808,0.241,-15.804,0,0.988,0.042,5,20
265,"m0",-0.007,0.005,-1.471,0.16,0.988,0.042,5,20
265,"K",4.763,0.184,25.933,0,0.988,0.042,5,20
266,"theta",-4.548,0.165,-27.608,0,0.996,0.042,6,20
266,"m0",-0.009,0.003,-2.842,0.011,0.996,0.042,6,20
266,"K",5.785,0.117,49.264,0,0.996,0.042,6,20
267,"theta",89251.114,982562.658,0.091,0.929,0.987,0.042,7,20
267,"m0",0.277,0.008,32.827,0,0.987,0.042,7,20
267,"K",5.882,0.258,22.803,0,0.987,0.042,7,20
268,"theta",95540.618,1029952.688,0.093,0.927,0.989,0.042,8,20
268,"m0",0.299,0.008,35.596,0,0.989,0.042,8,20
268,"K",6.818,0.247,27.653,0,0.989,0.042,8,20
269,"theta",92385.377,1415061.575,0.065,0.949,0.985,0.042,9,20
269,"m0",0.313,0.011,29.381,0,0.985,0.042,9,20
269,"K",7.551,0.324,23.303,0,0.985,0.042,9,20
270,"theta",76286.256,3164487.633,0.024,0.981,0.985,0.042,10,20
270,"m0",0.331,0.012,28.6,0,0.985,0.042,10,20
270,"K",8.425,0.347,24.253,0,0.985,0.042,10,20
271,"theta",102501.426,2194198.786,0.047,0.963,0.987,0.042,11,20
271,"m0",0.344,0.011,32.531,0,0.987,0.042,11,20
271,"K",9.284,0.371,25.056,0,0.987,0.042,11,20
272,"theta",-9.256,0.314,-29.463,0,0.996,0.042,12,20
272,"m0",-0.009,0.004,-2.45,0.025,0.996,0.042,12,20
272,"K",11.369,0.253,44.898,0,0.996,0.042,12,20
273,"theta",-10.256,0.259,-39.574,0,0.998,0.042,13,20
273,"m0",-0.009,0.003,-3.113,0.006,0.998,0.042,13,20
273,"K",12.459,0.203,61.518,0,0.998,0.042,13,20
274,"theta",-11.055,0.379,-29.166,0,0.995,0.042,14,20
274,"m0",-0.007,0.004,-1.92,0.072,0.995,0.042,14,20
274,"K",13.118,0.335,39.166,0,0.995,0.042,14,20
275,"theta",131379.448,3171678.871,0.041,0.967,0.987,0.042,15,20
275,"m0",0.409,0.013,30.899,0,0.987,0.042,15,20
275,"K",12.645,0.519,24.377,0,0.987,0.042,15,20
276,"theta",181910.307,3270346.046,0.056,0.956,0.988,0.042,16,20
276,"m0",0.414,0.012,34.356,0,0.988,0.042,16,20
276,"K",13.585,0.499,27.21,0,0.988,0.042,16,20
277,"theta",262549.802,2716068.646,0.097,0.924,0.988,0.042,17,20
277,"m0",0.428,0.012,34.535,0,0.988,0.042,17,20
277,"K",14.44,0.644,22.423,0,0.988,0.042,17,20
278,"theta",185039.47,2736836.171,0.068,0.947,0.987,0.042,18,20
278,"m0",0.447,0.013,33.247,0,0.987,0.042,18,20
278,"K",15.211,0.597,25.491,0,0.987,0.042,18,20
279,"theta",247715.655,3124385.413,0.079,0.938,0.985,0.042,19,20
279,"m0",0.46,0.015,30.904,0,0.985,0.042,19,20
279,"K",15.856,0.69,22.974,0,0.985,0.042,19,20
280,"theta",244222.271,2200942.935,0.111,0.913,0.988,0.042,20,20
280,"m0",0.466,0.014,34.388,0,0.988,0.042,20,20
280,"K",16.974,0.625,27.142,0,0.988,0.042,20,20
281,"theta",109767.822,187174.971,0.586,0.565,0.976,0.045,1,20
281,"m0",0.102,0.004,23.512,0,0.976,0.045,1,20
281,"K",0.908,0.043,21.295,0,0.976,0.045,1,20
282,"theta",85619.655,477416.021,0.179,0.86,0.974,0.045,2,20
282,"m0",0.153,0.007,23.515,0,0.974,0.045,2,20
282,"K",1.71,0.101,16.988,0,0.974,0.045,2,20
283,"theta",136574.413,1008190.743,0.135,0.894,0.975,0.045,3,20
283,"m0",0.19,0.008,24.23,0,0.975,0.045,3,20
283,"K",2.475,0.15,16.475,0,0.975,0.045,3,20
284,"theta",-3.342,0.176,-18.994,0,0.987,0.045,4,20
284,"m0",-0.002,0.002,-0.814,0.427,0.987,0.045,4,20
284,"K",3.757,0.161,23.266,0,0.987,0.045,4,20
285,"theta",-4.109,0.151,-27.301,0,0.993,0.045,5,20
285,"m0",-0.003,0.002,-1.323,0.203,0.993,0.045,5,20
285,"K",4.692,0.147,31.935,0,0.993,0.045,5,20
286,"theta",207089.276,1134735.262,0.183,0.857,0.988,0.045,6,20
286,"m0",0.264,0.008,32.198,0,0.988,0.045,6,20
286,"K",5.203,0.209,24.878,0,0.988,0.045,6,20
287,"theta",81333.022,1956190.037,0.042,0.967,0.986,0.045,7,20
287,"m0",0.282,0.009,32.874,0,0.986,0.045,7,20
287,"K",6.054,0.248,24.459,0,0.986,0.045,7,20
288,"theta",-6.212,0.204,-30.437,0,0.996,0.045,8,20
288,"m0",-0.008,0.003,-2.491,0.023,0.996,0.045,8,20
288,"K",7.635,0.179,42.601,0,0.996,0.045,8,20
289,"theta",86559.59,1204547.294,0.072,0.944,0.99,0.045,9,20
289,"m0",0.324,0.009,36.53,0,0.99,0.045,9,20
289,"K",7.672,0.285,26.906,0,0.99,0.045,9,20
290,"theta",172790.761,1583882.309,0.109,0.914,0.988,0.045,10,20
290,"m0",0.343,0.01,34.874,0,0.988,0.045,10,20
290,"K",8.479,0.319,26.555,0,0.988,0.045,10,20
291,"theta",-9.028,0.282,-32.067,0,0.995,0.045,11,20
291,"m0",-0.005,0.003,-1.571,0.135,0.995,0.045,11,20
291,"K",10.332,0.285,36.207,0,0.995,0.045,11,20
292,"theta",-9.444,0.258,-36.647,0,0.997,0.045,12,20
292,"m0",-0.008,0.003,-2.623,0.018,0.997,0.045,12,20
292,"K",11.377,0.241,47.235,0,0.997,0.045,12,20
293,"theta",-10.662,0.307,-34.753,0,0.996,0.045,13,20
293,"m0",-0.005,0.003,-1.725,0.103,0.996,0.045,13,20
293,"K",12.224,0.313,39.114,0,0.996,0.045,13,20
294,"theta",-11.387,0.302,-37.655,0,0.997,0.045,14,20
294,"m0",-0.006,0.003,-2.137,0.047,0.997,0.045,14,20
294,"K",13.25,0.283,46.877,0,0.997,0.045,14,20
295,"theta",129796.697,4366173.116,0.03,0.977,0.988,0.045,15,20
295,"m0",0.431,0.012,35.661,0,0.988,0.045,15,20
295,"K",12.542,0.534,23.502,0,0.988,0.045,15,20
296,"theta",260755.899,3685360.805,0.071,0.944,0.988,0.045,16,20
296,"m0",0.44,0.012,35.414,0,0.988,0.045,16,20
296,"K",13.47,0.566,23.815,0,0.988,0.045,16,20
297,"theta",168349.232,2338688.107,0.072,0.943,0.989,0.045,17,20
297,"m0",0.462,0.013,36.691,0,0.989,0.045,17,20
