"simulation","date","timesteps","m0","area","Js","nu","K","sp_rich"
7,260520,39420,0.026,260,260,0.01,26,43
7,260520,39420,0.028,280,280,0.01,28,58
7,260520,39420,0.03,300,300,0.01,30,53
7,260520,39420,0.032,320,320,0.01,32,60
7,260520,39420,0.034,340,340,0.01,34,65
7,260520,39420,0.036,360,360,0.01,36,62
7,260520,39420,0.038,380,380,0.01,38,85
7,260520,39420,0.04,400,400,0.01,40,88
8,260520,39420,0.002,20,20,0.01,2,2
8,260520,39420,0.004,40,40,0.01,4,4
8,260520,39420,0.006,60,60,0.01,6,7
8,260520,39420,0.008,80,80,0.01,8,12
8,260520,39420,0.01,100,100,0.01,10,13
8,260520,39420,0.012,120,120,0.01,12,16
8,260520,39420,0.014,140,140,0.01,14,23
8,260520,39420,0.016,160,160,0.01,16,30
8,260520,39420,0.018,180,180,0.01,18,34
8,260520,39420,0.02,200,200,0.01,20,36
8,260520,39420,0.022,220,220,0.01,22,45
8,260520,39420,0.024,240,240,0.01,24,41
8,260520,39420,0.026,260,260,0.01,26,49
8,260520,39420,0.028,280,280,0.01,28,59
8,260520,39420,0.03,300,300,0.01,30,57
8,260520,39420,0.032,320,320,0.01,32,61
8,260520,39420,0.034,340,340,0.01,34,70
8,260520,39420,0.036,360,360,0.01,36,77
8,260520,39420,0.038,380,380,0.01,38,85
8,260520,39420,0.04,400,400,0.01,40,86
9,260520,39420,0.002,20,20,0.01,2,2
9,260520,39420,0.004,40,40,0.01,4,4
9,260520,39420,0.006,60,60,0.01,6,9
9,260520,39420,0.008,80,80,0.01,8,12
9,260520,39420,0.01,100,100,0.01,10,16
9,260520,39420,0.012,120,120,0.01,12,15
9,260520,39420,0.014,140,140,0.01,14,20
9,260520,39420,0.016,160,160,0.01,16,21
9,260520,39420,0.018,180,180,0.01,18,30
9,260520,39420,0.02,200,200,0.01,20,34
9,260520,39420,0.022,220,220,0.01,22,40
9,260520,39420,0.024,240,240,0.01,24,41
9,260520,39420,0.026,260,260,0.01,26,50
9,260520,39420,0.028,280,280,0.01,28,46
9,260520,39420,0.03,300,300,0.01,30,60
9,260520,39420,0.032,320,320,0.01,32,59
9,260520,39420,0.034,340,340,0.01,34,74
9,260520,39420,0.036,360,360,0.01,36,81
9,260520,39420,0.038,380,380,0.01,38,82
9,260520,39420,0.04,400,400,0.01,40,83
10,260520,39420,0.002,20,20,0.01,2,4
10,260520,39420,0.004,40,40,0.01,4,7
10,260520,39420,0.006,60,60,0.01,6,6
10,260520,39420,0.008,80,80,0.01,8,13
10,260520,39420,0.01,100,100,0.01,10,12
10,260520,39420,0.012,120,120,0.01,12,16
10,260520,39420,0.014,140,140,0.01,14,24
10,260520,39420,0.016,160,160,0.01,16,28
10,260520,39420,0.018,180,180,0.01,18,28
10,260520,39420,0.02,200,200,0.01,20,36
10,260520,39420,0.022,220,220,0.01,22,44
10,260520,39420,0.024,240,240,0.01,24,45
10,260520,39420,0.026,260,260,0.01,26,44
10,260520,39420,0.028,280,280,0.01,28,53
10,260520,39420,0.03,300,300,0.01,30,58
10,260520,39420,0.032,320,320,0.01,32,69
10,260520,39420,0.034,340,340,0.01,34,66
10,260520,39420,0.036,360,360,0.01,36,70
10,260520,39420,0.038,380,380,0.01,38,74
10,260520,39420,0.04,400,400,0.01,40,70
11,260520,39420,0.002,20,20,0.01,2,2
11,260520,39420,0.004,40,40,0.01,4,4
11,260520,39420,0.006,60,60,0.01,6,8
11,260520,39420,0.008,80,80,0.01,8,10
11,260520,39420,0.01,100,100,0.01,10,15
11,260520,39420,0.012,120,120,0.01,12,18
11,260520,39420,0.014,140,140,0.01,14,28
11,260520,39420,0.016,160,160,0.01,16,25
11,260520,39420,0.018,180,180,0.01,18,26
11,260520,39420,0.02,200,200,0.01,20,36
11,260520,39420,0.022,220,220,0.01,22,33
11,260520,39420,0.024,240,240,0.01,24,39
11,260520,39420,0.026,260,260,0.01,26,42
11,260520,39420,0.028,280,280,0.01,28,56
11,260520,39420,0.03,300,300,0.01,30,49
11,260520,39420,0.032,320,320,0.01,32,52
11,260520,39420,0.034,340,340,0.01,34,65
11,260520,39420,0.036,360,360,0.01,36,80
11,260520,39420,0.038,380,380,0.01,38,80
11,260520,39420,0.04,400,400,0.01,40,89
12,260520,39420,0.002,20,20,0.01,2,3
12,260520,39420,0.004,40,40,0.01,4,6
12,260520,39420,0.006,60,60,0.01,6,7
12,260520,39420,0.008,80,80,0.01,8,14
12,260520,39420,0.01,100,100,0.01,10,14
12,260520,39420,0.012,120,120,0.01,12,15
12,260520,39420,0.014,140,140,0.01,14,21
12,260520,39420,0.016,160,160,0.01,16,29
12,260520,39420,0.018,180,180,0.01,18,29
12,260520,39420,0.02,200,200,0.01,20,39
12,260520,39420,0.022,220,220,0.01,22,38
12,260520,39420,0.024,240,240,0.01,24,47
12,260520,39420,0.026,260,260,0.01,26,46
12,260520,39420,0.028,280,280,0.01,28,58
12,260520,39420,0.03,300,300,0.01,30,58
12,260520,39420,0.032,320,320,0.01,32,71
12,260520,39420,0.034,340,340,0.01,34,75
12,260520,39420,0.036,360,360,0.01,36,72
12,260520,39420,0.038,380,380,0.01,38,87
12,260520,39420,0.04,400,400,0.01,40,95
13,260520,39420,0.002,20,20,0.01,2,2
13,260520,39420,0.004,40,40,0.01,4,5
13,260520,39420,0.006,60,60,0.01,6,8
13,260520,39420,0.008,80,80,0.01,8,12
13,260520,39420,0.01,100,100,0.01,10,19
13,260520,39420,0.012,120,120,0.01,12,19
13,260520,39420,0.014,140,140,0.01,14,27
13,260520,39420,0.016,160,160,0.01,16,24
13,260520,39420,0.018,180,180,0.01,18,26
13,260520,39420,0.02,200,200,0.01,20,30
13,260520,39420,0.022,220,220,0.01,22,36
13,260520,39420,0.024,240,240,0.01,24,40
13,260520,39420,0.026,260,260,0.01,26,45
13,260520,39420,0.028,280,280,0.01,28,56
13,260520,39420,0.03,300,300,0.01,30,65
13,260520,39420,0.032,320,320,0.01,32,58
13,260520,39420,0.034,340,340,0.01,34,74
13,260520,39420,0.036,360,360,0.01,36,58
13,260520,39420,0.038,380,380,0.01,38,82
13,260520,39420,0.04,400,400,0.01,40,85
14,260520,39420,0.002,20,20,0.01,2,3
14,260520,39420,0.004,40,40,0.01,4,4
14,260520,39420,0.006,60,60,0.01,6,7
14,260520,39420,0.008,80,80,0.01,8,13
14,260520,39420,0.01,100,100,0.01,10,16
