"sim_number","migration_rates","area","K_num","island_species","estimated_sp_rich"
1,0.011,20,2,3,2.01
1,0.011,30,3,5,3.01
1,0.011,40,4,2,4.02
1,0.011,50,5,5,5.02
1,0.011,60,6,6,6.02
1,0.011,70,7,11,7.03
1,0.011,80,8,8,8.03
1,0.011,90,9,10,9.04
1,0.011,100,10,7,10.04
1,0.011,110,11,11,11.04
1,0.011,120,12,9,12.05
1,0.011,130,13,13,13.05
1,0.011,140,14,13,14.06
1,0.011,150,15,12,15.06
1,0.011,160,16,15,16.06
1,0.011,170,17,12,17.07
1,0.011,180,18,12,18.07
1,0.011,190,19,13,19.08
1,0.011,200,20,20,20.08
1,0.012,10,1,1,1
1,0.012,20,2,2,2.01
1,0.012,30,3,6,3.01
1,0.012,40,4,6,4.02
1,0.012,50,5,5,5.02
1,0.012,60,6,8,6.03
1,0.012,70,7,5,7.03
1,0.012,80,8,7,8.03
1,0.012,90,9,10,9.04
1,0.012,100,10,12,10.04
1,0.012,110,11,12,11.05
1,0.012,120,12,10,12.05
1,0.012,130,13,12,13.06
1,0.012,140,14,12,14.06
1,0.012,150,15,14,15.06
1,0.012,160,16,13,16.07
1,0.012,170,17,13,17.07
1,0.012,180,18,16,18.08
1,0.012,190,19,13,19.08
1,0.012,200,20,16,20.09
1,0.013,10,1,1,1
1,0.013,20,2,3,2.01
1,0.013,30,3,4,3.01
1,0.013,40,4,3,4.02
1,0.013,50,5,5,5.02
1,0.013,60,6,9,6.03
1,0.013,70,7,9,7.03
1,0.013,80,8,8,8.04
1,0.013,90,9,9,9.04
1,0.013,100,10,9,10.05
1,0.013,110,11,11,11.05
1,0.013,120,12,14,12.05
1,0.013,130,13,12,13.06
1,0.013,140,14,15,14.06
1,0.013,150,15,12,15.07
1,0.013,160,16,13,16.07
1,0.013,170,17,14,17.08
1,0.013,180,18,12,18.08
1,0.013,190,19,14,19.09
1,0.013,200,20,15,20.09
1,0.014,10,1,2,1
1,0.014,20,2,4,2.01
1,0.014,30,3,4,3.01
1,0.014,40,4,5,4.02
1,0.014,50,5,7,5.02
1,0.014,60,6,6,6.03
1,0.014,70,7,9,7.03
1,0.014,80,8,8,8.04
1,0.014,90,9,9,9.04
1,0.014,100,10,8,10.05
1,0.014,110,11,10,11.05
1,0.014,120,12,13,12.06
1,0.014,130,13,16,13.06
1,0.014,140,14,16,14.07
1,0.014,150,15,12,15.07
1,0.014,160,16,14,16.08
1,0.014,170,17,15,17.08
1,0.014,180,18,16,18.09
1,0.014,190,19,14,19.09
1,0.014,200,20,16,20.1
1,0.015,10,1,1,1
1,0.015,20,2,3,2.01
1,0.015,30,3,3,3.01
1,0.015,40,4,6,4.02
1,0.015,50,5,4,5.02
1,0.015,60,6,7,6.03
1,0.015,70,7,7,7.04
1,0.015,80,8,6,8.04
1,0.015,90,9,10,9.05
1,0.015,100,10,14,10.05
1,0.015,110,11,10,11.06
1,0.015,120,12,10,12.06
1,0.015,130,13,11,13.07
1,0.015,140,14,15,14.07
1,0.015,150,15,16,15.08
1,0.015,160,16,12,16.08
1,0.015,170,17,17,17.09
1,0.015,180,18,16,18.09
1,0.015,190,19,15,19.1
1,0.015,200,20,14,20.1
1,0.016,10,1,2,1
1,0.016,20,2,2,2.01
1,0.016,30,3,5,3.02
1,0.016,40,4,6,4.02
1,0.016,50,5,6,5.03
1,0.016,60,6,7,6.03
1,0.016,70,7,6,7.04
1,0.016,80,8,8,8.04
1,0.016,90,9,6,9.05
1,0.016,100,10,12,10.05
1,0.016,110,11,10,11.06
1,0.016,120,12,12,12.06
1,0.016,130,13,17,13.07
1,0.016,140,14,11,14.07
1,0.016,150,15,10,15.08
1,0.016,160,16,18,16.08
1,0.016,170,17,16,17.09
1,0.016,180,18,17,18.1
1,0.016,190,19,17,19.1
1,0.016,200,20,16,20.11
1,0.017,10,1,2,1.01
1,0.017,20,2,3,2.01
1,0.017,30,3,5,3.02
1,0.017,40,4,7,4.02
1,0.017,50,5,6,5.03
1,0.017,60,6,10,6.03
1,0.017,70,7,6,7.04
1,0.017,80,8,7,8.04
1,0.017,90,9,8,9.05
1,0.017,100,10,9,10.06
1,0.017,110,11,11,11.06
1,0.017,120,12,10,12.07
1,0.017,130,13,14,13.07
1,0.017,140,14,13,14.08
1,0.017,150,15,10,15.08
1,0.017,160,16,14,16.09
1,0.017,170,17,16,17.09
1,0.017,180,18,16,18.1
1,0.017,190,19,16,19.11
1,0.017,200,20,18,20.11
1,0.018,10,1,1,1.01
1,0.018,20,2,2,2.01
1,0.018,30,3,4,3.02
1,0.018,40,4,6,4.02
1,0.018,50,5,8,5.03
1,0.018,60,6,10,6.03
1,0.018,70,7,6,7.04
1,0.018,80,8,9,8.05
1,0.018,90,9,11,9.05
1,0.018,100,10,11,10.06
1,0.018,110,11,17,11.06
1,0.018,120,12,11,12.07
1,0.018,130,13,12,13.08
1,0.018,140,14,16,14.08
1,0.018,150,15,12,15.09
1,0.018,160,16,15,16.09
1,0.018,170,17,15,17.1
1,0.018,180,18,14,18.1
1,0.018,190,19,15,19.11
1,0.018,200,20,19,20.12
1,0.019,10,1,2,1.01
1,0.019,20,2,2,2.01
1,0.019,30,3,4,3.02
1,0.019,40,4,5,4.02
1,0.019,50,5,8,5.03
1,0.019,60,6,9,6.04
1,0.019,70,7,9,7.04
1,0.019,80,8,7,8.05
1,0.019,90,9,8,9.05
1,0.019,100,10,11,10.06
1,0.019,110,11,13,11.07
1,0.019,120,12,11,12.07
1,0.019,130,13,14,13.08
1,0.019,140,14,13,14.08
1,0.019,150,15,14,15.09
1,0.019,160,16,18,16.1
1,0.019,170,17,14,17.1
1,0.019,180,18,19,18.11
1,0.019,190,19,17,19.11
1,0.019,200,20,21,20.12
1,0.02,10,1,1,1.01
1,0.02,20,2,3,2.01
1,0.02,30,3,6,3.02
1,0.02,40,4,4,4.02
1,0.02,50,5,7,5.03
1,0.02,60,6,8,6.04
1,0.02,70,7,11,7.04
1,0.02,80,8,6,8.05
1,0.02,90,9,13,9.06
1,0.02,100,10,10,10.06
1,0.02,110,11,11,11.07
1,0.02,120,12,13,12.07
1,0.02,130,13,15,13.08
1,0.02,140,14,13,14.09
1,0.02,150,15,13,15.09
1,0.02,160,16,15,16.1
1,0.02,170,17,15,17.11
1,0.02,180,18,14,18.11
1,0.02,190,19,19,19.12
1,0.02,200,20,17,20.12
1,0.021,10,1,1,1.01
1,0.021,20,2,3,2.01
1,0.021,30,3,4,3.02
1,0.021,40,4,7,4.03
1,0.021,50,5,7,5.03
1,0.021,60,6,9,6.04
1,0.021,70,7,9,7.04
1,0.021,80,8,8,8.05
1,0.021,90,9,12,9.06
1,0.021,100,10,11,10.06
1,0.021,110,11,13,11.07
1,0.021,120,12,13,12.08
1,0.021,130,13,13,13.08
1,0.021,140,14,16,14.09
1,0.021,150,15,12,15.1
1,0.021,160,16,15,16.1
1,0.021,170,17,16,17.11
1,0.021,180,18,19,18.12
1,0.021,190,19,16,19.12
1,0.021,200,20,22,20.13
1,0.022,10,1,2,1.01
1,0.022,20,2,3,2.01
1,0.022,30,3,4,3.02
1,0.022,40,4,7,4.03
1,0.022,50,5,6,5.03
1,0.022,60,6,9,6.04
1,0.022,70,7,7,7.05
1,0.022,80,8,11,8.05
1,0.022,90,9,13,9.06
1,0.022,100,10,10,10.07
1,0.022,110,11,10,11.07
1,0.022,120,12,14,12.08
1,0.022,130,13,18,13.09
1,0.022,140,14,12,14.09
1,0.022,150,15,18,15.1
1,0.022,160,16,16,16.11
1,0.022,170,17,16,17.11
1,0.022,180,18,16,18.12
1,0.022,190,19,17,19.13
1,0.022,200,20,20,20.13
1,0.023,10,1,2,1.01
1,0.023,20,2,3,2.01
1,0.023,30,3,4,3.02
1,0.023,40,4,6,4.03
1,0.023,50,5,6,5.03
1,0.023,60,6,11,6.04
1,0.023,70,7,8,7.05
1,0.023,80,8,10,8.05
1,0.023,90,9,13,9.06
1,0.023,100,10,12,10.07
1,0.023,110,11,13,11.08
1,0.023,120,12,13,12.08
1,0.023,130,13,13,13.09
1,0.023,140,14,14,14.1
1,0.023,150,15,15,15.1
1,0.023,160,16,12,16.11
1,0.023,170,17,15,17.12
1,0.023,180,18,15,18.12
1,0.023,190,19,17,19.13
1,0.023,200,20,20,20.14
1,0.024,10,1,1,1.01
1,0.024,20,2,4,2.01
1,0.024,30,3,6,3.02
1,0.024,40,4,7,4.03
1,0.024,50,5,8,5.03
1,0.024,60,6,8,6.04
1,0.024,70,7,6,7.05
1,0.024,80,8,7,8.06
1,0.024,90,9,7,9.06
1,0.024,100,10,11,10.07
1,0.024,110,11,9,11.08
1,0.024,120,12,15,12.08
1,0.024,130,13,13,13.09
1,0.024,140,14,13,14.1
1,0.024,150,15,19,15.11
1,0.024,160,16,11,16.11
1,0.024,170,17,16,17.12
1,0.024,180,18,16,18.13
1,0.024,190,19,17,19.13
1,0.024,200,20,17,20.14
1,0.025,10,1,2,1.01
1,0.025,20,2,4,2.01
1,0.025,30,3,4,3.02
1,0.025,40,4,6,4.03
1,0.025,50,5,8,5.04
1,0.025,60,6,8,6.04
1,0.025,70,7,9,7.05
1,0.025,80,8,9,8.06
1,0.025,90,9,13,9.06
1,0.025,100,10,10,10.07
1,0.025,110,11,10,11.08
1,0.025,120,12,16,12.09
1,0.025,130,13,14,13.09
1,0.025,140,14,17,14.1
1,0.025,150,15,16,15.11
1,0.025,160,16,14,16.12
1,0.025,170,17,15,17.12
1,0.025,180,18,17,18.13
1,0.025,190,19,15,19.14
1,0.025,200,20,15,20.15
1,0.026,10,1,1,1.01
1,0.026,20,2,3,2.01
1,0.026,30,3,5,3.02
1,0.026,40,4,6,4.03
1,0.026,50,5,5,5.04
1,0.026,60,6,11,6.04
1,0.026,70,7,6,7.05
1,0.026,80,8,9,8.06
1,0.026,90,9,14,9.07
1,0.026,100,10,13,10.07
1,0.026,110,11,12,11.08
1,0.026,120,12,13,12.09
1,0.026,130,13,13,13.1
