"sim_number","migration_rates","area","K_num","island_species","estimated_sp_rich"
20,0.011,170,17,9,17.07
20,0.011,180,18,11,18.07
20,0.011,190,19,15,19.08
20,0.011,200,20,12,20.08
20,0.012,10,1,1,1
20,0.012,20,2,3,2.01
20,0.012,30,3,3,3.01
20,0.012,40,4,4,4.02
20,0.012,50,5,6,5.02
20,0.012,60,6,5,6.03
20,0.012,70,7,7,7.03
20,0.012,80,8,6,8.03
20,0.012,90,9,10,9.04
20,0.012,100,10,5,10.04
20,0.012,110,11,6,11.05
20,0.012,120,12,9,12.05
20,0.012,130,13,11,13.06
20,0.012,140,14,11,14.06
20,0.012,150,15,11,15.06
20,0.012,160,16,10,16.07
20,0.012,170,17,11,17.07
20,0.012,180,18,12,18.08
20,0.012,190,19,9,19.08
20,0.012,200,20,18,20.09
20,0.013,10,1,1,1
20,0.013,20,2,3,2.01
20,0.013,30,3,2,3.01
20,0.013,40,4,3,4.02
20,0.013,50,5,7,5.02
20,0.013,60,6,6,6.03
20,0.013,70,7,6,7.03
20,0.013,80,8,8,8.04
20,0.013,90,9,6,9.04
20,0.013,100,10,11,10.05
20,0.013,110,11,11,11.05
20,0.013,120,12,12,12.05
20,0.013,130,13,10,13.06
20,0.013,140,14,10,14.06
20,0.013,150,15,11,15.07
20,0.013,160,16,15,16.07
20,0.013,170,17,13,17.08
20,0.013,180,18,13,18.08
20,0.013,190,19,9,19.09
20,0.013,200,20,14,20.09
20,0.014,10,1,1,1
20,0.014,20,2,4,2.01
20,0.014,30,3,3,3.01
20,0.014,40,4,4,4.02
20,0.014,50,5,6,5.02
20,0.014,60,6,6,6.03
20,0.014,70,7,5,7.03
20,0.014,80,8,6,8.04
20,0.014,90,9,9,9.04
20,0.014,100,10,8,10.05
20,0.014,110,11,8,11.05
20,0.014,120,12,11,12.06
20,0.014,130,13,5,13.06
20,0.014,140,14,11,14.07
20,0.014,150,15,11,15.07
20,0.014,160,16,11,16.08
20,0.014,170,17,10,17.08
20,0.014,180,18,10,18.09
20,0.014,190,19,14,19.09
20,0.014,200,20,14,20.1
20,0.015,10,1,1,1
20,0.015,20,2,3,2.01
20,0.015,30,3,4,3.01
20,0.015,40,4,4,4.02
20,0.015,50,5,5,5.02
20,0.015,60,6,7,6.03
20,0.015,70,7,7,7.04
20,0.015,80,8,9,8.04
20,0.015,90,9,7,9.05
20,0.015,100,10,7,10.05
20,0.015,110,11,9,11.06
20,0.015,120,12,10,12.06
20,0.015,130,13,11,13.07
20,0.015,140,14,13,14.07
20,0.015,150,15,11,15.08
20,0.015,160,16,10,16.08
20,0.015,170,17,8,17.09
20,0.015,180,18,11,18.09
20,0.015,190,19,13,19.1
20,0.015,200,20,12,20.1
20,0.016,10,1,1,1
20,0.016,20,2,4,2.01
20,0.016,30,3,4,3.02
20,0.016,40,4,5,4.02
20,0.016,50,5,4,5.03
20,0.016,60,6,7,6.03
20,0.016,70,7,5,7.04
20,0.016,80,8,7,8.04
20,0.016,90,9,8,9.05
20,0.016,100,10,7,10.05
20,0.016,110,11,11,11.06
20,0.016,120,12,9,12.06
20,0.016,130,13,10,13.07
20,0.016,140,14,10,14.07
20,0.016,150,15,9,15.08
20,0.016,160,16,8,16.08
20,0.016,170,17,10,17.09
20,0.016,180,18,14,18.1
20,0.016,190,19,15,19.1
20,0.016,200,20,13,20.11
20,0.017,10,1,1,1.01
20,0.017,20,2,3,2.01
20,0.017,30,3,4,3.02
20,0.017,40,4,6,4.02
20,0.017,50,5,5,5.03
20,0.017,60,6,7,6.03
20,0.017,70,7,6,7.04
20,0.017,80,8,6,8.04
20,0.017,90,9,6,9.05
20,0.017,100,10,7,10.06
20,0.017,110,11,10,11.06
20,0.017,120,12,9,12.07
20,0.017,130,13,7,13.07
20,0.017,140,14,10,14.08
20,0.017,150,15,13,15.08
20,0.017,160,16,12,16.09
20,0.017,170,17,12,17.09
20,0.017,180,18,10,18.1
20,0.017,190,19,12,19.11
20,0.017,200,20,7,20.11
20,0.018,10,1,1,1.01
20,0.018,20,2,3,2.01
20,0.018,30,3,4,3.02
20,0.018,40,4,5,4.02
20,0.018,50,5,6,5.03
20,0.018,60,6,9,6.03
20,0.018,70,7,9,7.04
20,0.018,80,8,6,8.05
20,0.018,90,9,9,9.05
20,0.018,100,10,6,10.06
20,0.018,110,11,8,11.06
20,0.018,120,12,11,12.07
20,0.018,130,13,9,13.08
20,0.018,140,14,14,14.08
20,0.018,150,15,13,15.09
20,0.018,160,16,15,16.09
20,0.018,170,17,11,17.1
20,0.018,180,18,8,18.1
20,0.018,190,19,14,19.11
20,0.018,200,20,13,20.12
20,0.019,10,1,3,1.01
20,0.019,20,2,1,2.01
20,0.019,30,3,4,3.02
20,0.019,40,4,4,4.02
20,0.019,50,5,3,5.03
20,0.019,60,6,7,6.04
20,0.019,70,7,6,7.04
20,0.019,80,8,6,8.05
20,0.019,90,9,7,9.05
20,0.019,100,10,10,10.06
20,0.019,110,11,11,11.07
20,0.019,120,12,12,12.07
20,0.019,130,13,15,13.08
20,0.019,140,14,12,14.08
20,0.019,150,15,10,15.09
20,0.019,160,16,11,16.1
20,0.019,170,17,17,17.1
20,0.019,180,18,11,18.11
20,0.019,190,19,15,19.11
20,0.019,200,20,14,20.12
20,0.02,10,1,1,1.01
20,0.02,20,2,4,2.01
20,0.02,30,3,4,3.02
20,0.02,40,4,3,4.02
20,0.02,50,5,6,5.03
20,0.02,60,6,6,6.04
20,0.02,70,7,8,7.04
20,0.02,80,8,7,8.05
20,0.02,90,9,8,9.06
20,0.02,100,10,9,10.06
20,0.02,110,11,9,11.07
20,0.02,120,12,5,12.07
20,0.02,130,13,12,13.08
20,0.02,140,14,15,14.09
20,0.02,150,15,8,15.09
20,0.02,160,16,14,16.1
20,0.02,170,17,11,17.11
20,0.02,180,18,15,18.11
20,0.02,190,19,14,19.12
20,0.02,200,20,15,20.12
20,0.021,10,1,1,1.01
20,0.021,20,2,3,2.01
20,0.021,30,3,5,3.02
20,0.021,40,4,4,4.03
20,0.021,50,5,7,5.03
20,0.021,60,6,5,6.04
20,0.021,70,7,9,7.04
20,0.021,80,8,9,8.05
20,0.021,90,9,11,9.06
20,0.021,100,10,9,10.06
20,0.021,110,11,8,11.07
20,0.021,120,12,9,12.08
20,0.021,130,13,9,13.08
20,0.021,140,14,10,14.09
20,0.021,150,15,10,15.1
20,0.021,160,16,13,16.1
20,0.021,170,17,14,17.11
20,0.021,180,18,12,18.12
20,0.021,190,19,13,19.12
20,0.021,200,20,13,20.13
20,0.022,10,1,2,1.01
20,0.022,20,2,5,2.01
20,0.022,30,3,6,3.02
20,0.022,40,4,4,4.03
20,0.022,50,5,5,5.03
20,0.022,60,6,6,6.04
20,0.022,70,7,6,7.05
20,0.022,80,8,4,8.05
20,0.022,90,9,10,9.06
20,0.022,100,10,7,10.07
20,0.022,110,11,7,11.07
20,0.022,120,12,15,12.08
20,0.022,130,13,13,13.09
20,0.022,140,14,9,14.09
20,0.022,150,15,12,15.1
20,0.022,160,16,10,16.11
20,0.022,170,17,13,17.11
20,0.022,180,18,10,18.12
20,0.022,190,19,11,19.13
20,0.022,200,20,14,20.13
20,0.023,10,1,1,1.01
20,0.023,20,2,3,2.01
20,0.023,30,3,4,3.02
20,0.023,40,4,5,4.03
20,0.023,50,5,6,5.03
20,0.023,60,6,7,6.04
20,0.023,70,7,6,7.05
20,0.023,80,8,10,8.05
20,0.023,90,9,6,9.06
20,0.023,100,10,8,10.07
20,0.023,110,11,10,11.08
20,0.023,120,12,9,12.08
20,0.023,130,13,11,13.09
20,0.023,140,14,8,14.1
20,0.023,150,15,10,15.1
20,0.023,160,16,14,16.11
20,0.023,170,17,9,17.12
20,0.023,180,18,11,18.12
20,0.023,190,19,12,19.13
20,0.023,200,20,13,20.14
20,0.024,10,1,2,1.01
20,0.024,20,2,2,2.01
20,0.024,30,3,3,3.02
20,0.024,40,4,3,4.03
20,0.024,50,5,4,5.03
20,0.024,60,6,8,6.04
20,0.024,70,7,7,7.05
20,0.024,80,8,7,8.06
20,0.024,90,9,6,9.06
20,0.024,100,10,7,10.07
20,0.024,110,11,7,11.08
20,0.024,120,12,12,12.08
20,0.024,130,13,11,13.09
20,0.024,140,14,9,14.1
20,0.024,150,15,13,15.11
20,0.024,160,16,10,16.11
20,0.024,170,17,14,17.12
20,0.024,180,18,13,18.13
20,0.024,190,19,12,19.13
20,0.024,200,20,13,20.14
20,0.025,10,1,2,1.01
20,0.025,20,2,3,2.01
20,0.025,30,3,5,3.02
20,0.025,40,4,5,4.03
20,0.025,50,5,4,5.04
20,0.025,60,6,7,6.04
20,0.025,70,7,9,7.05
20,0.025,80,8,8,8.06
20,0.025,90,9,10,9.06
20,0.025,100,10,9,10.07
20,0.025,110,11,11,11.08
20,0.025,120,12,9,12.09
20,0.025,130,13,14,13.09
20,0.025,140,14,12,14.1
20,0.025,150,15,11,15.11
20,0.025,160,16,10,16.12
20,0.025,170,17,9,17.12
20,0.025,180,18,12,18.13
20,0.025,190,19,10,19.14
20,0.025,200,20,14,20.15
20,0.026,10,1,3,1.01
20,0.026,20,2,2,2.01
20,0.026,30,3,3,3.02
20,0.026,40,4,5,4.03
20,0.026,50,5,5,5.04
20,0.026,60,6,5,6.04
20,0.026,70,7,7,7.05
20,0.026,80,8,9,8.06
20,0.026,90,9,7,9.07
20,0.026,100,10,7,10.07
20,0.026,110,11,10,11.08
20,0.026,120,12,11,12.09
20,0.026,130,13,9,13.1
20,0.026,140,14,12,14.1
20,0.026,150,15,11,15.11
20,0.026,160,16,12,16.12
20,0.026,170,17,13,17.13
20,0.026,180,18,13,18.13
20,0.026,190,19,14,19.14
20,0.026,200,20,14,20.15
20,0.027,10,1,1,1.01
20,0.027,20,2,4,2.01
20,0.027,30,3,6,3.02
20,0.027,40,4,4,4.03
20,0.027,50,5,4,5.04
20,0.027,60,6,8,6.05
20,0.027,70,7,8,7.05
20,0.027,80,8,9,8.06
20,0.027,90,9,9,9.07
20,0.027,100,10,8,10.08
20,0.027,110,11,9,11.08
20,0.027,120,12,8,12.09
20,0.027,130,13,11,13.1
20,0.027,140,14,14,14.11
20,0.027,150,15,16,15.11
20,0.027,160,16,10,16.12
20,0.027,170,17,10,17.13
20,0.027,180,18,15,18.14
20,0.027,190,19,16,19.15
20,0.027,200,20,14,20.15
20,0.028,10,1,1,1.01
20,0.028,20,2,2,2.01
20,0.028,30,3,6,3.02
20,0.028,40,4,7,4.03
20,0.028,50,5,5,5.04
20,0.028,60,6,7,6.05
20,0.028,70,7,8,7.05
20,0.028,80,8,9,8.06
20,0.028,90,9,7,9.07
20,0.028,100,10,8,10.08
20,0.028,110,11,11,11.09
20,0.028,120,12,8,12.09
20,0.028,130,13,9,13.1
20,0.028,140,14,12,14.11
20,0.028,150,15,8,15.12
20,0.028,160,16,13,16.12
20,0.028,170,17,10,17.13
20,0.028,180,18,13,18.14
20,0.028,190,19,13,19.15
20,0.028,200,20,13,20.16
20,0.029,10,1,1,1.01
20,0.029,20,2,5,2.02
20,0.029,30,3,5,3.02
20,0.029,40,4,4,4.03
20,0.029,50,5,7,5.04
20,0.029,60,6,7,6.05
20,0.029,70,7,8,7.06
20,0.029,80,8,10,8.06
20,0.029,90,9,6,9.07
20,0.029,100,10,10,10.08
20,0.029,110,11,7,11.09
20,0.029,120,12,8,12.1
20,0.029,130,13,12,13.1
20,0.029,140,14,11,14.11
20,0.029,150,15,12,15.12
20,0.029,160,16,15,16.13
20,0.029,170,17,9,17.14
20,0.029,180,18,13,18.14
20,0.029,190,19,13,19.15
20,0.029,200,20,18,20.16
20,0.03,10,1,2,1.01
20,0.03,20,2,3,2.02
20,0.03,30,3,4,3.02
20,0.03,40,4,5,4.03
20,0.03,50,5,4,5.04
20,0.03,60,6,8,6.05
20,0.03,70,7,7,7.06
20,0.03,80,8,6,8.06
20,0.03,90,9,11,9.07
20,0.03,100,10,10,10.08
20,0.03,110,11,12,11.09
20,0.03,120,12,10,12.1
20,0.03,130,13,13,13.11
20,0.03,140,14,12,14.11
20,0.03,150,15,12,15.12
20,0.03,160,16,14,16.13
20,0.03,170,17,16,17.14
20,0.03,180,18,14,18.15
20,0.03,190,19,10,19.16
20,0.03,200,20,19,20.16
20,0.031,10,1,2,1.01
20,0.031,20,2,2,2.02
20,0.031,30,3,4,3.02
20,0.031,40,4,5,4.03
20,0.031,50,5,7,5.04
20,0.031,60,6,8,6.05
20,0.031,70,7,6,7.06
20,0.031,80,8,8,8.07
20,0.031,90,9,9,9.07
20,0.031,100,10,11,10.08
20,0.031,110,11,13,11.09
20,0.031,120,12,12,12.1
20,0.031,130,13,11,13.11
20,0.031,140,14,11,14.12
20,0.031,150,15,12,15.12
20,0.031,160,16,11,16.13
20,0.031,170,17,12,17.14
20,0.031,180,18,15,18.15
20,0.031,190,19,13,19.16
20,0.031,200,20,15,20.17
20,0.032,10,1,1,1.01
20,0.032,20,2,2,2.02
20,0.032,30,3,8,3.02
20,0.032,40,4,5,4.03
20,0.032,50,5,6,5.04
20,0.032,60,6,6,6.05
20,0.032,70,7,6,7.06
20,0.032,80,8,10,8.07
20,0.032,90,9,11,9.08
20,0.032,100,10,12,10.08
20,0.032,110,11,10,11.09
20,0.032,120,12,7,12.1
20,0.032,130,13,12,13.11
20,0.032,140,14,10,14.12
20,0.032,150,15,10,15.13
20,0.032,160,16,14,16.14
20,0.032,170,17,11,17.14
20,0.032,180,18,12,18.15
20,0.032,190,19,13,19.16
20,0.032,200,20,10,20.17
20,0.033,10,1,1,1.01
20,0.033,20,2,2,2.02
20,0.033,30,3,5,3.03
20,0.033,40,4,5,4.03
20,0.033,50,5,6,5.04
20,0.033,60,6,7,6.05
20,0.033,70,7,7,7.06
20,0.033,80,8,9,8.07
20,0.033,90,9,8,9.08
20,0.033,100,10,9,10.09
20,0.033,110,11,10,11.09
20,0.033,120,12,12,12.1
20,0.033,130,13,11,13.11
20,0.033,140,14,12,14.12
20,0.033,150,15,13,15.13
20,0.033,160,16,18,16.14
20,0.033,170,17,15,17.15
20,0.033,180,18,14,18.16
20,0.033,190,19,13,19.16
20,0.033,200,20,9,20.17
20,0.034,10,1,1,1.01
20,0.034,20,2,2,2.02
20,0.034,30,3,7,3.03
20,0.034,40,4,6,4.03
20,0.034,50,5,4,5.04
20,0.034,60,6,7,6.05
20,0.034,70,7,9,7.06
20,0.034,80,8,9,8.07
20,0.034,90,9,13,9.08
20,0.034,100,10,7,10.09
20,0.034,110,11,10,11.1
20,0.034,120,12,13,12.11
20,0.034,130,13,13,13.11
20,0.034,140,14,16,14.12
20,0.034,150,15,11,15.13
20,0.034,160,16,9,16.14
20,0.034,170,17,10,17.15
20,0.034,180,18,11,18.16
20,0.034,190,19,15,19.17
20,0.034,200,20,15,20.18
20,0.035,10,1,1,1.01
20,0.035,20,2,3,2.02
20,0.035,30,3,5,3.03
20,0.035,40,4,4,4.04
20,0.035,50,5,5,5.04
20,0.035,60,6,11,6.05
20,0.035,70,7,7,7.06
20,0.035,80,8,5,8.07
20,0.035,90,9,8,9.08
20,0.035,100,10,9,10.09
20,0.035,110,11,10,11.1
20,0.035,120,12,12,12.11
20,0.035,130,13,10,13.12
20,0.035,140,14,9,14.13
20,0.035,150,15,10,15.13
20,0.035,160,16,13,16.14
20,0.035,170,17,14,17.15
20,0.035,180,18,9,18.16
20,0.035,190,19,16,19.17
20,0.035,200,20,16,20.18
20,0.036,10,1,2,1.01
20,0.036,20,2,4,2.02
20,0.036,30,3,2,3.03
20,0.036,40,4,5,4.04
20,0.036,50,5,4,5.04
20,0.036,60,6,7,6.05
20,0.036,70,7,12,7.06
20,0.036,80,8,9,8.07
20,0.036,90,9,7,9.08
20,0.036,100,10,14,10.09
20,0.036,110,11,12,11.1
20,0.036,120,12,13,12.11
20,0.036,130,13,7,13.12
20,0.036,140,14,12,14.13
20,0.036,150,15,13,15.14
20,0.036,160,16,13,16.15
20,0.036,170,17,11,17.15
20,0.036,180,18,12,18.16
20,0.036,190,19,17,19.17
20,0.036,200,20,12,20.18
20,0.037,10,1,2,1.01
20,0.037,20,2,3,2.02
20,0.037,30,3,6,3.03
20,0.037,40,4,4,4.04
20,0.037,50,5,7,5.05
20,0.037,60,6,8,6.05
20,0.037,70,7,9,7.06
20,0.037,80,8,6,8.07
20,0.037,90,9,9,9.08
20,0.037,100,10,9,10.09
20,0.037,110,11,7,11.1
20,0.037,120,12,10,12.11
20,0.037,130,13,12,13.12
20,0.037,140,14,16,14.13
20,0.037,150,15,12,15.14
20,0.037,160,16,14,16.15
20,0.037,170,17,13,17.16
20,0.037,180,18,13,18.17
20,0.037,190,19,12,19.18
20,0.037,200,20,13,20.19
20,0.038,10,1,2,1.01
20,0.038,20,2,2,2.02
20,0.038,30,3,1,3.03
20,0.038,40,4,7,4.04
20,0.038,50,5,7,5.05
20,0.038,60,6,7,6.06
20,0.038,70,7,9,7.07
20,0.038,80,8,10,8.07
20,0.038,90,9,8,9.08
20,0.038,100,10,7,10.09
20,0.038,110,11,12,11.1
20,0.038,120,12,7,12.11
20,0.038,130,13,11,13.12
20,0.038,140,14,9,14.13
20,0.038,150,15,13,15.14
20,0.038,160,16,8,16.15
20,0.038,170,17,17,17.16
20,0.038,180,18,10,18.17
20,0.038,190,19,15,19.18
20,0.038,200,20,20,20.19
20,0.039,10,1,2,1.01
20,0.039,20,2,3,2.02
20,0.039,30,3,4,3.03
20,0.039,40,4,6,4.04
20,0.039,50,5,4,5.05
20,0.039,60,6,7,6.06
20,0.039,70,7,9,7.07
20,0.039,80,8,9,8.08
20,0.039,90,9,7,9.09
20,0.039,100,10,9,10.1
20,0.039,110,11,11,11.1
20,0.039,120,12,9,12.11
20,0.039,130,13,11,13.12
20,0.039,140,14,9,14.13
20,0.039,150,15,11,15.14
20,0.039,160,16,12,16.15
20,0.039,170,17,14,17.16
20,0.039,180,18,14,18.17
20,0.039,190,19,14,19.18
20,0.039,200,20,11,20.19
20,0.04,10,1,2,1.01
20,0.04,20,2,3,2.02
20,0.04,30,3,3,3.03
20,0.04,40,4,4,4.04
20,0.04,50,5,5,5.05
20,0.04,60,6,6,6.06
20,0.04,70,7,7,7.07
20,0.04,80,8,8,8.08
20,0.04,90,9,8,9.09
20,0.04,100,10,9,10.1
20,0.04,110,11,10,11.11
20,0.04,120,12,12,12.12
20,0.04,130,13,11,13.13
20,0.04,140,14,12,14.14
20,0.04,150,15,14,15.15
20,0.04,160,16,14,16.15
20,0.04,170,17,14,17.16
20,0.04,180,18,15,18.17
20,0.04,190,19,14,19.18
20,0.04,200,20,15,20.19
20,0.041,10,1,2,1.01
20,0.041,20,2,5,2.02
20,0.041,30,3,7,3.03
20,0.041,40,4,3,4.04
20,0.041,50,5,7,5.05
20,0.041,60,6,8,6.06
20,0.041,70,7,8,7.07
20,0.041,80,8,9,8.08
20,0.041,90,9,6,9.09
20,0.041,100,10,8,10.1
20,0.041,110,11,11,11.11
20,0.041,120,12,7,12.12
20,0.041,130,13,13,13.13
20,0.041,140,14,9,14.14
20,0.041,150,15,12,15.15
20,0.041,160,16,15,16.16
20,0.041,170,17,17,17.17
20,0.041,180,18,17,18.18
20,0.041,190,19,17,19.19
20,0.041,200,20,16,20.2
20,0.042,10,1,1,1.01
20,0.042,20,2,3,2.02
20,0.042,30,3,5,3.03
20,0.042,40,4,4,4.04
20,0.042,50,5,7,5.05
20,0.042,60,6,7,6.06
20,0.042,70,7,4,7.07
20,0.042,80,8,9,8.08
20,0.042,90,9,9,9.09
20,0.042,100,10,8,10.1
20,0.042,110,11,14,11.11
20,0.042,120,12,11,12.12
20,0.042,130,13,15,13.13
20,0.042,140,14,12,14.14
20,0.042,150,15,13,15.15
20,0.042,160,16,16,16.16
20,0.042,170,17,16,17.17
20,0.042,180,18,11,18.18
20,0.042,190,19,14,19.19
20,0.042,200,20,17,20.2
20,0.043,10,1,1,1.01
20,0.043,20,2,2,2.02
20,0.043,30,3,5,3.03
20,0.043,40,4,3,4.04
20,0.043,50,5,7,5.05
20,0.043,60,6,7,6.06
20,0.043,70,7,7,7.07
20,0.043,80,8,10,8.08
20,0.043,90,9,9,9.09
20,0.043,100,10,14,10.1
20,0.043,110,11,9,11.11
20,0.043,120,12,12,12.12
20,0.043,130,13,16,13.13
20,0.043,140,14,15,14.14
20,0.043,150,15,15,15.15
20,0.043,160,16,13,16.16
20,0.043,170,17,15,17.17
20,0.043,180,18,12,18.18
20,0.043,190,19,17,19.19
20,0.043,200,20,14,20.2
20,0.044,10,1,2,1.01
20,0.044,20,2,4,2.02
20,0.044,30,3,6,3.03
20,0.044,40,4,8,4.04
20,0.044,50,5,7,5.05
20,0.044,60,6,6,6.06
20,0.044,70,7,7,7.07
20,0.044,80,8,13,8.08
20,0.044,90,9,10,9.09
20,0.044,100,10,12,10.1
20,0.044,110,11,9,11.11
20,0.044,120,12,12,12.12
20,0.044,130,13,10,13.13
20,0.044,140,14,9,14.14
20,0.044,150,15,19,15.15
20,0.044,160,16,15,16.16
20,0.044,170,17,13,17.17
20,0.044,180,18,16,18.18
20,0.044,190,19,13,19.19
20,0.044,200,20,15,20.2
20,0.045,10,1,3,1.01
20,0.045,20,2,3,2.02
20,0.045,30,3,5,3.03
20,0.045,40,4,7,4.04
20,0.045,50,5,6,5.05
20,0.045,60,6,10,6.06
20,0.045,70,7,7,7.07
20,0.045,80,8,8,8.08
20,0.045,90,9,11,9.09
20,0.045,100,10,11,10.1
20,0.045,110,11,10,11.11
20,0.045,120,12,9,12.12
20,0.045,130,13,13,13.13
20,0.045,140,14,11,14.14
20,0.045,150,15,10,15.16
20,0.045,160,16,13,16.17
20,0.045,170,17,15,17.18
20,0.045,180,18,15,18.19
20,0.045,190,19,12,19.2
20,0.045,200,20,18,20.21
20,0.046,10,1,1,1.01
20,0.046,20,2,4,2.02
20,0.046,30,3,5,3.03
20,0.046,40,4,3,4.04
20,0.046,50,5,6,5.05
20,0.046,60,6,9,6.06
20,0.046,70,7,8,7.07
20,0.046,80,8,9,8.08
20,0.046,90,9,11,9.09
20,0.046,100,10,12,10.1
20,0.046,110,11,7,11.11
20,0.046,120,12,10,12.13
20,0.046,130,13,13,13.14
20,0.046,140,14,13,14.15
20,0.046,150,15,10,15.16
20,0.046,160,16,11,16.17
20,0.046,170,17,17,17.18
20,0.046,180,18,11,18.19
20,0.046,190,19,13,19.2
20,0.046,200,20,12,20.21
20,0.047,10,1,2,1.01
20,0.047,20,2,2,2.02
20,0.047,30,3,6,3.03
20,0.047,40,4,6,4.04
20,0.047,50,5,7,5.05
20,0.047,60,6,7,6.06
20,0.047,70,7,7,7.07
20,0.047,80,8,7,8.08
20,0.047,90,9,10,9.09
20,0.047,100,10,7,10.11
20,0.047,110,11,11,11.12
20,0.047,120,12,9,12.13
20,0.047,130,13,10,13.14
20,0.047,140,14,10,14.15
20,0.047,150,15,17,15.16
20,0.047,160,16,14,16.17
20,0.047,170,17,11,17.18
20,0.047,180,18,13,18.19
20,0.047,190,19,13,19.2
20,0.047,200,20,15,20.21
20,0.048,10,1,2,1.01
20,0.048,20,2,2,2.02
20,0.048,30,3,5,3.03
20,0.048,40,4,4,4.04
20,0.048,50,5,5,5.05
20,0.048,60,6,10,6.06
20,0.048,70,7,6,7.07
20,0.048,80,8,8,8.09
20,0.048,90,9,10,9.1
20,0.048,100,10,9,10.11
20,0.048,110,11,8,11.12
20,0.048,120,12,15,12.13
20,0.048,130,13,11,13.14
20,0.048,140,14,10,14.15
20,0.048,150,15,14,15.16
20,0.048,160,16,12,16.17
20,0.048,170,17,14,17.18
20,0.048,180,18,13,18.19
20,0.048,190,19,12,19.2
20,0.048,200,20,13,20.21
20,0.049,10,1,2,1.01
20,0.049,20,2,4,2.02
20,0.049,30,3,7,3.03
20,0.049,40,4,7,4.04
20,0.049,50,5,6,5.05
20,0.049,60,6,6,6.06
20,0.049,70,7,9,7.08
20,0.049,80,8,10,8.09
20,0.049,90,9,10,9.1
20,0.049,100,10,8,10.11
20,0.049,110,11,13,11.12
20,0.049,120,12,9,12.13
20,0.049,130,13,17,13.14
20,0.049,140,14,11,14.15
20,0.049,150,15,12,15.16
20,0.049,160,16,15,16.17
20,0.049,170,17,12,17.18
20,0.049,180,18,16,18.2
20,0.049,190,19,17,19.21
20,0.049,200,20,16,20.22
20,0.05,10,1,2,1.01
20,0.05,20,2,2,2.02
20,0.05,30,3,5,3.03
20,0.05,40,4,3,4.04
20,0.05,50,5,5,5.05
20,0.05,60,6,8,6.06
20,0.05,70,7,11,7.08
20,0.05,80,8,9,8.09
20,0.05,90,9,10,9.1
20,0.05,100,10,11,10.11
20,0.05,110,11,11,11.12
20,0.05,120,12,13,12.13
20,0.05,130,13,8,13.14
20,0.05,140,14,10,14.15
20,0.05,150,15,10,15.16
20,0.05,160,16,13,16.18
20,0.05,170,17,12,17.19
20,0.05,180,18,13,18.2
20,0.05,190,19,18,19.21
20,0.05,200,20,17,20.22
21,0.001,10,1,1,1
21,0.001,20,2,2,2
21,0.001,30,3,4,3
21,0.001,40,4,4,4
21,0.001,50,5,5,5
21,0.001,60,6,6,6
21,0.001,70,7,8,7
21,0.001,80,8,8,8
21,0.001,90,9,10,9
21,0.001,100,10,10,10
21,0.001,110,11,10,11
21,0.001,120,12,12,12.01
21,0.001,130,13,14,13.01
21,0.001,140,14,16,14.01
21,0.001,150,15,12,15.01
21,0.001,160,16,10,16.01
21,0.001,170,17,16,17.01
21,0.001,180,18,15,18.01
21,0.001,190,19,17,19.01
21,0.001,200,20,16,20.01
21,0.002,10,1,1,1
21,0.002,20,2,2,2
21,0.002,30,3,3,3
21,0.002,40,4,4,4
21,0.002,50,5,5,5
21,0.002,60,6,6,6.01
21,0.002,70,7,7,7.01
21,0.002,80,8,7,8.01
21,0.002,90,9,10,9.01
21,0.002,100,10,10,10.01
21,0.002,110,11,13,11.01
21,0.002,120,12,11,12.01
21,0.002,130,13,13,13.01
21,0.002,140,14,10,14.01
21,0.002,150,15,13,15.01
21,0.002,160,16,15,16.01
21,0.002,170,17,13,17.01
21,0.002,180,18,19,18.02
21,0.002,190,19,15,19.02
21,0.002,200,20,16,20.02
21,0.003,10,1,1,1
21,0.003,20,2,2,2
21,0.003,30,3,3,3
21,0.003,40,4,4,4.01
21,0.003,50,5,4,5.01
21,0.003,60,6,5,6.01
21,0.003,70,7,7,7.01
21,0.003,80,8,7,8.01
21,0.003,90,9,8,9.01
21,0.003,100,10,12,10.01
21,0.003,110,11,11,11.01
21,0.003,120,12,11,12.02
21,0.003,130,13,9,13.02
21,0.003,140,14,14,14.02
21,0.003,150,15,15,15.02
21,0.003,160,16,13,16.02
21,0.003,170,17,16,17.02
21,0.003,180,18,13,18.02
21,0.003,190,19,15,19.02
21,0.003,200,20,14,20.03
21,0.004,10,1,1,1
21,0.004,20,2,2,2
21,0.004,30,3,3,3
21,0.004,40,4,4,4.01
21,0.004,50,5,5,5.01
21,0.004,60,6,6,6.01
21,0.004,70,7,8,7.01
21,0.004,80,8,7,8.01
21,0.004,90,9,11,9.01
21,0.004,100,10,10,10.02
21,0.004,110,11,7,11.02
21,0.004,120,12,12,12.02
21,0.004,130,13,10,13.02
21,0.004,140,14,13,14.02
21,0.004,150,15,9,15.02
21,0.004,160,16,13,16.03
21,0.004,170,17,16,17.03
21,0.004,180,18,16,18.03
21,0.004,190,19,13,19.03
21,0.004,200,20,17,20.03
21,0.005,10,1,1,1
21,0.005,20,2,2,2
21,0.005,30,3,3,3.01
21,0.005,40,4,3,4.01
21,0.005,50,5,5,5.01
21,0.005,60,6,5,6.01
21,0.005,70,7,7,7.01
21,0.005,80,8,9,8.02
21,0.005,90,9,9,9.02
21,0.005,100,10,9,10.02
21,0.005,110,11,9,11.02
21,0.005,120,12,11,12.02
