"Area","Migration","SimRich","ModelRich"
130,0.012,11.62,13.06
140,0.012,12.25,14.06
150,0.012,12.8,15.06
160,0.012,13.3,16.07
170,0.012,13.58,17.07
180,0.012,14.29,18.08
190,0.012,14.67,19.08
200,0.012,15.12,20.09
10,0.013,1.38,1
20,0.013,2.62,2.01
30,0.013,3.66,3.01
40,0.013,4.48,4.02
50,0.013,5.73,5.02
60,0.013,6.63,6.03
70,0.013,7.47,7.03
80,0.013,8.24,8.04
90,0.013,8.95,9.04
100,0.013,9.7,10.05
110,0.013,10.61,11.05
120,0.013,10.86,12.05
130,0.013,11.89,13.06
140,0.013,11.98,14.06
150,0.013,12.86,15.07
160,0.013,13.48,16.07
170,0.013,14.05,17.08
180,0.013,13.97,18.08
190,0.013,14.65,19.09
200,0.013,15.42,20.09
10,0.014,1.28,1
20,0.014,2.76,2.01
30,0.014,3.67,3.01
40,0.014,4.74,4.02
50,0.014,5.91,5.02
60,0.014,6.96,6.03
70,0.014,7.56,7.03
80,0.014,8.12,8.04
90,0.014,8.74,9.04
100,0.014,9.32,10.05
110,0.014,10.05,11.05
120,0.014,10.94,12.06
130,0.014,11.69,13.06
140,0.014,12.38,14.07
150,0.014,12.68,15.07
160,0.014,13.31,16.08
170,0.014,13.94,17.08
180,0.014,14.46,18.09
190,0.014,14.24,19.09
200,0.014,15.15,20.1
10,0.015,1.46,1
20,0.015,2.67,2.01
30,0.015,3.72,3.01
40,0.015,4.72,4.02
50,0.015,5.69,5.02
60,0.015,6.81,6.03
70,0.015,7.53,7.04
80,0.015,8.52,8.04
90,0.015,8.8,9.05
100,0.015,9.77,10.05
110,0.015,10.13,11.06
120,0.015,11.03,12.06
130,0.015,11.94,13.07
140,0.015,12.56,14.07
150,0.015,13.17,15.08
160,0.015,13.71,16.08
170,0.015,13.84,17.09
180,0.015,14.14,18.09
190,0.015,14.87,19.1
200,0.015,15.65,20.1
10,0.016,1.37,1
20,0.016,2.66,2.01
30,0.016,3.75,3.02
40,0.016,4.71,4.02
50,0.016,5.89,5.03
60,0.016,6.76,6.03
70,0.016,7.53,7.04
80,0.016,8.62,8.04
90,0.016,9.11,9.05
100,0.016,9.7,10.05
110,0.016,10.15,11.06
120,0.016,11.16,12.06
130,0.016,11.74,13.07
140,0.016,12.53,14.07
150,0.016,13.17,15.08
160,0.016,13.48,16.08
170,0.016,13.83,17.09
180,0.016,14.65,18.1
190,0.016,15.32,19.1
200,0.016,15.68,20.11
10,0.017,1.41,1.01
20,0.017,2.72,2.01
30,0.017,3.77,3.02
40,0.017,5.19,4.02
50,0.017,5.92,5.03
60,0.017,6.99,6.03
70,0.017,7.43,7.04
80,0.017,8.52,8.04
90,0.017,9.08,9.05
100,0.017,9.77,10.06
110,0.017,10.5,11.06
120,0.017,11.13,12.07
130,0.017,11.84,13.07
140,0.017,12.36,14.08
150,0.017,12.7,15.08
160,0.017,13.6,16.09
170,0.017,14.61,17.09
180,0.017,15.02,18.1
190,0.017,14.94,19.11
200,0.017,15.33,20.11
10,0.018,1.47,1.01
20,0.018,2.61,2.01
30,0.018,4,3.02
40,0.018,5.05,4.02
50,0.018,5.89,5.03
60,0.018,6.88,6.03
70,0.018,7.49,7.04
80,0.018,8.67,8.05
90,0.018,9.47,9.05
100,0.018,9.99,10.06
110,0.018,10.96,11.06
120,0.018,11.27,12.07
130,0.018,11.65,13.08
140,0.018,12.66,14.08
150,0.018,13.22,15.09
160,0.018,13.71,16.09
170,0.018,14.47,17.1
180,0.018,14.12,18.1
190,0.018,15.52,19.11
200,0.018,15.72,20.12
10,0.019,1.4,1.01
20,0.019,2.76,2.01
30,0.019,3.89,3.02
40,0.019,4.92,4.02
50,0.019,6.07,5.03
60,0.019,7.04,6.04
70,0.019,7.62,7.04
80,0.019,8.64,8.05
90,0.019,9.34,9.05
100,0.019,10.18,10.06
110,0.019,10.88,11.07
120,0.019,11.7,12.07
130,0.019,12.36,13.08
140,0.019,13.12,14.08
