"ID","R^2","CriticalArea","m0","m_rate","k","theta"
1,0.16,6840,0.956,0.374,15,1.96
2,0.96,1180,1,0.0925,19,11.04
3,0.96,35600,0.0489,0.00128,6,23.23
4,0.77,0.0722,0.98,0.84,1,0.72
