"","Location","term","estimate","std.error","statistic","p.value"
"1","Andaman Sea (West of South Thailand)","(Intercept)",0.00267191819116117,0.00124764619407843,2.14156721981168,0.0399423390411534
"2","Andaman Sea (West of South Thailand)","Prey.mass",1509.12569565978,555.747632476326,2.71548740376157,0.0105792556844276
"3","Antarctic Peninsula","(Intercept)",0.392505188066417,0.0150125696273976,26.145103590401,1.22883287890738e-131
"4","Antarctic Peninsula","Prey.mass",0.0391861145982004,0.07792802046036,0.502850122031951,0.615119374752388
"5","Apalachicola Bay, Florida","(Intercept)",1424.35061743784,268.188639708773,5.31100280378972,3.3563671807732e-07
"6","Apalachicola Bay, Florida","Prey.mass",58.5651531203348,7.32394534477258,7.99639406950726,1.84034530476596e-13
"7","Atlantic Ocean","(Intercept)",1776.30680866043,17.0471003423401,104.199938581261,0
"8","Atlantic Ocean","Prey.mass",4.45303435862341,0.138437200840403,32.1664576543778,4.58563227345505e-220
"9","Cape Cod Bay, Gulf of Maine, New England","(Intercept)",246477.768022221,5325.02835830385,46.2866582931644,1.44892479169755e-62
"10","Cape Cod Bay, Gulf of Maine, New England","Prey.mass",14.2426271250125,9.01874285271676,1.5792253263682,0.117955677993823
"11","Catalan Sea","(Intercept)",0.00406712631900231,0.000357418363089301,11.3791756076789,1.87100935465474e-26
"12","Catalan Sea","Prey.mass",215.612238352205,30.204518910142,7.1384099509629,3.96075896662663e-12
"13","Crooked Island Sound, Florida","(Intercept)",541.926877522502,78.5333484643087,6.90059558289169,4.63353590857434e-10
"14","Crooked Island Sound, Florida","Prey.mass",8.93111353176893,2.09315210536898,4.26682490434423,4.47776370543988e-05
"15","Eastern Mediterranean","(Intercept)",35.0553585365509,9.00749756515243,3.89179772550487,0.000118273078457374
"16","Eastern Mediterranean","Prey.mass",2.86955971449891,0.11707832910233,24.5097426355551,4.03044944481168e-79
"17","Europe, Celtic Sea ecosystem","(Intercept)",791.833537668487,38.5622745690253,20.5338908691999,1.69450976094992e-85
"18","Europe, Celtic Sea ecosystem","Prey.mass",12.9897337832027,0.570363594093112,22.7744791528228,9.78120093069924e-103
"19","French Polynesian EEZ","(Intercept)",21162.1681128019,184.105364335093,114.94596145653,0
"20","French Polynesian EEZ","Prey.mass",-3.51592750131957,2.89515932735295,-1.21441589348873,0.224660476834354
"21","Great Channel South, Gulf of Maine, New England","(Intercept)",111474.182198754,3044.01827751615,36.6207335291412,4.49948823806722e-169
"22","Great Channel South, Gulf of Maine, New England","Prey.mass",122.264102696787,12.8805561961524,9.49214465857528,2.94754683222368e-20
"23","Great South Bay, Long Island, New York","(Intercept)",14.5631853115677,0.928014636755562,15.6928401070075,9.05072202931314e-41
"24","Great South Bay, Long Island, New York","Prey.mass",5.44632116641699,0.476239454958319,11.4360981848798,2.58826202946324e-25
"25","Greenland","(Intercept)",0.012841847290578,0.00197795772131348,6.49247815168172,4.8198073369005e-08
"26","Greenland","Prey.mass",0.0224934241833164,0.0063029416327365,3.56871846416744,0.000838980835628301
"27","Gulf of Alaska","(Intercept)",2.0567304625579,0.0573062561164311,35.8901558388175,1.09272044386207e-33
"28","Gulf of Alaska","Prey.mass",0.438695034617116,0.596507147357178,0.735439695166691,0.466064418709937
"29","Gulf of Maine, New England","(Intercept)",265888.135314901,12974.3548677403,20.4933607894456,1.97490257794766e-34
"30","Gulf of Maine, New England","Prey.mass",-198.424409208304,225.948254319909,-0.878185183618923,0.382348258082336
"31","Jeffreys Ledge, Gulf of Maine, New England","(Intercept)",146366.911211796,3549.31581533394,41.2380635669144,1.8023687592161e-150
"32","Jeffreys Ledge, Gulf of Maine, New England","Prey.mass",34.4131073455915,18.6642712664303,1.84379592722096,0.065910461099451
"33","Mid Atlantic","(Intercept)",67.7587682741858,5.95612983592364,11.3763081297368,2.40472958431864e-20
"34","Mid Atlantic","Prey.mass",2.17629944204452,0.434536307988856,5.00832589137829,2.08517706983654e-06
"35","NE North Sea and Skaggerak","(Intercept)",-0.00894725357799645,0.0193530524391351,-0.462317435770681,0.64910405958023
"36","NE North Sea and Skaggerak","Prey.mass",12891.0179017009,2029.2882148135,6.35248251460702,4.28279187292489e-06
"37","Off the Bay of Biscay","(Intercept)",22086.8030184127,811.597541389249,27.2139846316016,6.92882071894168e-151
"38","Off the Bay of Biscay","Prey.mass",129.439747117748,4.30541282813507,30.0644217604136,8.31700384711394e-181
"39","Oxwich Bay, Wales","(Intercept)",0.296754632938977,0.00456242448531571,65.0431878695395,0
"40","Oxwich Bay, Wales","Prey.mass",20.0072558960933,1.44831056933044,13.8142027820337,1.25359043318191e-40
"41","South of Marthas Vineyard, New England","(Intercept)",40054.1621508959,12118.1006043768,3.30531685274416,0.00191983905992147
"42","South of Marthas Vineyard, New England","Prey.mass",3481.53552195153,1366.3955871792,2.54797040814429,0.0144909018508062
"43","Stellwagen Bank, Gulf of Maine, New England","(Intercept)",193189.957486417,3473.84015332763,55.6127941872508,6.76542659411387e-219
"44","Stellwagen Bank, Gulf of Maine, New England","Prey.mass",62.4633459958341,14.1873706292661,4.4027429485054,1.30241103073115e-05
"45","Strait of Georgia","(Intercept)",1.55548269410739,0.323170415297959,4.81319644520448,1.86332911627685e-06
"46","Strait of Georgia","Prey.mass",82.0794549528905,7.32250235392395,11.2092084079572,1.04853110102527e-26
"47","W Greenland","(Intercept)",0.151209148178065,0.00692266895544834,21.8426085590961,5.20069888358946e-50
"48","W Greenland","Prey.mass",0.0238784771425167,0.00516063182586454,4.62704528209905,7.58715637966762e-06
