,Year,Author,Title,Nation,Area,Distance,Total_Species,Bacteria,Viruses,Fungi,Parasites,Protozoa
46,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Pitcairn_Is.,51.092856,5594.73435,107,49,28,7,15,8
47,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Puerto_Rico,9960.148438,793.8054838,131,55,35,9,22,10
48,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Reunion,3033.722701,1788.695706,120,52,32,7,18,11
49,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Samoa,3047.616499,4113.76248,119,54,31,7,18,9
50,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Sao_Tome_&_Principe,1142.244414,247.2574435,126,55,33,7,20,11
51,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Seychelles,523.476664,1236.923575,116,53,30,7,17,9
52,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Solomon_Is.,29258.58896,1734.669843,121,55,31,7,17,11
53,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Sri_Lanka,67226.25158,222.9346185,137,57,38,7,24,11
54,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,St._Helena,141.081114,1941.969758,115,52,29,7,17,10
55,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,St._Kitts_&_Nevis,295.108055,743.9158435,115,52,28,7,19,9
56,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,St._Lucia,656.306073,372.7122901,118,54,29,7,19,9
57,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,St._Vincent_&_the_Grenadines,415.144696,290.9030327,118,54,31,7,17,9
58,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Tokelau,7.560362,4345.60329,112,50,30,7,16,9
59,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Tonga,526.135741,3621.58547,116,52,31,7,16,10
60,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Trinidad_&_Tobago,5336.49787,73.666456,131,54,37,9,19,12
61,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Turks_&_Caicos_Is.,1173.276824,1040.680256,115,52,31,7,16,9
62,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Tuvalu,37.476148,3479.550007,118,55,30,7,16,10
63,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Vanuatu,13563.23846,1967.249695,118,52,31,7,17,11
64,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Virgin_Is.,410.844209,838.5203999,106,45,30,7,15,9
65,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Wake_I.,20.565977,4303.141202,112,52,29,7,15,9
66,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Wallis_&_Futuna,190.196396,3588.5527,115,52,31,7,16,9
