"nat","pop","logpop","area","logarea","dens","logdens","dist","logdist","latmain","culmi","lat","long","iRS","iRSho","iRSmh","iRSz","iRSvec0","iRSvec1","iRSbact","iRSvirus","iRSfung","iRSpara","iRSproto","logiRS","logiRSho","logiRSmh","logiRSz","logiRSvec0","logiRSvec1","logiRSbact","logiRSvirus","logiRSfung","logiRSpara","logiRSproto"
"Pitcairn_Is.",48,1.68124123737559,51.092856,1.70836017965179,0.939465979,-0.0271189424395519,5594.73435,3.7477794701194,-20,30,-24.442242,-128.516717,107,60,16,31,99,8,49,28,7,15,8,2.02938377768521,1.77815125038364,1.20411998265592,1.49136169383427,1.99563519459755,0.903089986991943,1.69019608002851,1.44715803134222,0.845098040014257,1.17609125905568,0.903089986991943
"Puerto_Rico",3966213,6.59837603368186,9960.148438,3.99826581084578,398.208222,2.60011022287463,793.8054838,2.89971409479268,10,1145,18.220213,-66.469279,131,68,21,42,112,19,55,35,9,22,10,2.11727129565576,1.83250891270624,1.32221929473392,1.6232492903979,2.04921802267018,1.27875360095283,1.74036268949424,1.54406804435028,0.954242509439325,1.34242268082221,1
"Reunion",817000,5.91222205653242,3033.722701,3.48197588135205,269.3060904,2.43024617516124,1788.695706,3.25253646441006,-15,2805,-21.121661,55.53818,120,66,19,35,108,12,52,32,7,18,11,2.07918124604762,1.81954393554187,1.27875360095283,1.54406804435028,2.03342375548695,1.07918124604762,1.7160033436348,1.50514997831991,0.845098040014257,1.25527250510331,1.04139268515822
"Samoa",219998,5.34241873267261,3047.616499,3.48396031606427,72.18690412,1.85845841662382,4113.76248,3.61423921283191,-25,1772,-13.744268,-172.190998,119,66,20,33,107,12,54,31,7,18,9,2.07554696139253,1.81954393554187,1.30102999566398,1.51851393987789,2.02938377768521,1.07918124604762,1.73239375982297,1.49136169383427,0.845098040014257,1.25527250510331,0.954242509439325
"Sao_Tome_&_Principe",212679,5.3277246096283,1142.244414,3.0577590428714,186.1939506,2.26996556674351,247.2574435,2.39314937457586,0,1564,0.456985,6.736588,126,68,19,39,112,14,55,33,7,20,11,2.10037054511756,1.83250891270624,1.27875360095283,1.5910646070265,2.04921802267018,1.14612803567824,1.74036268949424,1.51851393987789,0.845098040014257,1.30102999566398,1.04139268515822
"Seychelles",87476,4.94188891591058,523.476664,2.7188973260876,167.1058254,2.22299158989924,1236.923575,3.09234286698471,2,542,-6.956325,52.043188,116,64,19,33,104,12,53,30,7,17,9,2.06445798922692,1.80617997398389,1.27875360095283,1.51851393987789,2.01703333929878,1.07918124604762,1.72427586960079,1.47712125471966,0.845098040014257,1.23044892137827,0.954242509439325
"Solomon_Is.",595613,5.7749641682048,29258.58896,4.4662533777817,20.35686003,1.30871079052083,1734.669843,3.23921682840208,-25,2082,-8.920155,159.649269,121,65,21,35,107,14,55,31,7,17,11,2.08278537031645,1.81291335664286,1.32221929473392,1.54406804435028,2.02938377768521,1.14612803567824,1.74036268949424,1.49136169383427,0.845098040014257,1.23044892137827,1.04139268515822
"Sri_Lanka",21324791,7.3288847834273,67226.25158,4.82753889641751,317.2092821,2.50134588704982,222.9346185,2.34817751332605,10,2340,7.608085,80.704727,137,68,21,48,120,17,57,38,7,24,11,2.13672056715641,1.83250891270624,1.32221929473392,1.68124123737559,2.07918124604762,1.23044892137827,1.75587485567249,1.57978359661681,0.845098040014257,1.38021124171161,1.04139268515822
"St._Helena",7637,3.8829227906026,141.081114,2.14946888027063,54.13197971,1.73345391036109,1941.969758,3.28824246242266,-15,625,-15.961546,-5.717151,115,64,17,34,106,9,52,29,7,17,10,2.06069784035361,1.80617997398389,1.23044892137827,1.53147891704226,2.02530586526477,0.954242509439325,1.7160033436348,1.46239799789896,0.845098040014257,1.23044892137827,1
"St._Kitts_&_Nevis",40131,4.60347998178893,295.108055,2.46998106376736,135.9874775,2.13349891790666,743.9158435,2.87152380816577,10,740,17.270255,-62.70398,115,65,19,31,102,13,52,28,7,19,9,2.06069784035361,1.81291335664286,1.27875360095283,1.49136169383427,2.00860017176192,1.11394335230684,1.7160033436348,1.44715803134222,0.845098040014257,1.27875360095283,0.954242509439325
"St._Lucia",160267,5.20484410754879,656.306073,2.81710642293464,244.1955158,2.38773768466539,372.7122901,2.57137371374823,10,548,13.896349,-60.967784,118,66,20,32,105,13,54,29,7,19,9,2.07188200730613,1.81954393554187,1.30102999566398,1.50514997831991,2.02118929906994,1.11394335230684,1.73239375982297,1.46239799789896,0.845098040014257,1.27875360095283,0.954242509439325
"St._Vincent_&_the_Grenadines",104574,5.01942372028534,415.144696,2.61819949363191,251.8977142,2.40122422658969,290.9030327,2.46374824884421,10,950,13.212781,-61.198997,118,67,20,31,106,12,54,31,7,17,9,2.07188200730613,1.82607480270083,1.30102999566398,1.49136169383427,2.02530586526477,1.07918124604762,1.73239375982297,1.49136169383427,0.845098040014257,1.23044892137827,0.954242509439325
"Tokelau",1416,3.15106325335375,7.560362,0.878542590585673,187.2926191,2.27252066286748,4345.60329,3.63805007706324,-25,1,-9.195174,-171.852659,112,63,18,31,101,11,50,30,7,16,9,2.04921802267018,1.79934054945358,1.25527250510331,1.49136169383427,2.00432137378264,1.04139268515822,1.69897000433602,1.47712125471966,0.845098040014257,1.20411998265592,0.954242509439325
"Tonga",120898,5.08241911644267,526.135741,2.72109780491795,229.7848076,2.3613213115864,3621.58547,3.55889873907735,-25,123,-20.402894,-174.836274,116,64,19,33,104,12,52,31,7,16,10,2.06445798922692,1.80617997398389,1.27875360095283,1.51851393987789,2.01703333929878,1.07918124604762,1.7160033436348,1.49136169383427,0.845098040014257,1.20411998265592,1
"Trinidad_&_Tobago",1229953,6.08988851612993,5336.49787,3.72725634041883,230.4794324,2.36263217573985,73.666456,1.86726977699936,10,695,10.470826,-61.261318,131,68,22,41,108,23,54,37,9,19,12,2.11727129565576,1.83250891270624,1.34242268082221,1.61278385671974,2.03342375548695,1.36172783601759,1.73239375982297,1.56820172406699,0.954242509439325,1.27875360095283,1.07918124604762
"Turks_&_Caicos_Is.",22942,4.36063127542674,1173.276824,3.06940049204031,19.55378265,1.29123078347688,1040.680256,3.01731731511559,25,19,21.753813,-71.819661,115,65,19,31,104,11,52,31,7,16,9,2.06069784035361,1.81291335664286,1.27875360095283,1.49136169383427,2.01703333929878,1.04139268515822,1.7160033436348,1.49136169383427,0.845098040014257,1.20411998265592,0.954242509439325
"Tuvalu",12373,4.09247501292598,37.476148,1.57375494538766,330.1566639,2.51872006752086,3479.550007,3.5415230824198,-25,8,-7.372797,178.004163,118,66,20,32,107,11,55,30,7,16,10,2.07188200730613,1.81954393554187,1.30102999566398,1.50514997831991,2.02938377768521,1.04139268515822,1.74036268949424,1.47712125471966,0.845098040014257,1.20411998265592,1
"Vanuatu",218519,5.33948920440215,13563.23846,4.13236339730301,16.11112277,1.20712580707498,1967.249695,3.29385948664957,-25,1456,-16.204586,167.70376,118,66,20,32,105,13,52,31,7,17,11,2.07188200730613,1.81954393554187,1.30102999566398,1.50514997831991,2.02118929906994,1.11394335230684,1.7160033436348,1.49136169383427,0.845098040014257,1.23044892137827,1.04139268515822
"Virgin_Is.",109825,5.04070121193736,410.844209,2.61367716981258,267.3154388,2.42702404215355,838.5203999,2.92351363278138,10,243,17.979654,-64.80236,106,61,20,25,98,8,45,30,7,15,9,2.02530586526477,1.78532983501077,1.30102999566398,1.39794000867204,1.99122607569249,0.903089986991943,1.65321251377534,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"Wake_I.",1,0,20.565977,1.3131493457747,0.048623997,-1.3131493440592,4303.141202,3.63378559712678,-25,5,19.302045,166.638003,112,64,17,31,103,9,52,29,7,15,9,2.04921802267018,1.80617997398389,1.23044892137827,1.49136169383427,2.01283722470517,0.954242509439325,1.7160033436348,1.46239799789896,0.845098040014257,1.17609125905568,0.954242509439325
"Wallis_&_Futuna",15289,4.1843790806586,190.196396,2.27920228330517,80.3853297,1.90517679735944,3588.5527,3.55491932848422,-25,334,-13.827418,-177.21187,115,64,19,32,103,12,52,31,7,16,9,2.06069784035361,1.80617997398389,1.27875360095283,1.50514997831991,2.01283722470517,1.07918124604762,1.7160033436348,1.49136169383427,0.845098040014257,1.20411998265592,0.954242509439325
