,Date,ID,Immigration_Rate,Mean_Cell_Count
0,Mar12,1,1000000,943633333.3333334
1,Mar12,2,1000000,868400000.0
2,Mar12,3,1000000,827966666.6666666
3,Mar12,4,100000,706233333.3333334
4,Mar12,5,100000,692333333.3333334
5,Mar12,6,100000,712666666.6666666
6,Mar12,7,10000,689966666.6666666
7,Mar12,8,10000,1530733333.3333333
8,Mar12,9,10000,839000000.0
9,Mar12,10,1000,714000000.0
10,Mar12,11,1000,693333333.3333334
11,Mar12,12,1000,580033333.3333334
12,Mar12,13,100,630833333.3333334
13,Mar12,14,100,618033333.3333334
14,Mar12,15,100,722133333.3333334
15,Mar12,16,10,526166666.6666667
16,Mar12,17,10,530266666.6666667
17,Mar12,18,10,492966666.6666667
18,Mar12,19,1,467900000.0
19,Mar12,20,1,471366666.6666667
20,Mar12,21,1,431033333.3333333
21,Mar12,22,0.1,428200000.0
22,Mar12,23,0.1,493400000.0
23,Mar12,24,0.1,400733333.3333333
24,Mar12,25,0,370500000.0
25,Mar12,26,0,427266666.6666667
26,Mar12,27,0,401200000.0
