"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"22","z.K_num",4.876,0.01,474.58,"$<$ 0.001",0.994,"Niche"
"22","(Intercept)",5.551,0.005,1190.463,"$<$ 0.001",0.999,"Niche_Area_Migration"
"22","z.K_num",4.774,0.005,964.503,"$<$ 0.001",0.999,"Niche_Area_Migration"
"22","z.area",0.304,0.005,61.486,"$<$ 0.001",0.999,"Niche_Area_Migration"
"22","z.migration",0.187,0.005,40.059,"$<$ 0.001",0.999,"Niche_Area_Migration"
"22","(Intercept)",5.551,0.007,812.269,"$<$ 0.001",0.997,"Niche_Area"
"22","z.K_num",4.774,0.007,658.093,"$<$ 0.001",0.997,"Niche_Area"
"22","z.area",0.304,0.007,41.953,"$<$ 0.001",0.997,"Niche_Area"
"22","(Intercept)",5.551,0.01,540.521,"$<$ 0.001",0.994,"Niche"
"22","z.K_num",4.876,0.01,474.58,"$<$ 0.001",0.994,"Niche"
"21","(Intercept)",5.5,0.005,1189.26,"$<$ 0.001",0.999,"Niche_Area_Migration"
"21","z.K_num",4.786,0.005,972.992,"$<$ 0.001",0.999,"Niche_Area_Migration"
"21","z.area",0.296,0.005,60.105,"$<$ 0.001",0.999,"Niche_Area_Migration"
"21","z.migration",0.181,0.005,39.052,"$<$ 0.001",0.999,"Niche_Area_Migration"
"21","(Intercept)",5.5,0.007,816.192,"$<$ 0.001",0.997,"Niche_Area"
"21","z.K_num",4.786,0.007,667.767,"$<$ 0.001",0.997,"Niche_Area"
"21","z.area",0.296,0.007,41.25,"$<$ 0.001",0.997,"Niche_Area"
"21","(Intercept)",5.5,0.01,543.854,"$<$ 0.001",0.994,"Niche"
"21","z.K_num",4.886,0.01,483.009,"$<$ 0.001",0.994,"Niche"
"20","(Intercept)",5.49,0.005,1197.82,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.K_num",4.847,0.005,987.994,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.area",0.29,0.005,59.111,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.migration",0.173,0.005,37.807,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","(Intercept)",5.49,0.007,829.624,"$<$ 0.001",0.998,"Niche_Area"
"20","z.K_num",4.847,0.007,684.296,"$<$ 0.001",0.998,"Niche_Area"
"20","z.area",0.29,0.007,40.941,"$<$ 0.001",0.998,"Niche_Area"
"20","(Intercept)",5.49,0.01,550.523,"$<$ 0.001",0.995,"Niche"
"20","z.K_num",4.95,0.01,496.143,"$<$ 0.001",0.995,"Niche"
