"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.162,0.006,1106.913,"$<$ 0.001",0.997,"Niche_Area_Migration"
"2","z.K_num",4.62,0.006,796.297,"$<$ 0.001",0.997,"Niche_Area_Migration"
"3","z.area",0.461,0.006,79.492,"$<$ 0.001",0.997,"Niche_Area_Migration"
"4","z.migration",0.29,0.006,52.168,"$<$ 0.001",0.997,"Niche_Area_Migration"
"5","(Intercept)",6.162,0.009,713.844,"$<$ 0.001",0.994,"Niche_Area"
"6","z.K_num",4.62,0.009,513.529,"$<$ 0.001",0.994,"Niche_Area"
"7","z.area",0.461,0.009,51.264,"$<$ 0.001",0.994,"Niche_Area"
"8","(Intercept)",6.162,0.013,465.115,"$<$ 0.001",0.985,"Niche"
"9","z.K_num",4.75,0.013,358.452,"$<$ 0.001",0.985,"Niche"
