"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",9.604,0.011,876.761,"$<$ 0.001",0.984,"Niche_Area_Migration"
"2","z.K_num",4.937,0.012,415.549,"$<$ 0.001",0.984,"Niche_Area_Migration"
"3","z.area",1.594,0.012,134.145,"$<$ 0.001",0.984,"Niche_Area_Migration"
"4","z.migration",0.956,0.011,87.222,"$<$ 0.001",0.984,"Niche_Area_Migration"
"5","(Intercept)",9.604,0.018,535.166,"$<$ 0.001",0.958,"Niche_Area"
"6","z.K_num",4.937,0.019,253.647,"$<$ 0.001",0.958,"Niche_Area"
"7","z.area",1.594,0.019,81.881,"$<$ 0.001",0.958,"Niche_Area"
"8","(Intercept)",9.604,0.028,339.576,"$<$ 0.001",0.895,"Niche"
"9","z.K_num",5.554,0.028,196.343,"$<$ 0.001",0.895,"Niche"
