"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",8.786,0.009,925.654,"$<$ 0.001",0.989,"Niche_Area_Migration"
"2","z.K_num",4.933,0.01,485.598,"$<$ 0.001",0.989,"Niche_Area_Migration"
"3","z.area",1.267,0.01,124.677,"$<$ 0.001",0.989,"Niche_Area_Migration"
"4","z.migration",0.772,0.009,81.271,"$<$ 0.001",0.989,"Niche_Area_Migration"
"5","(Intercept)",8.786,0.016,564.802,"$<$ 0.001",0.97,"Niche_Area"
"6","z.K_num",4.933,0.017,296.295,"$<$ 0.001",0.97,"Niche_Area"
"7","z.area",1.267,0.017,76.073,"$<$ 0.001",0.97,"Niche_Area"
"8","(Intercept)",8.786,0.024,358.88,"$<$ 0.001",0.925,"Niche"
"9","z.K_num",5.385,0.024,219.907,"$<$ 0.001",0.925,"Niche"
