"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.652,0.005,1162.58,"$<$ 0.001",0.998,"Niche_Area_Migration"
"2","z.K_num",4.64,0.005,911.426,"$<$ 0.001",0.998,"Niche_Area_Migration"
"3","z.area",0.338,0.005,66.378,"$<$ 0.001",0.998,"Niche_Area_Migration"
"4","z.migration",0.213,0.005,43.84,"$<$ 0.001",0.998,"Niche_Area_Migration"
"5","(Intercept)",5.652,0.007,775.086,"$<$ 0.001",0.996,"Niche_Area"
"6","z.K_num",4.64,0.008,607.643,"$<$ 0.001",0.996,"Niche_Area"
"7","z.area",0.338,0.008,44.254,"$<$ 0.001",0.996,"Niche_Area"
"8","(Intercept)",5.652,0.011,514.14,"$<$ 0.001",0.992,"Niche"
"9","z.K_num",4.74,0.011,431.03,"$<$ 0.001",0.992,"Niche"
