"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",8.08,0.008,972.318,"$<$ 0.001",0.992,"Niche_Area_Migration"
"2","z.K_num",4.864,0.009,553.091,"$<$ 0.001",0.992,"Niche_Area_Migration"
"3","z.area",1.016,0.009,115.547,"$<$ 0.001",0.992,"Niche_Area_Migration"
"4","z.migration",0.626,0.008,75.354,"$<$ 0.001",0.992,"Niche_Area_Migration"
"5","(Intercept)",8.08,0.014,594.907,"$<$ 0.001",0.978,"Niche_Area"
"6","z.K_num",4.864,0.014,338.406,"$<$ 0.001",0.978,"Niche_Area"
"7","z.area",1.016,0.014,70.697,"$<$ 0.001",0.978,"Niche_Area"
"8","(Intercept)",8.08,0.021,378.485,"$<$ 0.001",0.946,"Niche"
"9","z.K_num",5.197,0.021,243.392,"$<$ 0.001",0.946,"Niche"
