"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",7.211,0.007,1032.641,"$<$ 0.001",0.995,"Niche_Area_Migration"
"2","z.K_num",4.771,0.007,652.405,"$<$ 0.001",0.995,"Niche_Area_Migration"
"3","z.area",0.745,0.007,101.813,"$<$ 0.001",0.995,"Niche_Area_Migration"
"4","z.migration",0.462,0.007,66.132,"$<$ 0.001",0.995,"Niche_Area_Migration"
"5","(Intercept)",7.211,0.011,640.72,"$<$ 0.001",0.987,"Niche_Area"
"6","z.K_num",4.771,0.012,404.796,"$<$ 0.001",0.987,"Niche_Area"
"7","z.area",0.745,0.012,63.172,"$<$ 0.001",0.987,"Niche_Area"
"8","(Intercept)",7.211,0.018,408.746,"$<$ 0.001",0.967,"Niche"
"9","z.K_num",4.992,0.018,282.885,"$<$ 0.001",0.967,"Niche"
