"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.551,0.005,1190.463,"$<$ 0.001",0.999,"Niche_Area_Migration"
"2","z.K_num",4.774,0.005,964.503,"$<$ 0.001",0.999,"Niche_Area_Migration"
"3","z.area",0.304,0.005,61.486,"$<$ 0.001",0.999,"Niche_Area_Migration"
"4","z.migration",0.187,0.005,40.059,"$<$ 0.001",0.999,"Niche_Area_Migration"
"5","(Intercept)",5.551,0.007,812.269,"$<$ 0.001",0.997,"Niche_Area"
"6","z.K_num",4.774,0.007,658.093,"$<$ 0.001",0.997,"Niche_Area"
"7","z.area",0.304,0.007,41.953,"$<$ 0.001",0.997,"Niche_Area"
"8","(Intercept)",5.551,0.01,540.521,"$<$ 0.001",0.994,"Niche"
"9","z.K_num",4.876,0.01,474.58,"$<$ 0.001",0.994,"Niche"
