"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.913,0.006,1077.111,"$<$ 0.001",0.996,"Niche_Area_Migration"
"2","z.K_num",4.833,0.007,718.46,"$<$ 0.001",0.996,"Niche_Area_Migration"
"3","z.area",0.643,0.007,95.57,"$<$ 0.001",0.996,"Niche_Area_Migration"
"4","z.migration",0.4,0.006,62.283,"$<$ 0.001",0.996,"Niche_Area_Migration"
"5","(Intercept)",6.913,0.01,672.452,"$<$ 0.001",0.99,"Niche_Area"
"6","z.K_num",4.833,0.011,448.542,"$<$ 0.001",0.99,"Niche_Area"
"7","z.area",0.643,0.011,59.666,"$<$ 0.001",0.99,"Niche_Area"
"8","(Intercept)",6.913,0.016,430.826,"$<$ 0.001",0.975,"Niche"
"9","z.K_num",5.025,0.016,313.066,"$<$ 0.001",0.975,"Niche"
