"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.5,0.005,1189.26,"$<$ 0.001",0.999,"Niche_Area_Migration"
"2","z.K_num",4.786,0.005,972.992,"$<$ 0.001",0.999,"Niche_Area_Migration"
"3","z.area",0.296,0.005,60.105,"$<$ 0.001",0.999,"Niche_Area_Migration"
"4","z.migration",0.181,0.005,39.052,"$<$ 0.001",0.999,"Niche_Area_Migration"
"5","(Intercept)",5.5,0.007,816.192,"$<$ 0.001",0.997,"Niche_Area"
"6","z.K_num",4.786,0.007,667.767,"$<$ 0.001",0.997,"Niche_Area"
"7","z.area",0.296,0.007,41.25,"$<$ 0.001",0.997,"Niche_Area"
"8","(Intercept)",5.5,0.01,543.854,"$<$ 0.001",0.994,"Niche"
"9","z.K_num",4.886,0.01,483.009,"$<$ 0.001",0.994,"Niche"
