"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.854,0.005,1147.778,"$<$ 0.001",0.998,"Niche_Area_Migration"
"2","z.K_num",4.619,0.005,867.677,"$<$ 0.001",0.998,"Niche_Area_Migration"
"3","z.area",0.383,0.005,72.033,"$<$ 0.001",0.998,"Niche_Area_Migration"
"4","z.migration",0.242,0.005,47.437,"$<$ 0.001",0.998,"Niche_Area_Migration"
"5","(Intercept)",5.854,0.008,752.674,"$<$ 0.001",0.995,"Niche_Area"
"6","z.K_num",4.619,0.008,568.994,"$<$ 0.001",0.995,"Niche_Area"
"7","z.area",0.383,0.008,47.237,"$<$ 0.001",0.995,"Niche_Area"
"8","(Intercept)",5.854,0.012,494.847,"$<$ 0.001",0.989,"Niche"
"9","z.K_num",4.728,0.012,399.573,"$<$ 0.001",0.989,"Niche"
