"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.6,35,24.5016451151581,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,0,35
"2",0.6,35,24.5016451151581,140,41,45,41,38,38,43,42,39,37,36,37,39,39,40,39,40,40,38,41,38,40,44,42,39,38,40,39,40,40,39,38,41,46,39,40,40,42,41,37,41,40,37,40,36,38,39,42,37,39,37,36,36,41,42,38,40,42,41,39,38,38,38,38,37,39,42,37,37,39,38,38,37,43,41,39,47,38,38,40,42,41,40,42,38,43,37,39,39,42,40,41,45,41,41,41,41,41,39,44,40,39.7474747474747,0.22489074483545,40.86
"3",0.6,35,24.5016451151581,315,42,44,40,47,50,48,50,46,45,46,44,42,46,47,43,45,41,43,43,40,53,46,43,52,43,48,43,43,44,44,49,45,46,43,47,42,44,47,43,49,42,45,44,42,41,47,44,41,47,47,46,45,41,46,44,42,45,44,46,45,41,47,43,45,45,44,43,47,43,47,44,47,51,46,49,44,50,41,46,41,46,42,41,39,41,47,41,49,45,43,42,44,46,46,45,41,46,42,43,46,44.7171717171717,0.28063317549406,46.31
"4",0.6,35,24.5016451151581,560,52,51,50,46,49,48,47,50,49,48,51,48,44,44,47,47,46,44,43,51,49,47,49,52,49,50,48,47,54,55,51,48,54,40,47,50,49,49,49,53,46,56,49,44,50,51,47,45,51,51,52,52,46,50,47,44,46,46,48,53,55,51,53,50,49,49,51,49,48,51,45,46,54,49,43,49,52,44,50,54,47,47,46,47,53,46,49,52,45,47,52,44,53,46,51,57,51,57,51,44,48.9292929292929,0.334953553133346,51.21
"5",0.6,35,24.5016451151581,875,53,50,56,56,63,56,56,60,61,53,53,48,56,55,49,48,53,52,51,52,56,61,53,48,48,45,53,52,57,59,55,65,50,49,55,51,54,54,52,57,56,59,51,53,55,54,56,50,50,53,51,59,52,52,49,47,56,46,57,56,54,58,58,54,54,55,53,60,46,57,53,54,55,54,49,50,58,53,50,54,53,55,53,55,53,53,53,50,55,55,56,48,49,50,57,48,56,56,57,58,53.6666666666667,0.382302801284162,55.58
"6",0.6,35,24.5016451151581,1260,61,65,66,55,64,58,55,65,56,62,61,55,55,59,59,56,61,54,52,53,57,66,58,56,53,56,62,62,60,65,60,57,60,58,58,44,58,58,54,57,55,62,59,59,55,56,52,52,61,50,59,65,56,65,67,59,61,56,61,60,57,61,57,55,63,65,54,66,59,57,59,54,62,61,59,54,62,52,58,64,50,57,56,52,64,54,58,61,63,53,65,57,58,60,60,54,60,57,62,55,58.3333333333333,0.429292322989374,59.47
"7",0.6,35,24.5016451151581,1715,60,76,62,58,59,65,63,56,64,56,65,65,63,59,65,58,65,67,59,57,67,64,57,62,60,55,65,58,66,76,58,64,62,57,60,54,66,56,57,59,59,75,53,62,57,70,55,51,60,60,63,59,60,54,68,59,63,61,62,58,69,57,68,63,67,62,65,63,61,66,58,60,66,57,59,58,61,55,67,55,63,60,63,53,62,63,59,52,67,56,68,60,62,57,68,57,67,61,65,61,61.3636363636364,0.496421858925529,62.96
"8",0.6,35,24.5016451151581,2240,60,65,68,62,68,72,62,61,68,65,63,59,65,62,62,62,64,61,61,64,70,67,63,63,61,61,70,64,68,75,71,66,70,59,61,61,64,70,64,63,61,58,65,68,75,65,54,62,67,62,62,67,69,64,69,60,75,69,67,66,73,62,73,64,73,69,68,75,57,68,56,76,70,63,71,67,69,60,68,63,62,69,62,56,67,59,63,59,73,63,74,60,65,68,69,58,75,65,66,66,65.3939393939394,0.491070161471419,66.1
"9",0.6,35,24.5016451151581,2835,72,70,71,62,70,78,76,64,64,68,72,67,61,69,67,62,65,62,69,68,70,65,62,75,73,63,73,66,70,77,65,70,67,63,64,56,69,72,68,71,63,77,62,72,65,70,69,64,67,67,68,75,57,63,71,72,72,78,65,68,74,72,73,65,70,67,67,72,66,68,66,63,72,64,66,75,74,58,72,69,73,69,68,58,70,68,65,78,78,63,73,61,70,72,70,64,79,71,71,70,68.4141414141414,0.497781120898373,68.96
"10",0.6,35,24.5016451151581,3500,64,76,71,65,73,74,63,76,63,71,78,75,71,71,67,71,70,61,69,75,71,83,75,78,67,65,72,74,72,76,73,70,73,68,74,62,75,74,70,76,63,78,73,74,66,71,63,66,71,71,65,70,65,68,72,74,72,73,73,69,72,73,70,66,73,71,78,77,67,70,68,76,79,74,72,72,63,66,75,70,76,77,70,65,79,79,66,73,75,63,75,70,65,77,72,66,76,64,70,74,71.2020202020202,0.466565011893951,71.58
