"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.05,25,12.5005750287514,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0
0.05,25,12.5005750287514,1,100,26,26,29,27,26,26,29,26,27,27,30,25,28,29,26,26,28,28,27,28,28,31,27,28,27,29,27,28,25,27,28,28,25,27,27,28,26,28,26,26,26,26,27,27,27,28,30,29,28,27,26,26,28,30,27,28,27,28,25,28,30,28,27,25,27,29,28,26,25,29,25,28,28,29,29,29,30,30,27,30,28,27,27,26,29,27,30,33,26,27,27,28,28,28,27,25,28,25,28,27,27.48,0.150742271189047
0.05,25,12.5005750287514,1,225,32,33,31,35,36,33,34,30,32,34,33,32,31,31,31,27,33,34,33,34,32,37,33,34,37,32,32,36,31,35,34,31,35,33,33,29,35,30,35,33,35,36,31,37,33,33,33,33,31,32,35,36,27,32,35,32,37,33,33,33,32,31,30,34,31,32,34,32,31,32,32,31,30,33,30,32,30,34,33,32,35,34,34,30,34,30,35,33,30,38,31,31,33,33,32,32,31,28,33,34,32.7,0.211057941204435
0.05,25,12.5005750287514,1,400,35,37,45,43,39,43,40,36,37,35,39,34,39,34,37,37,40,40,38,36,37,39,38,34,37,37,37,31,38,45,37,37,40,35,39,34,42,41,37,40,38,39,41,38,40,42,37,39,32,42,35,40,34,32,40,37,36,41,36,39,37,39,37,40,40,40,36,41,35,35,34,39,35,44,41,38,36,36,34,34,37,43,34,32,37,35,41,44,34,41,38,36,41,42,37,33,40,33,36,33,37.75,0.309895713967382
0.05,25,12.5005750287514,1,625,43,43,48,37,51,45,44,45,43,36,45,42,42,45,37,39,42,40,44,42,44,46,42,40,46,46,51,43,45,49,40,39,46,37,46,39,45,43,39,42,35,41,46,43,42,44,42,45,40,39,47,45,43,40,46,47,45,51,42,37,42,47,41,46,48,41,39,50,42,43,40,47,36,45,46,43,43,39,53,43,43,50,42,40,42,41,40,43,37,49,44,40,42,40,41,44,46,40,37,43,42.99,0.36721584217933
0.05,25,12.5005750287514,1,900,50,46,53,49,44,51,48,44,49,39,50,37,44,50,39,49,43,46,48,41,46,54,45,42,47,45,47,46,48,56,42,48,53,43,47,42,49,46,46,49,44,49,45,43,43,48,52,47,42,57,44,51,44,42,49,49,48,53,46,46,53,47,44,49,53,46,42,53,46,45,46,49,39,50,51,53,49,47,50,50,51,46,44,41,44,43,57,53,48,50,51,47,52,47,53,45,49,51,47,41,47.25,0.408835498270961
0.05,25,12.5005750287514,1,1225,48,49,59,50,49,54,49,46,46,46,53,51,51,57,50,47,52,51,53,54,57,57,46,50,54,49,47,49,54,58,49,53,55,44,52,44,54,50,57,50,46,54,52,48,48,58,49,57,47,60,53,58,42,42,56,53,54,54,52,53,55,49,51,58,55,53,50,52,51,45,48,59,43,55,53,56,53,49,59,47,56,55,48,42,47,48,56,56,53,56,53,54,58,54,57,47,55,51,51,52,51.7,0.429822608464788
0.05,25,12.5005750287514,1,1600,57,49,59,57,52,58,62,57,49,52,66,54,52,53,49,50,57,49,57,47,57,62,47,45,58,52,60,55,58,64,57,53,55,50,53,46,59,49,56,49,48,56,55,47,56,56,54,55,50,58,55,57,47,43,53,52,57,56,50,57,58,58,50,58,58,53,55,62,48,50,50,61,49,54,60,59,58,58,60,56,56,62,57,44,47,49,55,62,52,62,60,53,63,56,58,49,57,56,52,61,54.59,0.489505006629301
0.05,25,12.5005750287514,1,2025,54,53,65,61,56,65,63,51,53,50,61,47,54,58,47,58,56,52,56,51,61,63,54,50,55,53,59,56,61,69,59,53,56,48,53,50,59,53,53,51,52,64,60,52,51,56,59,57,52,62,60,60,54,55,61,66,60,57,59,60,69,57,49,64,68,57,52,59,53,52,54,58,50,60,71,59,54,54,63,55,57,66,53,50,58,58,59,65,51,69,56,60,63,53,64,53,58,53,51,59,56.98,0.535031387732146
0.05,25,12.5005750287514,1,2500,56,56,69,64,60,64,65,56,65,54,62,62,57,57,55,58,55,59,59,56,58,66,56,54,61,59,61,55,67,69,64,56,60,48,59,49,67,52,63,63,51,57,58,60,60,63,56,61,56,65,59,59,55,57,65,63,66,68,63,54,58,61,54,61,70,55,61,63,52,64,59,66,48,59,64,68,62,54,69,59,63,75,60,51,62,58,60,68,60,69,58,59,62,60,62,57,60,58,59,59,59.99,0.506222891779517
0.05,25,12.5005750287514,1,3025,61,58,74,60,65,67,71,59,65,54,71,55,58,64,58,55,59,63,56,55,62,72,60,53,59,61,69,60,66,83,64,61,64,54,58,54,62,55,56,60,55,65,70,56,59,58,62,66,58,68,63,69,51,56,62,68,65,70,58,63,66,59,57,71,68,57,65,69,58,63,58,67,53,61,67,70,56,60,75,67,62,69,57,52,70,58,63,67,55,76,61,61,70,61,72,60,66,61,59,65,62.35,0.605926121442594
0.05,25,12.5005750287514,1,3600,62,58,75,63,69,66,70,58,65,63,68,67,67,66,61,59,60,69,60,64,64,75,58,56,66,68,67,65,79,80,66,59,63,55,66,55,61,55,59,66,53,71,65,59,66,65,70,67,58,73,68,70,63,60,70,68,72,70,61,68,71,63,58,65,69,62,65,69,67,63,63,67,53,60,72,72,68,56,77,65,61,76,62,55,62,55,66,72,63,82,64,62,71,63,71,60,70,65,60,68,65.03,0.59670052384049
0.05,25,12.5005750287514,1,4225,66,54,77,62,76,75,74,60,68,66,73,64,66,68,61,61,65,69,65,66,64,74,56,60,67,64,66,61,74,83,68,66,69,53,65,58,67,63,69,64,54,76,70,68,68,65,71,68,56,72,64,71,65,58,74,66,71,77,62,67,75,75,62,75,77,60,65,69,65,68,62,71,54,69,74,69,64,61,72,67,65,78,60,58,77,62,66,66,62,78,60,63,71,66,72,61,64,65,64,73,66.75,0.614204749857468
0.05,25,12.5005750287514,1,4900,63,67,79,66,73,75,75,63,70,70,72,69,62,68,62,69,66,63,71,66,68,80,60,63,68,67,73,67,72,77,66,69,61,60,66,61,69,58,67,65,55,70,70,65,68,74,65,72,58,72,69,68,61,65,72,75,72,76,63,74,75,78,59,69,76,59,66,71,63,71,65,70,58,69,74,76,61,62,83,72,68,83,61,59,72,63,74,77,59,82,70,64,72,66,73,61,69,73,63,72,68.28,0.60571020173417
0.05,25,12.5005750287514,1,5625,67,63,81,71,77,75,79,64,73,67,77,69,71,69,66,73,70,72,67,68,68,76,66,62,71,65,77,69,74,85,64,68,73,59,75,65,73,64,69,70,59,71,71,65,75,71,72,78,62,70,69,71,68,62,70,75,73,74,72,68,75,74,65,74,76,60,69,75,69,69,66,74,60,72,78,73,65,65,80,71,69,82,62,61,76,69,70,72,74,84,68,63,81,74,81,62,69,68,68,74,70.45,0.563964143856288
