"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.04,20,8.00028001120045,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20
"2",0.04,20,8.00028001120045,80,22,20,22,21,22,23,24,22,22,21,22,22,21,21,21,21,22,23,21,22,21,23,21,21,21,21,22,22,26,25,20,22,20,21,21,23,23,20,22,21,21,21,23,20,22,22,23,21,21,21,23,20,23,24,21,21,22,22,20,21,23,22,22,20,21,21,20,21,20,20,21,21,21,22,22,22,24,22,24,22,21,22,22,21,20,21,22,22,22,22,22,21,24,21,21,21,22,22,22,21,21.6565656565657,0.115006400260729,21.98
"3",0.04,20,8.00028001120045,180,21,23,26,25,26,24,26,27,24,24,27,23,22,22,25,25,21,23,24,26,22,25,28,23,24,24,24,25,20,30,24,23,25,25,23,25,28,25,25,28,22,22,24,24,22,24,25,24,23,26,24,28,23,24,23,28,24,24,28,24,29,26,23,25,22,24,23,24,24,22,22,23,22,23,28,22,23,24,27,25,27,21,24,26,26,25,25,26,23,26,26,23,21,24,28,25,24,23,26,24,24.4343434343434,0.196423188257138,25.08
"4",0.04,20,8.00028001120045,320,32,23,32,26,28,24,27,34,27,27,32,26,27,29,26,26,26,27,28,30,31,26,25,28,27,27,28,28,35,28,28,28,28,26,27,27,24,27,28,31,27,24,28,26,27,25,27,26,26,25,27,28,26,28,26,32,30,30,29,28,32,31,29,24,35,27,24,29,26,31,27,30,25,27,28,29,26,26,29,30,24,27,29,28,26,24,30,31,25,29,25,26,32,25,27,27,28,27,26,25,27.6060606060606,0.244003821143584,28.29
"5",0.04,20,8.00028001120045,500,30,27,33,32,30,26,31,28,28,26,39,31,30,31,26,30,25,31,33,34,32,29,29,30,34,30,35,29,34,32,31,27,33,29,30,34,29,30,29,32,27,31,29,31,30,27,29,27,29,30,35,31,29,31,33,36,30,31,31,29,36,41,35,24,35,27,28,36,33,27,28,31,29,32,35,34,32,31,33,31,32,30,33,30,30,26,35,32,32,34,28,28,33,29,32,25,32,32,31,33,30.8080808080808,0.302084003109067,31.21
"6",0.04,20,8.00028001120045,720,36,33,37,32,37,30,33,33,32,35,39,32,29,36,32,33,32,32,38,32,33,37,31,35,40,33,33,30,34,35,37,34,35,28,32,36,33,30,32,34,28,30,37,30,30,28,32,33,32,31,32,38,28,37,34,40,32,32,33,35,40,43,31,36,39,33,33,34,31,33,37,38,31,34,35,38,34,31,38,31,36,33,36,38,32,31,37,34,33,33,32,31,35,34,35,32,34,34,33,38,33.7575757575758,0.300515227563785,33.79
"7",0.04,20,8.00028001120045,980,38,30,37,38,34,34,36,38,32,37,42,35,36,34,36,38,29,35,41,36,42,47,32,37,38,32,35,33,40,40,38,36,37,35,33,34,37,34,32,42,32,30,35,33,34,32,32,34,30,34,38,37,33,37,36,41,34,34,38,34,42,40,34,42,42,31,34,41,38,36,37,41,29,40,41,40,36,33,38,32,39,46,40,37,40,27,40,40,35,40,36,36,38,38,39,31,31,36,33,35,36.2020202020202,0.378776197167498,36.06
"8",0.04,20,8.00028001120045,1280,39,35,46,35,39,38,40,40,40,41,44,40,33,41,29,38,32,35,41,41,39,42,35,35,44,39,36,37,50,40,40,37,38,40,33,37,35,34,40,41,35,30,35,39,38,38,37,38,29,36,42,37,31,39,39,38,41,43,39,36,46,47,35,38,39,35,40,40,39,39,44,41,34,41,39,41,40,35,49,36,45,45,44,40,39,33,40,38,40,46,35,32,33,38,40,32,37,36,37,43,38.4949494949495,0.411235158104875,38.07
"9",0.04,20,8.00028001120045,1620,40,38,46,40,43,40,40,41,39,39,49,43,40,40,34,44,37,32,44,40,46,38,36,38,43,36,42,42,47,47,40,40,39,38,38,36,35,37,33,41,38,33,35,34,37,40,40,42,36,38,42,41,34,43,38,45,33,43,43,39,45,45,34,43,43,36,42,42,43,43,42,46,37,47,42,50,38,40,47,38,45,43,42,37,44,34,44,43,42,47,43,43,42,42,42,32,38,40,38,44,40.4343434343434,0.400772706593605,39.87
"10",0.04,20,8.00028001120045,2000,43,37,50,44,42,39,43,47,42,44,47,47,41,40,35,42,32,40,44,39,43,47,37,40,43,40,44,39,47,47,44,41,39,42,44,43,40,34,36,43,41,36,42,36,43,36,46,41,35,38,45,47,37,44,42,48,38,42,43,41,47,50,39,43,44,40,43,45,41,44,45,43,38,45,51,42,41,37,47,44,42,51,40,41,48,38,45,43,42,49,43,40,43,45,47,34,39,42,42,49,42.2323232323232,0.400429650416461,41.5
