"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.04,20,416666.625,3380,35,32,28,29,29,34,31,32,36,31,30,29,30,33,38,34,30,35,32,31,38,34,32,38,27,38,33,31,36,35,33,39,33,41,34,29,31,34,34,33,28,36,32,27,35,34,38,34,37,32,33,40,38,32,27,30,32,32,34,29,29,34,29,35,33,36,38,31,34,35,39,38,33,34,33,36,32,36,28,29,30,33,36,37,32,36,35,29,33,27,30,38,31,29,34,38,34,31,29,30,33.06,0.330539809488306
0.04,20,416666.625,3920,34,32,31,32,30,35,30,32,39,36,28,31,35,35,32,34,28,42,32,31,33,31,33,36,38,30,37,31,37,38,35,39,46,36,38,35,32,31,30,35,35,31,41,33,35,40,36,39,37,35,31,26,35,39,40,41,36,39,33,39,29,26,32,36,35,32,34,33,37,29,36,36,33,40,29,36,36,32,37,40,35,31,32,38,33,31,38,32,36,27,36,39,37,31,37,34,42,35,26,34,34.43,0.386189622131958
0.04,20,416666.625,4500,33,38,34,30,36,29,31,40,34,34,36,37,32,40,35,35,38,29,40,32,39,39,31,36,38,32,36,33,35,35,33,37,39,34,34,34,37,39,36,37,40,38,34,40,36,38,34,41,37,27,31,41,42,35,38,32,36,36,40,41,40,39,40,30,30,44,39,36,35,34,35,34,38,38,33,38,35,38,35,37,38,38,35,34,35,34,31,36,33,31,30,29,37,34,37,32,37,31,34,30,35.48,0.338887067390369
0.04,20,416666.625,5120,41,38,36,35,31,42,38,42,41,42,35,33,42,37,42,39,35,38,33,35,34,33,35,35,43,43,36,33,32,35,40,40,33,41,46,36,28,30,39,42,42,47,38,46,41,40,38,29,44,42,48,46,37,45,31,36,41,39,35,34,36,37,39,52,35,38,35,41,32,32,36,37,38,37,37,33,33,35,36,32,37,43,41,37,38,33,38,35,36,36,38,39,35,32,34,37,48,35,46,34,37.71,0.45511570290455
0.04,20,416666.625,5780,38,40,46,34,36,39,44,42,45,33,39,29,35,45,36,45,39,41,38,40,43,35,40,38,40,42,38,37,41,35,42,36,30,49,42,40,35,39,40,40,40,32,35,34,40,31,38,34,41,33,36,43,38,39,36,46,36,42,34,35,33,35,43,37,39,34,36,40,40,33,37,37,34,35,36,47,36,40,37,43,38,35,38,34,40,39,39,53,32,45,31,37,42,41,41,38,37,36,39,38,38.34,0.418322769394566
0.04,20,416666.625,6480,43,33,36,40,33,32,42,34,39,39,36,39,41,39,44,40,48,34,40,44,48,44,44,48,38,46,43,42,48,46,37,36,42,34,37,36,47,38,42,33,35,36,42,45,40,49,33,48,40,41,37,31,39,36,35,41,38,46,38,40,44,45,36,39,37,38,40,37,33,33,36,44,43,36,34,39,37,41,41,33,46,41,42,38,33,35,39,33,41,38,45,41,38,43,41,38,43,44,44,40,39.64,0.439126773531657
0.04,20,416666.625,7220,42,44,55,39,39,48,44,45,41,46,37,41,43,38,41,38,48,40,43,41,42,38,39,42,40,33,38,36,34,42,42,44,46,46,48,41,48,42,43,50,46,44,39,36,41,39,52,34,34,43,34,41,43,38,44,46,48,39,49,36,44,42,31,36,45,34,39,45,49,48,48,37,42,41,44,42,36,49,39,37,46,30,42,39,30,44,50,43,38,44,47,41,50,41,34,50,45,39,36,41,41.71,0.500967750327989
0.04,20,416666.625,8000,45,40,41,49,42,48,41,35,41,37,41,46,33,32,40,46,45,42,44,43,43,36,42,51,44,44,49,46,45,42,42,40,32,43,41,40,39,43,42,37,44,47,50,47,42,46,35,43,43,42,43,38,42,39,44,36,38,41,36,49,39,43,38,40,45,41,45,46,43,37,38,44,44,42,47,43,52,48,41,45,43,41,53,46,37,40,45,52,44,35,39,44,43,45,42,40,40,34,52,39,42.32,0.439898978301963
0.04,20,416666.625,8820,45,43,35,39,45,40,52,51,45,37,46,44,40,45,38,48,34,48,44,40,45,43,43,43,41,46,41,48,43,52,41,46,47,44,52,44,48,47,46,42,39,50,38,41,46,46,50,46,51,40,37,41,42,61,51,50,48,45,36,38,41,46,49,47,46,35,38,46,44,48,46,34,43,46,42,49,45,47,45,40,48,41,45,40,47,53,43,35,43,52,45,46,49,37,46,43,39,58,40,48,44.32,0.497443971770193
0.04,20,416666.625,9680,42,45,47,37,47,52,43,39,44,43,40,40,38,45,46,48,43,40,43,48,57,44,39,47,45,48,41,40,50,37,51,40,54,43,45,49,50,47,37,35,41,44,38,50,45,37,51,50,44,43,41,45,43,41,39,49,49,39,49,49,43,44,49,45,36,49,52,51,44,44,45,44,45,40,44,37,40,45,58,49,39,42,44,42,38,52,52,42,52,37,48,46,44,44,51,36,38,48,39,41,44.35,0.494898214205954
0.04,20,416666.625,10580,48,50,47,53,39,43,44,58,48,37,42,47,44,41,47,45,38,51,58,54,46,55,57,38,50,40,49,47,43,45,56,53,49,55,38,43,40,47,37,34,53,46,43,59,51,52,47,53,52,49,46,47,46,50,47,42,41,53,42,47,48,43,44,51,48,63,50,46,51,52,37,49,45,51,53,44,48,34,43,50,51,54,47,46,50,44,40,42,50,42,47,44,49,47,43,50,50,47,48,52,47.15,0.554025671286489
0.04,20,416666.625,11520,42,45,54,49,46,47,53,51,37,52,50,45,44,51,43,39,50,50,49,44,48,43,43,50,62,54,49,49,54,46,52,48,54,51,45,46,60,43,38,38,48,57,52,47,50,61,52,56,45,53,56,54,45,59,46,45,51,43,52,60,49,56,43,40,54,46,48,48,54,40,43,46,42,45,49,45,49,43,44,44,48,40,60,49,52,41,43,45,42,49,46,48,55,43,48,48,59,41,52,41,48.24,0.560324581259502
0.04,20,416666.625,12500,51,49,52,51,47,44,53,48,51,64,59,43,56,48,41,59,47,46,52,54,50,45,48,51,55,48,58,50,48,53,51,46,56,46,59,62,48,49,47,50,49,48,61,52,53,44,49,49,57,51,50,40,51,47,46,50,44,44,46,53,47,60,48,48,45,52,50,48,49,48,42,53,56,50,49,54,54,55,43,55,38,53,68,42,49,53,60,36,50,45,54,54,50,44,50,41,51,52,43,60,50.18,0.559649962751791
0.04,20,416666.625,13520,60,51,43,58,50,50,64,55,49,56,50,47,47,41,49,56,67,55,43,46,59,60,48,52,50,58,53,53,55,44,45,39,52,57,60,52,48,53,53,47,55,46,63,47,50,53,52,59,55,54,65,46,50,54,44,51,62,61,60,48,44,53,41,47,55,48,48,56,48,45,53,53,62,57,58,47,52,48,41,56,55,47,48,49,50,47,51,49,54,52,55,57,51,40,52,50,52,57,50,40,51.68,0.588763470540101
0.04,20,416666.625,14580,55,39,47,50,48,44,60,51,60,55,52,52,49,37,56,61,59,60,65,51,52,58,51,59,55,45,58,52,58,48,54,58,60,54,58,59,52,51,54,49,48,58,50,52,51,48,48,57,62,47,58,42,55,53,54,57,51,51,64,44,55,55,58,53,43,53,46,51,58,62,43,49,51,50,57,56,55,55,51,46,54,51,55,52,43,50,44,44,55,47,53,54,48,55,54,57,57,49,50,57,52.62,0.545649460123744
0.04,20,416666.625,15680,56,54,58,47,64,55,67,46,50,51,49,48,46,62,56,63,50,56,60,50,55,54,45,59,53,53,53,44,59,55,49,57,44,58,55,56,61,51,53,55,64,55,45,47,46,48,52,53,54,54,54,49,56,50,50,57,51,50,53,52,54,54,57,54,61,62,46,54,67,61,43,54,68,51,52,57,51,71,49,42,60,56,53,59,51,52,50,54,49,48,56,55,50,47,44,53,56,46,52,52,53.48,0.572691677585555
0.04,20,416666.625,16820,58,43,65,61,59,56,44,53,58,55,61,58,58,54,56,62,53,51,47,50,55,58,61,54,60,47,52,59,66,59,46,55,58,68,52,59,54,54,57,57,60,61,68,55,60,59,54,55,57,52,55,58,51,58,64,61,45,62,38,53,61,57,55,57,58,51,50,58,50,56,57,60,50,51,63,58,54,44,54,54,56,56,51,49,59,65,65,62,57,50,45,55,56,49,55,52,59,49,59,60,55.66,0.556181062008923
0.04,20,416666.625,18000,56,51,52,62,49,67,62,51,51,49,63,58,54,54,62,50,69,43,51,57,63,54,65,57,64,61,62,49,55,57,58,64,70,58,63,58,56,62,56,59,67,45,54,56,55,61,66,50,48,54,66,68,62,55,67,65,66,59,53,58,62,47,62,49,47,52,57,58,64,53,58,62,57,44,56,45,58,57,52,49,52,56,58,63,62,48,56,54,65,52,53,56,59,51,52,57,56,51,64,49,56.8,0.619057608977002
0.04,20,416666.625,19220,72,52,48,56,57,61,61,55,58,47,54,53,64,48,58,52,60,58,50,50,61,69,55,50,73,54,58,56,67,70,62,67,65,64,59,62,66,65,63,62,60,60,66,54,64,59,50,62,52,58,63,63,59,48,53,49,53,60,56,64,62,58,59,53,52,51,63,62,53,60,60,52,48,59,49,49,53,60,53,47,54,46,52,63,51,61,59,66,56,59,56,48,52,66,57,63,58,58,57,58,57.58,0.60805701487059
0.04,20,416666.625,20480,60,57,50,47,56,54,63,61,59,55,58,58,67,64,59,54,53,54,69,54,66,53,55,66,71,58,57,56,52,62,60,59,62,54,60,54,62,61,53,64,59,57,58,56,52,57,54,58,61,62,66,52,53,46,58,56,66,64,63,58,54,72,70,54,59,64,56,59,62,61,53,57,60,61,57,53,56,61,54,63,47,50,53,58,70,51,51,47,60,57,53,54,59,56,55,52,50,66,54,55,57.77,0.546218404536634
0.04,20,416666.625,21780,62,65,52,50,59,63,56,56,61,59,63,54,61,64,68,52,64,63,71,57,58,67,72,52,59,55,57,53,66,56,55,48,68,55,57,78,69,67,63,60,57,58,62,60,62,51,54,53,57,57,63,58,52,55,63,48,64,64,66,66,56,61,59,76,49,53,72,48,63,52,60,69,56,57,58,59,60,67,62,69,59,52,54,66,47,64,56,46,48,61,67,49,64,54,59,55,66,46,60,59,59.23,0.668460465502182
0.04,20,416666.625,23120,57,63,56,62,61,59,53,65,58,61,56,59,56,52,67,59,68,65,71,51,69,66,60,56,65,57,57,69,73,56,70,66,57,65,68,66,62,48,57,63,75,73,71,57,47,72,70,55,57,72,74,67,56,57,63,56,69,61,55,64,48,59,62,55,56,57,60,71,57,61,56,49,61,58,67,52,63,48,52,58,55,55,59,61,57,60,62,61,58,60,59,68,64,55,70,54,56,56,54,64,60.58,0.64638544338045
0.04,20,416666.625,24500,53,66,51,55,61,55,53,83,64,60,65,54,60,69,64,69,55,72,57,54,58,69,57,68,64,54,65,56,58,73,75,65,58,62,66,59,74,76,68,69,73,61,75,67,49,70,72,59,61,64,49,64,64,70,65,69,53,64,57,58,72,62,53,56,56,62,64,69,67,62,65,68,63,59,55,55,55,60,59,43,47,59,61,59,55,60,63,69,56,56,53,67,56,61,62,67,49,64,65,64,61.76,0.713947625614941
0.04,20,416666.625,25920,63,75,56,53,63,64,60,61,67,66,54,63,64,57,58,59,65,68,73,76,66,52,57,68,80,64,72,58,58,81,63,77,70,58,63,57,51,58,59,63,75,60,56,66,73,62,63,61,76,70,56,72,56,55,65,57,62,68,55,62,71,71,69,63,57,65,69,51,54,67,71,62,72,59,56,59,59,61,62,49,49,49,58,62,59,66,56,64,76,60,66,57,54,64,65,55,58,52,70,74,62.71,0.726315594927125
0.04,20,416666.625,27380,59,61,55,67,67,56,58,58,65,52,72,80,64,70,62,57,71,68,54,69,64,73,77,60,63,71,66,76,70,54,61,66,59,69,54,71,58,55,60,65,73,70,64,81,60,66,70,60,75,64,63,75,73,53,63,62,73,59,73,68,56,57,63,63,69,60,63,65,64,71,65,71,63,58,59,60,55,62,66,63,62,59,62,55,55,59,68,68,74,63,65,71,54,56,58,51,60,53,83,64,63.95,0.695203625427889
0.04,20,416666.625,28880,70,65,64,65,71,70,60,70,58,64,60,64,63,72,80,61,59,55,65,59,76,69,67,64,63,67,60,66,72,61,73,67,63,74,56,58,68,58,70,75,68,72,63,50,58,69,64,53,59,70,64,65,73,58,62,62,62,58,63,63,61,72,63,59,75,67,55,64,67,71,66,65,59,63,70,60,59,60,58,54,60,65,59,71,61,61,81,53,70,59,62,73,54,54,62,56,60,56,58,72,63.93,0.627526006543863
0.04,20,416666.625,30420,80,74,68,69,74,70,59,67,69,62,66,70,69,62,67,80,74,60,73,63,75,61,69,72,62,68,58,54,78,70,75,69,67,66,72,71,55,75,70,77,72,57,66,65,68,64,62,63,66,69,65,69,56,72,66,68,61,60,63,52,76,57,70,67,62,69,74,56,67,56,54,66,58,59,61,60,64,62,62,59,61,55,54,61,52,68,54,54,62,55,59,62,59,58,57,62,53,64,59,52,64.44,0.689798682386551
0.04,20,416666.625,32000,69,59,71,75,66,75,62,75,74,65,60,68,68,59,70,75,67,67,66,67,58,61,72,69,60,67,70,59,65,70,63,66,69,61,63,74,62,73,96,85,65,63,64,68,54,58,68,70,69,78,65,58,78,64,58,55,70,58,70,64,61,64,66,71,71,75,70,78,69,60,57,81,64,59,63,61,54,59,53,53,65,58,68,65,60,63,68,64,62,53,58,79,54,58,61,64,62,66,66,64,65.65,0.729379838969346
