"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.03,15,4.50010500315009,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
0.03,15,4.50010500315009,1,60,17,15,15,16,15,16,15,16,16,15,17,16,15,15,15,15,15,16,16,15,15,16,15,16,16,16,18,15,17,15,18,16,15,17,16,16,16,16,15,16,15,16,16,15,15,15,16,16,15,15,15,15,17,15,16,16,15,16,16,15,17,16,16,15,16,15,16,15,16,16,15,15,15,17,16,16,15,15,17,15,16,15,15,15,16,18,17,16,19,16,16,15,17,15,16,15,16,15,15,17,15.75,0.0845367650579595
0.03,15,4.50010500315009,1,135,16,16,19,15,17,19,16,20,17,17,16,16,16,16,16,17,19,17,18,20,18,21,16,18,19,18,16,16,16,18,17,16,18,16,18,17,18,15,18,16,17,16,17,17,17,15,18,16,17,16,18,17,18,16,15,19,20,18,18,15,18,18,17,18,20,18,16,17,16,18,17,17,17,16,17,18,16,16,17,15,17,19,18,16,17,16,16,19,18,17,20,18,16,17,16,18,16,15,17,17,17.13,0.130774692513575
0.03,15,4.50010500315009,1,240,17,16,15,17,19,19,19,23,16,15,17,20,16,22,17,17,20,21,18,18,18,20,18,17,18,20,18,15,22,17,21,19,18,18,17,23,18,18,21,18,15,18,19,18,21,18,15,20,18,20,19,20,18,18,18,23,19,22,17,22,20,20,22,19,21,19,20,20,19,19,20,16,20,20,19,21,21,17,21,15,20,23,19,19,21,18,15,20,19,20,18,19,18,17,22,18,19,21,19,22,18.9,0.200252366030991
0.03,15,4.50010500315009,1,375,25,19,20,21,20,17,22,22,19,17,22,24,18,22,21,20,22,23,24,19,25,23,21,19,21,22,24,19,22,17,24,18,20,23,21,19,21,20,23,23,18,20,20,20,23,19,20,22,20,20,23,23,18,17,18,22,22,25,21,21,23,21,23,21,25,20,24,19,21,19,17,23,21,25,23,22,23,22,23,18,20,22,21,23,19,18,20,22,19,20,24,22,21,20,21,23,21,20,19,22,21.04,0.206422142732075
0.03,15,4.50010500315009,1,540,20,20,22,19,22,20,24,23,24,18,21,23,17,21,21,21,23,23,24,23,26,25,20,21,24,19,22,19,21,21,22,21,19,22,24,24,22,21,23,19,19,24,22,23,27,20,20,23,23,26,24,22,25,19,17,28,24,24,22,24,22,25,25,23,28,21,23,23,24,25,22,20,23,24,23,27,19,21,25,20,22,24,25,24,23,21,21,21,25,24,22,23,23,20,21,20,21,23,26,21,22.33,0.226548543196028
0.03,15,4.50010500315009,1,735,23,21,27,22,29,24,25,23,23,21,28,21,22,21,20,23,24,24,27,24,24,24,21,22,27,22,24,20,27,24,28,23,25,22,23,25,24,22,25,22,23,23,23,21,30,23,18,25,21,22,22,25,24,20,20,27,25,25,21,30,26,28,27,22,27,20,21,25,25,26,24,19,24,23,23,27,25,21,25,23,19,26,23,26,22,20,21,26,24,24,24,26,24,22,25,24,22,22,25,29,23.69,0.250532765654847
0.03,15,4.50010500315009,1,960,22,28,27,27,27,25,26,25,25,24,26,28,20,27,23,21,26,23,23,23,29,26,22,23,22,24,24,22,27,24,21,25,24,29,24,24,22,21,25,21,21,25,25,22,30,23,20,26,25,26,24,23,27,24,21,29,24,27,26,27,29,24,31,24,27,20,26,24,26,22,26,25,26,25,27,24,24,22,29,20,24,27,25,25,27,20,22,28,25,25,23,27,27,21,25,22,22,23,21,34,24.64,0.267241804024336
0.03,15,4.50010500315009,1,1215,24,26,29,23,26,23,30,25,26,24,30,31,22,24,21,20,25,29,25,28,29,25,24,24,30,25,29,22,29,29,29,23,28,32,25,31,24,24,26,24,24,27,20,25,29,26,25,29,22,30,23,25,30,23,22,30,25,29,26,27,33,31,32,28,32,27,27,32,26,27,25,25,25,27,31,27,24,27,28,27,26,28,24,29,25,21,23,29,28,29,26,24,27,20,30,23,26,23,25,34,26.41,0.311430391723237
0.03,15,4.50010500315009,1,1500,26,24,29,27,28,21,26,27,27,22,27,30,22,30,21,27,24,26,28,27,31,29,24,24,27,25,28,23,27,27,29,25,24,30,27,29,25,24,25,24,25,26,24,25,29,24,24,25,25,29,25,28,26,27,24,33,25,29,27,29,29,28,29,26,32,26,29,27,28,30,29,27,29,27,30,33,24,25,32,24,26,31,25,32,25,22,25,30,30,29,27,27,25,26,27,28,27,25,26,35,26.87,0.269925167332718
0.03,15,4.50010500315009,1,1815,25,28,29,28,28,26,26,26,29,24,29,28,22,26,23,26,24,29,29,23,34,32,21,24,30,26,32,22,35,29,30,29,28,33,27,26,23,24,27,25,26,27,22,27,30,25,23,30,29,26,26,28,29,27,21,31,24,31,28,27,34,30,31,27,33,23,28,26,26,33,24,30,25,30,30,36,28,25,30,25,27,27,27,32,26,23,25,27,28,28,28,27,32,20,31,26,27,28,34,33,27.52,0.331960810635804
0.03,15,4.50010500315009,1,2160,22,26,31,28,29,26,28,30,28,22,32,30,25,27,25,27,27,31,28,28,29,31,23,27,29,29,32,22,36,26,34,29,31,39,26,30,24,24,31,25,25,27,25,25,36,27,26,31,26,28,24,30,30,27,23,32,28,29,28,31,36,31,29,26,34,27,32,26,26,28,26,28,32,28,34,33,30,28,28,25,31,30,28,31,32,21,26,30,28,29,29,29,32,24,36,25,28,29,31,36,28.57,0.346775915186645
0.03,15,4.50010500315009,1,2535,23,27,32,25,31,27,34,33,29,24,32,33,23,29,25,30,27,28,29,28,30,28,24,26,30,26,30,24,35,25,30,27,26,36,28,31,27,23,31,29,25,30,27,28,33,30,24,27,29,31,28,33,31,29,21,33,27,31,27,30,38,31,34,30,37,27,32,29,27,36,31,28,32,29,35,33,29,28,36,24,33,32,25,31,30,25,27,28,33,25,34,29,31,23,29,29,31,30,32,37,29.29,0.356836549742768
0.03,15,4.50010500315009,1,2940,24,30,30,28,29,28,28,33,31,26,33,34,23,30,21,25,30,33,32,29,32,34,25,26,33,31,31,27,36,30,32,31,29,33,29,34,30,24,28,28,26,29,27,29,39,32,26,32,28,28,28,29,33,30,22,36,28,33,30,31,40,32,29,29,34,27,33,30,29,37,28,31,32,26,36,36,28,29,29,29,29,31,29,31,30,24,27,30,31,30,31,30,33,25,28,25,33,30,34,41,30.02,0.360129045333654
0.03,15,4.50010500315009,1,3375,27,34,32,28,33,31,31,33,34,26,35,32,23,27,26,27,29,30,33,29,33,28,24,28,31,26,32,26,39,30,33,32,30,38,26,32,28,23,31,29,29,29,26,30,35,28,26,29,29,32,30,32,34,29,27,33,30,35,31,34,41,34,34,30,33,28,35,34,31,37,30,31,35,32,38,37,30,27,31,28,34,29,30,31,34,23,26,30,28,33,34,31,31,26,34,29,32,29,32,37,30.76,0.356503786087819
0.03,15,4.50010500315009,1,3840,27,32,30,31,32,33,32,33,33,29,34,37,24,31,27,31,29,34,33,29,33,32,24,28,35,27,32,26,38,29,37,29,32,39,28,32,30,25,30,28,27,28,27,27,38,28,26,33,28,33,31,35,32,31,25,37,26,34,32,32,37,33,36,34,36,27,34,30,31,36,29,30,33,33,37,35,29,31,35,28,32,30,29,35,35,26,26,33,32,28,29,33,33,25,32,29,34,31,32,39,31.22,0.355783386601761
0.03,15,4.50010500315009,1,4335,29,29,33,30,35,33,31,36,38,26,40,34,28,31,25,30,31,31,33,30,35,29,27,26,31,32,35,26,40,29,38,36,33,34,30,34,27,28,31,30,29,31,28,28,35,27,28,31,29,31,30,33,34,28,26,35,29,35,31,32,37,36,37,30,35,28,31,33,35,35,31,30,34,31,37,36,30,35,33,25,33,30,30,36,35,27,28,33,30,29,32,29,34,28,33,32,35,32,35,41,31.75,0.349422322692697
0.03,15,4.50010500315009,1,4860,28,32,30,31,35,29,33,39,36,28,33,35,26,34,30,29,33,33,34,29,34,31,25,31,36,29,37,28,43,33,35,30,33,37,30,35,33,25,33,26,32,29,27,28,40,28,26,32,32,31,32,37,36,30,28,38,30,35,34,32,39,33,36,32,35,27,33,32,30,38,32,32,37,32,37,36,30,30,35,27,31,35,33,35,33,26,28,30,33,33,33,33,34,27,35,28,33,31,38,41,32.31,0.370010919849781
