"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.2,15,4.50010500315009,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
0.2,15,4.50010500315009,60,15,15,16,15,15,16,16,18,15,16,17,15,16,15,15,15,16,15,15,17,15,17,15,15,15,16,15,15,16,15,16,18,16,15,16,16,16,16,15,15,15,16,15,16,17,15,16,16,15,15,16,15,15,15,15,15,16,15,15,17,15,15,17,16,17,16,16,15,16,16,17,15,16,15,15,15,17,15,17,15,15,16,15,16,16,17,15,17,16,16,16,15,15,16,16,16,15,15,16,16,15.6767676767677,0.0770892374556599
0.2,15,4.50010500315009,135,17,16,16,18,15,16,17,17,15,16,16,17,15,17,15,16,18,16,18,15,17,15,15,16,15,16,16,15,17,16,18,16,17,15,16,15,16,16,17,15,16,17,15,19,17,17,16,16,15,16,15,16,18,17,17,15,16,17,15,16,17,17,16,15,17,16,17,17,16,15,15,15,16,17,16,16,15,15,16,18,15,15,16,17,17,16,15,16,15,17,16,15,19,16,15,16,17,17,16,17,16.1515151515152,0.0988113611299855
0.2,15,4.50010500315009,240,17,16,16,18,18,16,16,16,16,18,18,16,17,18,17,16,18,17,22,18,15,16,16,17,20,16,16,17,19,18,17,15,16,16,16,19,15,16,17,17,17,16,17,16,20,19,17,16,17,15,17,17,17,17,15,18,18,16,17,16,16,17,18,19,20,15,15,17,16,16,15,16,15,16,16,18,16,17,19,15,18,15,18,16,15,18,15,17,17,20,19,16,18,15,19,18,17,17,17,21,16.9393939393939,0.146292166655548
0.2,15,4.50010500315009,375,20,16,17,18,19,17,17,18,20,18,17,17,16,18,18,17,21,17,18,18,21,19,16,21,17,17,17,18,19,21,21,17,17,17,18,17,18,16,17,17,18,18,17,16,18,18,16,20,16,18,15,16,16,17,15,19,17,18,18,18,17,19,18,18,18,16,16,18,18,19,18,19,16,19,18,18,21,17,18,17,17,19,20,18,16,16,15,20,17,16,23,16,20,15,19,18,15,19,19,21,17.7676767676768,0.159769651510096
0.2,15,4.50010500315009,540,17,16,19,16,20,17,17,18,21,16,16,21,20,19,18,18,18,17,18,19,17,16,16,17,18,18,18,17,22,18,19,19,18,18,19,20,18,17,21,19,17,21,18,19,20,18,18,17,19,19,17,21,19,17,17,21,18,17,18,18,20,18,22,18,23,18,19,18,20,18,22,20,18,21,17,16,17,18,20,15,21,16,19,22,18,19,18,17,19,17,18,17,19,19,18,20,20,17,17,21,18.4646464646465,0.165775683576112
0.2,15,4.50010500315009,735,19,17,16,16,17,18,21,19,18,18,16,17,18,20,15,18,21,18,21,21,23,19,15,19,23,18,21,15,19,21,17,20,20,20,18,20,20,17,20,18,17,20,18,18,20,19,20,23,19,21,18,20,17,19,18,19,21,17,19,20,23,19,18,18,23,18,18,21,18,21,19,19,22,19,19,19,19,18,20,19,19,22,19,19,19,16,17,21,19,20,18,15,21,19,18,17,21,18,18,18,18.9393939393939,0.183766106292564
0.2,15,4.50010500315009,960,20,20,17,22,23,19,19,16,21,18,23,19,18,18,18,17,19,19,21,20,19,17,19,17,20,24,19,17,19,19,22,17,18,21,19,18,18,18,23,21,19,18,21,19,18,20,17,22,20,20,22,23,23,19,17,21,18,22,18,17,17,23,22,21,23,18,23,20,21,18,23,20,21,20,20,22,20,18,22,20,17,22,17,21,17,17,20,21,20,19,21,20,23,16,19,18,21,17,19,24,19.6666666666667,0.205068732161507
0.2,15,4.50010500315009,1215,21,21,18,18,21,18,22,26,20,17,23,21,20,20,20,19,20,23,22,18,24,20,19,20,22,20,22,19,21,20,23,21,20,20,22,20,18,21,23,20,20,20,20,20,24,21,18,18,20,19,23,23,23,19,16,23,23,21,21,19,21,22,23,20,23,18,22,17,20,21,21,18,18,22,20,22,19,20,22,20,20,23,17,21,22,17,19,21,21,21,19,21,18,20,22,19,22,20,20,25,20.5050505050505,0.190137001770099
0.2,15,4.50010500315009,1500,19,18,23,21,22,19,21,21,17,16,20,21,18,19,18,18,23,22,22,23,22,22,17,18,21,18,23,23,25,19,24,19,19,23,21,26,19,20,22,17,20,23,18,16,24,21,19,23,22,25,20,21,23,19,17,24,21,21,19,23,23,22,23,21,22,19,23,22,21,21,22,21,20,23,23,24,22,21,24,20,20,20,22,20,21,20,17,20,23,21,24,21,20,16,23,19,21,20,21,23,20.8888888888889,0.220047074707622
