"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.05,25,12.5005750287514,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0
0.05,25,12.5005750287514,100,27,26,31,28,28,29,29,29,29,27,30,26,27,26,25,26,30,29,30,25,25,28,29,26,30,29,27,30,30,30,28,29,27,29,26,26,30,27,28,28,25,28,28,28,29,30,27,29,28,28,29,28,27,27,26,30,27,28,30,30,25,28,26,28,25,27,27,27,27,29,28,29,27,30,30,32,28,28,28,29,26,28,27,27,28,31,29,28,27,30,26,29,29,29,27,26,29,27,28,28,27.989898989899,0.155630231026987
0.05,25,12.5005750287514,225,33,33,34,31,32,32,32,31,30,31,31,34,32,35,29,32,34,37,30,28,31,37,30,30,38,32,32,34,38,34,33,30,32,32,35,30,32,34,31,31,29,35,34,28,29,40,30,29,32,34,33,37,29,35,36,33,31,31,34,30,36,33,30,35,34,32,31,35,28,30,32,36,28,37,37,27,34,28,33,35,29,35,31,34,32,29,36,35,32,30,35,31,35,32,33,32,34,33,34,31,32.4949494949495,0.266439969106445
0.05,25,12.5005750287514,400,34,40,41,36,37,35,39,43,38,34,41,31,35,39,38,39,36,37,39,39,37,39,35,32,38,40,36,34,38,42,40,37,32,37,41,31,42,38,39,37,38,37,41,30,40,38,36,37,39,40,37,43,38,39,38,37,42,41,41,39,46,40,32,38,37,38,34,42,39,36,36,44,35,39,45,38,39,37,38,42,41,40,38,30,39,36,45,44,43,42,39,41,38,35,37,33,40,40,37,39,38.2323232323232,0.323869450409786
0.05,25,12.5005750287514,625,42,44,48,42,43,46,52,43,42,37,47,37,41,44,39,36,43,44,45,40,45,53,42,42,41,44,45,39,49,49,42,38,43,42,36,35,44,43,42,43,38,45,40,43,45,48,40,43,40,46,49,48,38,39,44,40,45,48,38,49,48,45,36,48,50,37,40,50,43,40,45,46,42,43,47,45,43,40,50,45,43,46,46,34,38,43,45,45,46,53,46,38,47,46,44,43,45,38,42,40,43.3030303030303,0.407731542072544
0.05,25,12.5005750287514,900,45,49,50,47,47,45,51,46,45,43,46,44,46,46,44,44,49,46,52,45,47,52,44,40,46,52,48,46,52,60,45,48,47,43,49,39,50,43,48,49,40,54,51,48,43,48,45,48,45,50,52,46,44,41,47,52,47,54,50,50,48,55,46,49,53,46,49,52,46,45,42,52,42,49,54,51,46,45,51,49,50,53,49,42,47,44,50,58,45,57,47,47,52,48,51,42,51,49,44,45,47.7676767676768,0.396289813041005
0.05,25,12.5005750287514,1225,44,45,61,51,52,57,56,47,53,47,58,48,50,45,44,56,51,50,54,44,54,62,47,47,56,51,52,43,58,52,57,47,51,42,47,41,59,45,52,51,46,50,56,47,46,55,49,53,47,51,50,54,45,49,50,51,54,57,46,52,57,52,49,55,54,46,47,57,50,49,50,54,40,57,55,57,52,43,54,56,55,60,52,44,49,53,53,52,52,63,54,48,57,56,56,50,55,44,45,57,51.3131313131313,0.494381223547521
0.05,25,12.5005750287514,1600,50,52,59,54,53,64,62,53,52,52,66,55,48,55,52,45,54,53,54,48,51,59,49,51,51,55,54,52,69,63,56,52,58,48,57,44,60,51,53,54,45,52,52,55,53,53,51,56,48,56,58,58,48,51,50,54,58,61,52,54,57,51,52,59,61,51,52,60,52,48,55,60,45,58,59,61,53,47,57,58,57,60,51,45,56,50,60,63,57,65,49,51,57,58,61,47,57,51,47,55,54.3030303030303,0.507916010343333
0.05,25,12.5005750287514,2025,56,54,66,56,59,62,65,53,58,52,73,50,56,58,53,54,60,54,60,50,59,64,62,49,57,56,60,55,66,66,59,53,54,53,60,58,61,55,58,51,48,61,60,56,53,60,58,61,56,60,60,57,55,52,57,63,61,55,58,58,61,61,51,70,62,56,58,62,53,55,50,62,49,57,67,70,58,52,58,55,55,64,54,44,59,52,64,67,53,62,55,57,60,57,60,55,63,56,53,63,57.7575757575758,0.515096944979739
0.05,25,12.5005750287514,2500,65,55,70,57,57,61,62,54,60,55,70,58,57,59,48,54,55,60,58,58,67,68,54,54,60,55,61,59,66,73,61,57,64,51,64,54,68,53,61,59,48,59,64,52,57,60,59,59,54,65,64,61,54,50,63,63,60,60,63,57,69,65,55,65,66,54,58,62,54,62,54,68,51,58,69,70,58,60,73,61,65,69,63,48,63,56,60,71,59,71,58,57,69,60,64,58,60,58,48,63,60.010101010101,0.585591960881932
0.05,25,12.5005750287514,3025,62,57,73,61,65,66,72,60,67,61,63,59,64,61,54,55,57,61,64,56,67,66,61,60,64,57,59,59,69,71,63,55,62,54,58,51,61,54,64,54,52,65,65,55,58,63,62,62,55,64,62,68,58,59,66,61,62,75,61,63,68,64,54,66,71,60,66,73,58,58,65,70,55,59,66,75,62,52,71,70,63,70,58,47,56,59,63,67,62,77,62,57,65,65,69,57,65,59,56,68,62.1111111111111,0.586013172761103
0.05,25,12.5005750287514,3600,60,64,76,67,66,71,73,62,73,57,70,58,66,63,60,58,70,61,63,62,67,69,57,62,61,61,69,66,67,79,61,60,60,52,62,56,71,59,64,62,53,71,67,58,64,67,68,63,55,67,62,65,65,59,74,63,63,66,64,61,69,66,57,71,72,59,63,76,59,70,67,65,52,68,71,70,62,60,74,64,62,78,59,54,66,63,70,66,59,79,62,62,70,62,69,56,64,65,59,62,64.4646464646465,0.586615139995807
0.05,25,12.5005750287514,4225,75,61,77,62,72,66,74,66,70,65,72,65,64,70,59,66,63,67,61,65,68,74,59,57,68,60,70,65,71,77,64,62,66,57,64,60,64,64,66,65,55,71,69,62,62,69,72,63,57,68,68,65,62,56,61,71,74,71,64,73,67,72,61,78,72,59,69,69,65,67,69,76,62,69,77,73,64,61,77,68,63,82,61,58,66,63,69,73,65,78,67,59,73,68,72,60,69,73,59,72,66.7070707070707,0.575607469574177
