"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.05,25,526315.736842105,7225,45,56,53,54,55,48,48,51,52,51,55,56,49,55,58,45,48,51,51,49,53,60,55,55,50,53,53,48,57,44,54,58,49,46,49,56,55,63,52,54,44,48,47,48,42,54,48,55,50,48,53,57,59,53,55,47,59,45,46,56,41,47,55,51,41,47,55,54,43,42,48,55,62,51,51,52,48,47,46,54,55,50,46,42,48,57,57,43,49,44,57,42,55,41,49,51,45,49,54,53,50.85,0.502996074045365
0.05,25,526315.736842105,8100,57,52,52,49,49,51,48,49,53,49,47,60,53,57,57,68,63,50,57,54,50,54,53,53,50,43,42,54,46,49,46,54,52,53,47,61,41,57,46,53,56,51,58,48,52,53,51,52,50,52,56,52,48,54,57,59,52,61,49,50,52,50,58,51,53,54,58,57,57,49,66,52,59,51,54,53,52,50,46,55,52,52,54,42,51,51,54,50,59,55,49,45,50,48,62,51,52,54,51,55,52.54,0.477666888705567
0.05,25,526315.736842105,9025,62,51,50,49,50,56,59,60,54,51,54,60,58,57,55,53,51,54,49,62,55,59,57,57,46,59,60,64,54,59,55,56,48,53,54,57,57,47,51,58,56,59,56,50,50,49,52,49,55,46,48,54,53,50,52,47,49,67,56,56,48,50,58,63,58,56,60,53,52,55,56,44,56,53,60,46,54,57,52,57,61,63,59,54,57,64,53,58,50,53,55,67,60,50,57,54,55,54,54,52,54.73,0.472229827627407
0.05,25,526315.736842105,10000,56,43,49,46,54,59,62,62,55,59,62,41,56,53,64,60,47,54,52,52,49,57,64,53,54,54,68,55,40,51,48,57,48,41,54,50,47,62,57,54,61,63,54,59,56,54,56,59,58,50,53,60,58,58,51,61,49,59,59,55,55,58,50,53,56,59,60,64,49,51,52,58,65,59,51,53,63,49,48,63,62,56,57,44,60,52,56,50,51,65,63,54,50,56,66,53,54,58,51,54,55.1,0.579184379498054
0.05,25,526315.736842105,11025,53,57,58,57,58,58,60,67,59,58,63,58,61,59,65,58,60,60,54,55,48,56,61,54,55,63,54,59,60,60,55,69,61,54,59,50,63,48,57,55,53,51,63,44,53,61,48,55,58,59,62,57,58,65,60,57,65,62,67,66,50,59,56,61,59,58,68,49,62,52,56,55,52,59,49,54,57,59,57,51,57,68,68,57,60,53,65,60,63,55,57,67,54,59,60,56,55,71,57,49,57.97,0.521159352508492
0.05,25,526315.736842105,12100,55,51,47,51,51,53,58,65,65,61,61,59,60,53,58,56,59,51,58,52,64,66,51,60,59,56,55,61,63,59,52,58,61,57,56,69,71,63,58,62,57,72,63,55,58,57,51,56,58,73,60,61,59,56,56,62,68,55,56,54,60,57,54,66,49,54,62,61,57,58,61,50,49,65,64,63,64,63,63,58,56,56,54,70,55,61,54,73,58,52,60,55,69,63,63,65,62,71,60,57,59.04,0.562627314436026
0.05,25,526315.736842105,13225,59,60,58,52,55,55,55,61,48,58,55,61,62,63,60,61,63,59,56,55,66,65,57,53,69,61,62,59,70,63,67,66,66,51,62,58,59,65,60,60,45,65,59,65,59,61,63,51,57,61,53,63,61,63,70,56,58,68,47,68,53,55,66,60,64,55,60,51,58,64,60,55,49,59,58,67,55,60,61,58,62,53,67,62,63,67,67,68,56,61,57,58,57,50,82,57,62,53,58,63,59.79,0.573011713878891
0.05,25,526315.736842105,14400,54,59,48,72,70,60,66,61,74,63,64,62,63,60,64,58,56,60,70,66,67,63,67,59,52,69,65,68,67,60,56,59,59,64,52,64,71,64,68,66,73,63,61,56,62,66,63,58,63,59,57,66,60,57,52,62,59,64,53,68,56,58,64,63,63,62,54,58,69,61,58,64,65,58,63,64,59,55,63,64,63,63,71,63,58,73,72,68,68,64,63,68,56,60,75,59,76,65,63,55,62.56,0.551274006554844
0.05,25,526315.736842105,15625,58,55,56,48,61,72,63,83,49,56,52,60,66,55,68,75,65,64,59,65,58,76,74,67,64,75,63,60,63,58,63,59,69,64,62,61,62,56,55,68,74,60,69,65,60,66,63,71,64,57,61,67,75,62,60,64,55,67,63,67,54,69,65,68,51,61,61,60,61,61,51,66,71,63,55,60,75,59,58,61,59,53,71,67,73,66,68,62,60,65,66,62,64,67,67,57,63,71,64,53,63.05,0.646572158042361
0.05,25,526315.736842105,16900,69,67,61,64,62,63,67,61,64,65,59,81,69,51,68,58,61,69,68,59,60,51,55,64,63,62,75,66,69,65,60,75,68,68,63,60,69,67,60,69,65,63,70,68,67,61,70,65,66,64,66,64,63,64,67,67,59,66,75,61,55,67,57,72,52,74,70,60,61,62,65,69,73,67,55,65,55,48,63,74,63,65,73,70,70,67,69,61,71,64,68,65,59,53,71,70,80,67,66,68,64.9,0.596877396340845
0.05,25,526315.736842105,18225,74,76,63,59,70,72,63,73,83,64,56,66,66,65,57,79,68,67,62,62,64,62,62,66,60,70,72,62,72,68,53,60,64,63,64,54,73,54,67,56,61,56,58,70,69,56,70,60,61,61,61,76,59,56,68,55,46,54,62,68,57,84,64,65,71,69,72,59,66,65,64,54,58,55,68,67,68,65,70,66,55,65,64,77,59,64,78,64,60,59,70,77,74,62,62,69,63,68,67,55,64.57,0.698230808992458
0.05,25,526315.736842105,19600,67,65,58,75,76,61,64,74,67,62,63,73,62,65,66,58,80,71,74,66,70,54,62,56,69,66,64,71,60,66,63,63,70,77,69,80,62,69,64,68,78,54,57,58,59,70,66,72,68,53,67,57,67,59,58,69,61,62,60,52,76,71,80,84,60,62,65,62,66,55,75,70,60,63,61,68,75,70,58,62,73,56,77,65,61,73,57,73,65,81,60,74,63,63,70,63,65,72,66,60,65.97,0.696956587491994
0.05,25,526315.736842105,21025,68,66,68,61,70,67,75,59,67,68,65,69,76,63,65,62,64,67,59,74,68,59,64,65,67,79,74,59,70,71,70,74,55,81,60,72,61,69,70,75,68,61,71,60,61,70,65,70,59,68,72,56,66,63,73,57,61,64,61,74,73,65,68,62,65,68,67,65,64,66,62,72,58,74,60,72,67,66,65,64,73,72,80,64,65,73,68,65,74,61,68,59,61,68,67,58,79,73,66,75,66.88,0.566805687046881
0.05,25,526315.736842105,22500,63,64,69,67,64,71,63,58,61,70,54,69,66,67,57,67,73,70,77,67,75,76,74,63,76,58,63,75,70,68,67,75,74,72,66,68,71,67,69,70,67,62,69,74,58,72,54,68,59,64,68,67,85,66,53,62,59,74,69,66,85,72,54,65,68,68,57,65,60,76,67,63,61,76,62,63,55,71,68,64,59,63,64,68,66,72,63,71,57,69,56,65,65,72,69,69,59,59,49,74,66.39,0.660409270104837
0.05,25,526315.736842105,24025,54,74,58,73,68,72,79,72,75,66,73,61,55,69,74,68,78,61,68,75,55,75,69,71,73,62,70,69,73,57,65,75,84,72,74,84,75,66,55,73,68,63,63,68,55,64,63,71,63,73,64,72,71,67,70,69,68,62,79,56,70,83,68,66,70,62,69,70,72,73,57,75,77,66,73,74,65,75,64,54,71,66,73,58,73,67,55,63,68,71,67,67,66,58,78,66,70,59,77,63,68.18,0.688048036847792
0.05,25,526315.736842105,25600,69,70,70,62,70,68,74,63,69,74,63,72,81,70,69,70,61,63,74,69,59,79,71,73,68,68,70,69,66,74,65,78,78,78,71,71,71,76,60,61,66,66,65,70,77,65,57,58,86,75,78,62,70,65,73,68,61,56,57,80,71,83,81,72,70,61,61,74,64,67,68,65,81,81,67,70,71,64,75,75,75,72,66,70,76,68,63,66,74,76,74,67,80,74,71,72,75,69,65,64,69.8,0.62893207547044
0.05,25,526315.736842105,27225,72,72,62,80,79,75,60,68,83,71,64,72,76,74,73,64,73,76,71,58,60,77,64,66,72,75,64,71,71,68,65,79,73,62,64,67,69,71,69,65,80,80,80,77,76,73,74,65,65,75,71,65,69,70,56,69,74,63,61,71,79,69,86,70,72,69,67,57,70,74,72,74,63,63,69,70,76,63,84,71,77,74,62,64,61,73,77,66,72,77,75,78,70,69,72,73,74,67,82,75,70.65,0.621561247053244
0.05,25,526315.736842105,28900,60,75,71,60,74,61,74,74,72,73,70,69,58,65,70,93,71,65,77,85,58,73,78,75,72,74,63,78,75,65,66,66,81,77,75,78,79,70,76,66,64,58,66,72,70,71,73,68,64,76,57,61,67,63,71,65,70,58,68,71,63,77,69,79,70,70,68,80,76,63,76,65,65,72,70,73,75,67,78,61,61,72,86,60,65,64,74,62,75,70,72,80,76,65,65,81,70,68,86,89,70.53,0.720753674000944
0.05,25,526315.736842105,30625,80,67,63,74,64,73,65,75,70,64,67,68,76,76,69,69,73,69,73,73,63,75,74,63,65,65,68,62,81,71,74,78,68,68,61,73,69,71,64,72,67,67,62,76,62,69,73,55,71,82,66,83,64,65,74,77,71,65,68,69,69,66,76,78,87,65,62,62,67,66,71,86,72,65,77,80,69,68,70,66,63,71,71,77,73,78,64,81,76,64,72,93,67,66,71,76,75,80,77,62,70.58,0.64856952151826
0.05,25,526315.736842105,32400,68,76,71,80,74,76,65,69,76,69,75,73,71,77,79,88,72,70,75,64,78,84,78,71,63,70,82,65,69,70,79,73,81,71,81,72,80,79,65,78,79,67,69,78,67,64,71,69,73,70,63,78,79,65,72,82,63,60,64,73,74,90,54,74,66,68,64,68,77,65,86,68,73,63,70,75,75,76,70,76,60,69,62,84,79,77,80,73,74,66,89,75,79,78,76,61,65,66,74,79,72.61,0.691345489504767
0.05,25,526315.736842105,34225,72,58,71,77,71,70,77,82,80,68,78,61,89,71,76,73,61,77,76,66,66,84,80,83,73,66,77,75,71,68,68,67,79,71,61,93,83,67,67,89,68,76,76,75,67,74,78,66,63,79,82,65,67,70,74,68,62,66,72,75,71,89,84,72,68,76,72,70,72,76,66,91,76,70,65,79,67,73,78,68,62,72,69,70,70,62,68,86,71,78,75,68,84,73,75,83,67,84,66,71,73.02,0.727383577410756
0.05,25,526315.736842105,36100,60,70,74,79,65,80,71,71,76,68,79,79,74,68,73,65,85,79,71,63,77,76,77,74,76,76,67,74,70,75,71,70,72,80,71,72,73,67,78,93,70,69,65,70,73,74,66,68,73,75,70,74,70,66,81,73,68,72,68,81,71,82,72,70,76,70,83,82,81,80,86,81,66,75,71,66,64,91,85,66,77,78,86,82,63,83,64,74,71,62,71,77,81,68,81,110,82,75,83,81,74.32,0.747910219859106
0.05,25,526315.736842105,38025,73,65,91,77,69,83,73,75,79,83,97,69,77,90,76,80,75,76,75,71,80,74,75,81,84,70,72,70,90,71,75,80,69,73,82,68,86,84,70,75,76,85,77,75,76,75,81,80,70,67,80,70,88,85,77,82,79,74,70,82,78,72,84,76,76,77,87,69,71,80,90,56,68,84,69,72,75,76,81,74,78,70,78,75,68,74,79,80,72,87,73,72,87,72,74,78,87,75,75,81,76.82,0.661247672849202
0.05,25,526315.736842105,40000,68,67,82,78,71,70,67,75,79,79,74,72,95,71,71,70,71,84,82,81,59,73,77,69,81,69,80,79,86,61,82,88,76,88,71,74,83,71,82,74,79,85,75,66,77,79,75,79,73,67,85,79,66,73,65,67,71,71,71,74,64,71,86,80,60,89,68,69,86,76,78,69,73,84,68,60,69,81,65,76,76,70,72,83,63,90,102,69,74,78,78,85,78,80,63,70,66,83,75,83,75.17,0.790480610742348
