"","ID","t","LogN","Model"
"1",213,NA,NA,"Gompertz"
"2",213,NA,NA,"Baranyi"
"3",213,NA,NA,"Buchanan"
"11000",213,0,-2.97089513119096,"Quadratic"
"21000",213,0.5,-2.96845539646807,"Quadratic"
"31000",213,1,-2.96601595007803,"Quadratic"
"4",213,1.5,-2.96357679202085,"Quadratic"
"5",213,2,-2.96113792229652,"Quadratic"
"6",213,2.5,-2.95869934090505,"Quadratic"
"7",213,3,-2.95626104784645,"Quadratic"
"8",213,3.5,-2.95382304312069,"Quadratic"
"9",213,4,-2.95138532672779,"Quadratic"
"10",213,4.5,-2.94894789866775,"Quadratic"
"11",213,5,-2.94651075894057,"Quadratic"
"12",213,5.5,-2.94407390754624,"Quadratic"
"13",213,6,-2.94163734448477,"Quadratic"
"14",213,6.5,-2.93920106975616,"Quadratic"
"15",213,7,-2.9367650833604,"Quadratic"
"16",213,7.5,-2.9343293852975,"Quadratic"
"17",213,8,-2.93189397556746,"Quadratic"
"18",213,8.5,-2.92945885417027,"Quadratic"
"19",213,9,-2.92702402110594,"Quadratic"
"20",213,9.5,-2.92458947637447,"Quadratic"
"21",213,10,-2.92215521997585,"Quadratic"
"22",213,10.5,-2.9197212519101,"Quadratic"
"23",213,11,-2.91728757217719,"Quadratic"
"24",213,11.5,-2.91485418077715,"Quadratic"
"25",213,12,-2.91242107770996,"Quadratic"
"26",213,12.5,-2.90998826297562,"Quadratic"
"27",213,13,-2.90755573657415,"Quadratic"
"28",213,13.5,-2.90512349850553,"Quadratic"
"29",213,14,-2.90269154876977,"Quadratic"
"30",213,14.5,-2.90025988736686,"Quadratic"
"31",213,15,-2.89782851429681,"Quadratic"
"32",213,15.5,-2.89539742955962,"Quadratic"
"33",213,16,-2.89296663315528,"Quadratic"
"34",213,16.5,-2.8905361250838,"Quadratic"
"35",213,17,-2.88810590534518,"Quadratic"
"36",213,17.5,-2.88567597393942,"Quadratic"
"37",213,18,-2.88324633086651,"Quadratic"
"38",213,18.5,-2.88081697612646,"Quadratic"
"39",213,19,-2.87838790971926,"Quadratic"
"40",213,19.5,-2.87595913164492,"Quadratic"
"41",213,20,-2.87353064190344,"Quadratic"
"42",213,20.5,-2.87110244049482,"Quadratic"
"43",213,21,-2.86867452741905,"Quadratic"
"44",213,21.5,-2.86624690267614,"Quadratic"
"45",213,22,-2.86381956626608,"Quadratic"
"46",213,22.5,-2.86139251818888,"Quadratic"
"47",213,23,-2.85896575844454,"Quadratic"
"48",213,23.5,-2.85653928703306,"Quadratic"
"49",213,24,-2.85411310395443,"Quadratic"
"50",213,24.5,-2.85168720920866,"Quadratic"
"51",213,25,-2.84926160279574,"Quadratic"
"52",213,25.5,-2.84683628471569,"Quadratic"
"53",213,26,-2.84441125496849,"Quadratic"
"54",213,26.5,-2.84198651355414,"Quadratic"
"55",213,27,-2.83956206047265,"Quadratic"
"56",213,27.5,-2.83713789572402,"Quadratic"
"57",213,28,-2.83471401930825,"Quadratic"
"58",213,28.5,-2.83229043122533,"Quadratic"
"59",213,29,-2.82986713147527,"Quadratic"
"60",213,29.5,-2.82744412005807,"Quadratic"
"61",213,30,-2.82502139697372,"Quadratic"
"62",213,30.5,-2.82259896222223,"Quadratic"
"63",213,31,-2.8201768158036,"Quadratic"
"64",213,31.5,-2.81775495771782,"Quadratic"
"65",213,32,-2.8153333879649,"Quadratic"
"66",213,32.5,-2.81291210654484,"Quadratic"
"67",213,33,-2.81049111345763,"Quadratic"
"68",213,33.5,-2.80807040870328,"Quadratic"
"69",213,34,-2.80564999228179,"Quadratic"
"70",213,34.5,-2.80322986419315,"Quadratic"
"71",213,35,-2.80081002443737,"Quadratic"
"72",213,35.5,-2.79839047301445,"Quadratic"
"73",213,36,-2.79597120992438,"Quadratic"
"74",213,36.5,-2.79355223516717,"Quadratic"
"75",213,37,-2.79113354874282,"Quadratic"
"76",213,37.5,-2.78871515065132,"Quadratic"
"77",213,38,-2.78629704089268,"Quadratic"
"78",213,38.5,-2.7838792194669,"Quadratic"
"79",213,39,-2.78146168637397,"Quadratic"
"80",213,39.5,-2.7790444416139,"Quadratic"
"81",213,40,-2.77662748518669,"Quadratic"
"82",213,40.5,-2.77421081709233,"Quadratic"
"83",213,41,-2.77179443733084,"Quadratic"
"84",213,41.5,-2.76937834590219,"Quadratic"
"85",213,42,-2.76696254280641,"Quadratic"
"86",213,42.5,-2.76454702804348,"Quadratic"
"87",213,43,-2.76213180161341,"Quadratic"
"88",213,43.5,-2.75971686351619,"Quadratic"
"89",213,44,-2.75730221375183,"Quadratic"
"90",213,44.5,-2.75488785232033,"Quadratic"
"91",213,45,-2.75247377922169,"Quadratic"
"92",213,45.5,-2.7500599944559,"Quadratic"
"93",213,46,-2.74764649802297,"Quadratic"
"94",213,46.5,-2.74523328992289,"Quadratic"
"95",213,47,-2.74282037015567,"Quadratic"
"96",213,47.5,-2.74040773872131,"Quadratic"
"97",213,48,-2.73799539561981,"Quadratic"
"98",213,48.5,-2.73558334085116,"Quadratic"
"99",213,49,-2.73317157441537,"Quadratic"
"100",213,49.5,-2.73076009631243,"Quadratic"
"101",213,50,-2.72834890654235,"Quadratic"
"102",213,50.5,-2.72593800510513,"Quadratic"
"103",213,51,-2.72352739200077,"Quadratic"
"104",213,51.5,-2.72111706722926,"Quadratic"
"105",213,52,-2.71870703079061,"Quadratic"
"106",213,52.5,-2.71629728268481,"Quadratic"
"107",213,53,-2.71388782291188,"Quadratic"
"108",213,53.5,-2.7114786514718,"Quadratic"
"109",213,54,-2.70906976836457,"Quadratic"
"110",213,54.5,-2.7066611735902,"Quadratic"
"111",213,55,-2.70425286714869,"Quadratic"
"112",213,55.5,-2.70184484904004,"Quadratic"
"113",213,56,-2.69943711926424,"Quadratic"
"114",213,56.5,-2.6970296778213,"Quadratic"
"115",213,57,-2.69462252471122,"Quadratic"
"116",213,57.5,-2.69221565993399,"Quadratic"
"117",213,58,-2.68980908348962,"Quadratic"
"118",213,58.5,-2.68740279537811,"Quadratic"
"119",213,59,-2.68499679559945,"Quadratic"
"120",213,59.5,-2.68259108415365,"Quadratic"
"121",213,60,-2.68018566104071,"Quadratic"
"122",213,60.5,-2.67778052626062,"Quadratic"
"123",213,61,-2.67537567981339,"Quadratic"
"124",213,61.5,-2.67297112169902,"Quadratic"
"125",213,62,-2.6705668519175,"Quadratic"
"126",213,62.5,-2.66816287046884,"Quadratic"
"127",213,63,-2.66575917735304,"Quadratic"
"128",213,63.5,-2.66335577257009,"Quadratic"
"129",213,64,-2.66095265612,"Quadratic"
"130",213,64.5,-2.65854982800277,"Quadratic"
"131",213,65,-2.65614728821839,"Quadratic"
"132",213,65.5,-2.65374503676688,"Quadratic"
"133",213,66,-2.65134307364821,"Quadratic"
"134",213,66.5,-2.64894139886241,"Quadratic"
"135",213,67,-2.64654001240946,"Quadratic"
"136",213,67.5,-2.64413891428937,"Quadratic"
"137",213,68,-2.64173810450213,"Quadratic"
"138",213,68.5,-2.63933758304775,"Quadratic"
"139",213,69,-2.63693734992623,"Quadratic"
"140",213,69.5,-2.63453740513756,"Quadratic"
"141",213,70,-2.63213774868175,"Quadratic"
"142",213,70.5,-2.6297383805588,"Quadratic"
"143",213,71,-2.62733930076871,"Quadratic"
"144",213,71.5,-2.62494050931147,"Quadratic"
"145",213,72,-2.62254200618709,"Quadratic"
"146",213,72.5,-2.62014379139556,"Quadratic"
"147",213,73,-2.61774586493689,"Quadratic"
"148",213,73.5,-2.61534822681108,"Quadratic"
"149",213,74,-2.61295087701813,"Quadratic"
"150",213,74.5,-2.61055381555803,"Quadratic"
"151",213,75,-2.60815704243079,"Quadratic"
"152",213,75.5,-2.6057605576364,"Quadratic"
"153",213,76,-2.60336436117487,"Quadratic"
"154",213,76.5,-2.6009684530462,"Quadratic"
"155",213,77,-2.59857283325039,"Quadratic"
"156",213,77.5,-2.59617750178743,"Quadratic"
"157",213,78,-2.59378245865733,"Quadratic"
"158",213,78.5,-2.59138770386009,"Quadratic"
"159",213,79,-2.5889932373957,"Quadratic"
"160",213,79.5,-2.58659905926417,"Quadratic"
