"","ID","t","LogN","Model"
"1",172,0,5.42434431670933,"Gompertz"
"2",172,0.5,5.42434692326976,"Gompertz"
"3",172,1,5.42451489394205,"Gompertz"
"4",172,1.5,5.42761177819084,"Gompertz"
"5",172,2,5.45066340217766,"Gompertz"
"6",172,2.5,5.53929105476465,"Gompertz"
"7",172,3,5.75009333261961,"Gompertz"
"8",172,3.5,6.10439524737442,"Gompertz"
"9",172,4,6.56831124068772,"Gompertz"
"10",172,4.5,7.0763657268922,"Gompertz"
"11",172,5,7.56620547709975,"Gompertz"
"12",172,5.5,7.9975772404595,"Gompertz"
"13",172,6,8.3537994475181,"Gompertz"
"14",172,6.5,8.634855328876,"Gompertz"
"15",172,7,8.84956107981273,"Gompertz"
"16",172,7.5,9.00987520712045,"Gompertz"
"17",172,8,9.12765762587379,"Gompertz"
"18",172,8.5,9.2132086533593,"Gompertz"
"19",172,9,9.27484835109705,"Gompertz"
"20",172,9.5,9.31900691756366,"Gompertz"
"21",172,10,9.35051456620733,"Gompertz"
"22",172,10.5,9.37293158153627,"Gompertz"
"23",172,11,9.38884867674904,"Gompertz"
"24",172,11.5,9.40013444052189,"Gompertz"
"25",172,12,9.40812837824308,"Gompertz"
"26",172,0,5.38912026487548,"Baranyi"
"27",172,0.5,5.39427559569136,"Baranyi"
"28",172,1,5.40717558484565,"Baranyi"
"29",172,1.5,5.43849213577795,"Baranyi"
"30",172,2,5.50954213290372,"Baranyi"
"31",172,2.5,5.65116511650918,"Baranyi"
"32",172,3,5.88436815615113,"Baranyi"
"33",172,3.5,6.19845142212797,"Baranyi"
"34",172,4,6.56275953615932,"Baranyi"
"35",172,4.5,6.9512576449635,"Baranyi"
"36",172,5,7.348985157452,"Baranyi"
"37",172,5.5,7.74736354112683,"Baranyi"
"38",172,6,8.13831679360981,"Baranyi"
"39",172,6.5,8.50845109299308,"Baranyi"
"40",172,7,8.83374000590727,"Baranyi"
"41",172,7.5,9.08293478114593,"Baranyi"
"42",172,8,9.23994967771376,"Baranyi"
"43",172,8.5,9.32112576757867,"Baranyi"
"44",172,9,9.35754836295187,"Baranyi"
"45",172,9.5,9.37267990357057,"Baranyi"
"46",172,10,9.37874906075171,"Baranyi"
"47",172,10.5,9.38114784090602,"Baranyi"
"48",172,11,9.38209035129215,"Baranyi"
"49",172,11.5,9.38245981057352,"Baranyi"
"50",172,12,9.38260450372218,"Baranyi"
"51",172,NA,NA,"Buchanan"
"110",172,0,4.84852031852601,"Quadratic"
"210",172,0.5,5.12023241340856,"Quadratic"
"310",172,1,5.38663017330098,"Quadratic"
"410",172,1.5,5.64771359820328,"Quadratic"
"52",172,2,5.90348268811545,"Quadratic"
"61",172,2.5,6.15393744303751,"Quadratic"
"71",172,3,6.39907786296944,"Quadratic"
"81",172,3.5,6.63890394791125,"Quadratic"
"91",172,4,6.87341569786294,"Quadratic"
"101",172,4.5,7.1026131128245,"Quadratic"
"111",172,5,7.32649619279595,"Quadratic"
"121",172,5.5,7.54506493777727,"Quadratic"
"131",172,6,7.75831934776847,"Quadratic"
"141",172,6.5,7.96625942276955,"Quadratic"
"151",172,7,8.1688851627805,"Quadratic"
"161",172,7.5,8.36619656780134,"Quadratic"
"171",172,8,8.55819363783205,"Quadratic"
"181",172,8.5,8.74487637287264,"Quadratic"
"191",172,9,8.9262447729231,"Quadratic"
"201",172,9.5,9.10229883798345,"Quadratic"
"211",172,10,9.27303856805367,"Quadratic"
"221",172,10.5,9.43846396313377,"Quadratic"
"231",172,11,9.59857502322375,"Quadratic"
"241",172,11.5,9.75337174832361,"Quadratic"
"251",172,12,9.90285413843334,"Quadratic"
"112",172,0,5.35065627402022,"Polynomial"
"212",172,0.5,5.33223702028157,"Polynomial"
"311",172,1,5.37508361513945,"Polynomial"
"411",172,1.5,5.4730703046835,"Polynomial"
"53",172,2,5.62007133500335,"Polynomial"
"62",172,2.5,5.80996095218862,"Polynomial"
"72",172,3,6.03661340232896,"Polynomial"
"82",172,3.5,6.29390293151398,"Polynomial"
"92",172,4,6.57570378583332,"Polynomial"
"102",172,4.5,6.87589021137662,"Polynomial"
"113",172,5,7.18833645423349,"Polynomial"
"122",172,5.5,7.50691676049358,"Polynomial"
"132",172,6,7.82550537624651,"Polynomial"
"142",172,6.5,8.13797654758191,"Polynomial"
"152",172,7,8.43820452058942,"Polynomial"
"162",172,7.5,8.72006354135866,"Polynomial"
"172",172,8,8.97742785597927,"Polynomial"
"182",172,8.5,9.20417171054087,"Polynomial"
"192",172,9,9.3941693511331,"Polynomial"
"202",172,9.5,9.54129502384559,"Polynomial"
"213",172,10,9.63942297476797,"Polynomial"
"222",172,10.5,9.68242744998986,"Polynomial"
"232",172,11,9.66418269560091,"Polynomial"
"242",172,11.5,9.57856295769073,"Polynomial"
"252",172,12,9.41944248234896,"Polynomial"
"114",172,0,5.09263198357916,"Linear"
"214",172,0.5,5.3020729076724,"Linear"
"312",172,1,5.51151383176565,"Linear"
"412",172,1.5,5.72095475585889,"Linear"
"54",172,2,5.93039567995213,"Linear"
"63",172,2.5,6.13983660404538,"Linear"
"73",172,3,6.34927752813862,"Linear"
"83",172,3.5,6.55871845223187,"Linear"
"93",172,4,6.76815937632511,"Linear"
"103",172,4.5,6.97760030041835,"Linear"
"115",172,5,7.1870412245116,"Linear"
"123",172,5.5,7.39648214860484,"Linear"
"133",172,6,7.60592307269808,"Linear"
"143",172,6.5,7.81536399679133,"Linear"
"153",172,7,8.02480492088457,"Linear"
"163",172,7.5,8.23424584497781,"Linear"
"173",172,8,8.44368676907106,"Linear"
"183",172,8.5,8.6531276931643,"Linear"
"193",172,9,8.86256861725754,"Linear"
"203",172,9.5,9.07200954135079,"Linear"
"215",172,10,9.28145046544403,"Linear"
"223",172,10.5,9.49089138953727,"Linear"
"233",172,11,9.70033231363052,"Linear"
"243",172,11.5,9.90977323772376,"Linear"
"253",172,12,10.119214161817,"Linear"
