"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.788,0.006,1098.615,"$<$ 0.001",0.997,"Niche_Area_Migration"
"2","z.K_num",4.879,0.006,752.24,"$<$ 0.001",0.997,"Niche_Area_Migration"
"3","z.area",0.601,0.006,92.635,"$<$ 0.001",0.997,"Niche_Area_Migration"
"4","z.migration",0.373,0.006,60.281,"$<$ 0.001",0.997,"Niche_Area_Migration"
"5","(Intercept)",6.788,0.01,689.16,"$<$ 0.001",0.991,"Niche_Area"
"6","z.K_num",4.879,0.01,471.879,"$<$ 0.001",0.991,"Niche_Area"
"7","z.area",0.601,0.01,58.11,"$<$ 0.001",0.991,"Niche_Area"
"8","(Intercept)",6.788,0.015,441.948,"$<$ 0.001",0.979,"Niche"
"9","z.K_num",5.062,0.015,329.524,"$<$ 0.001",0.979,"Niche"
