"","area","species","migration","niches","theta","SimOrAnalytic"
"98",1960,315.41,0.05,20,101010.090909091,"simulation"
"99",1980,321.23,0.05,20,101010.090909091,"simulation"
"100",2000,325.43,0.05,20,101010.090909091,"simulation"
"101",20,20,0.05,20,101010.090909091,"analytic"
"102",40,21.9,0.05,20,101010.090909091,"analytic"
"103",60,24.19,0.05,20,101010.090909091,"analytic"
"104",80,26.69,0.05,20,101010.090909091,"analytic"
"105",100,29.34,0.05,20,101010.090909091,"analytic"
"106",120,32.08,0.05,20,101010.090909091,"analytic"
"107",140,34.9,0.05,20,101010.090909091,"analytic"
"108",160,37.77,0.05,20,101010.090909091,"analytic"
"109",180,40.68,0.05,20,101010.090909091,"analytic"
"110",200,43.62,0.05,20,101010.090909091,"analytic"
"111",220,46.6,0.05,20,101010.090909091,"analytic"
"112",240,49.59,0.05,20,101010.090909091,"analytic"
"113",260,52.61,0.05,20,101010.090909091,"analytic"
"114",280,55.63,0.05,20,101010.090909091,"analytic"
"115",300,58.68,0.05,20,101010.090909091,"analytic"
"116",320,61.73,0.05,20,101010.090909091,"analytic"
"117",340,64.79,0.05,20,101010.090909091,"analytic"
"118",360,67.86,0.05,20,101010.090909091,"analytic"
"119",380,70.94,0.05,20,101010.090909091,"analytic"
"120",400,74.02,0.05,20,101010.090909091,"analytic"
"121",420,77.11,0.05,20,101010.090909091,"analytic"
"122",440,80.2,0.05,20,101010.090909091,"analytic"
"123",460,83.3,0.05,20,101010.090909091,"analytic"
"124",480,86.4,0.05,20,101010.090909091,"analytic"
"125",500,89.51,0.05,20,101010.090909091,"analytic"
"126",520,92.62,0.05,20,101010.090909091,"analytic"
"127",540,95.73,0.05,20,101010.090909091,"analytic"
"128",560,98.84,0.05,20,101010.090909091,"analytic"
"129",580,101.96,0.05,20,101010.090909091,"analytic"
"130",600,105.07,0.05,20,101010.090909091,"analytic"
"131",620,108.19,0.05,20,101010.090909091,"analytic"
"132",640,111.32,0.05,20,101010.090909091,"analytic"
"133",660,114.44,0.05,20,101010.090909091,"analytic"
"134",680,117.56,0.05,20,101010.090909091,"analytic"
"135",700,120.69,0.05,20,101010.090909091,"analytic"
"136",720,123.81,0.05,20,101010.090909091,"analytic"
"137",740,126.94,0.05,20,101010.090909091,"analytic"
"138",760,130.07,0.05,20,101010.090909091,"analytic"
"139",780,133.2,0.05,20,101010.090909091,"analytic"
"140",800,136.33,0.05,20,101010.090909091,"analytic"
"141",820,139.46,0.05,20,101010.090909091,"analytic"
"142",840,142.59,0.05,20,101010.090909091,"analytic"
"143",860,145.73,0.05,20,101010.090909091,"analytic"
"144",880,148.86,0.05,20,101010.090909091,"analytic"
"145",900,151.99,0.05,20,101010.090909091,"analytic"
"146",920,155.13,0.05,20,101010.090909091,"analytic"
"147",940,158.26,0.05,20,101010.090909091,"analytic"
"148",960,161.4,0.05,20,101010.090909091,"analytic"
"149",980,164.53,0.05,20,101010.090909091,"analytic"
"150",1000,167.67,0.05,20,101010.090909091,"analytic"
"151",1020,170.81,0.05,20,101010.090909091,"analytic"
"152",1040,173.94,0.05,20,101010.090909091,"analytic"
"153",1060,177.08,0.05,20,101010.090909091,"analytic"
"154",1080,180.22,0.05,20,101010.090909091,"analytic"
"155",1100,183.36,0.05,20,101010.090909091,"analytic"
"156",1120,186.49,0.05,20,101010.090909091,"analytic"
"157",1140,189.63,0.05,20,101010.090909091,"analytic"
"158",1160,192.77,0.05,20,101010.090909091,"analytic"
"159",1180,195.91,0.05,20,101010.090909091,"analytic"
"160",1200,199.05,0.05,20,101010.090909091,"analytic"
"161",1220,202.19,0.05,20,101010.090909091,"analytic"
"162",1240,205.33,0.05,20,101010.090909091,"analytic"
"163",1260,208.47,0.05,20,101010.090909091,"analytic"
"164",1280,211.61,0.05,20,101010.090909091,"analytic"
"165",1300,214.75,0.05,20,101010.090909091,"analytic"
"166",1320,217.89,0.05,20,101010.090909091,"analytic"
"167",1340,221.03,0.05,20,101010.090909091,"analytic"
"168",1360,224.17,0.05,20,101010.090909091,"analytic"
"169",1380,227.31,0.05,20,101010.090909091,"analytic"
"170",1400,230.45,0.05,20,101010.090909091,"analytic"
"171",1420,233.59,0.05,20,101010.090909091,"analytic"
"172",1440,236.73,0.05,20,101010.090909091,"analytic"
"173",1460,239.87,0.05,20,101010.090909091,"analytic"
"174",1480,243.01,0.05,20,101010.090909091,"analytic"
"175",1500,246.15,0.05,20,101010.090909091,"analytic"
"176",1520,249.29,0.05,20,101010.090909091,"analytic"
"177",1540,252.43,0.05,20,101010.090909091,"analytic"
"178",1560,255.57,0.05,20,101010.090909091,"analytic"
"179",1580,258.71,0.05,20,101010.090909091,"analytic"
"180",1600,261.85,0.05,20,101010.090909091,"analytic"
"181",1620,264.99,0.05,20,101010.090909091,"analytic"
"182",1640,268.13,0.05,20,101010.090909091,"analytic"
"183",1660,271.27,0.05,20,101010.090909091,"analytic"
"184",1680,274.41,0.05,20,101010.090909091,"analytic"
"185",1700,277.55,0.05,20,101010.090909091,"analytic"
"186",1720,280.7,0.05,20,101010.090909091,"analytic"
"187",1740,283.84,0.05,20,101010.090909091,"analytic"
"188",1760,286.98,0.05,20,101010.090909091,"analytic"
"189",1780,290.12,0.05,20,101010.090909091,"analytic"
"190",1800,293.26,0.05,20,101010.090909091,"analytic"
"191",1820,296.4,0.05,20,101010.090909091,"analytic"
"192",1840,299.54,0.05,20,101010.090909091,"analytic"
"193",1860,302.68,0.05,20,101010.090909091,"analytic"
"194",1880,305.82,0.05,20,101010.090909091,"analytic"
"195",1900,308.96,0.05,20,101010.090909091,"analytic"
"196",1920,312.1,0.05,20,101010.090909091,"analytic"
"197",1940,315.24,0.05,20,101010.090909091,"analytic"
"198",1960,318.38,0.05,20,101010.090909091,"analytic"
"199",1980,321.52,0.05,20,101010.090909091,"analytic"
"200",2000,324.66,0.05,20,101010.090909091,"analytic"
