"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",7.65,0.008,1010.667,"$<$ 0.001",0.994,"Niche_Area_Migration"
"2","z.K_num",4.864,0.008,609.526,"$<$ 0.001",0.994,"Niche_Area_Migration"
"3","z.area",0.87,0.008,108.973,"$<$ 0.001",0.994,"Niche_Area_Migration"
"4","z.migration",0.538,0.008,71.026,"$<$ 0.001",0.994,"Niche_Area_Migration"
"5","(Intercept)",7.65,0.012,620.86,"$<$ 0.001",0.983,"Niche_Area"
"6","z.K_num",4.864,0.013,374.436,"$<$ 0.001",0.983,"Niche_Area"
"7","z.area",0.87,0.013,66.943,"$<$ 0.001",0.983,"Niche_Area"
"8","(Intercept)",7.65,0.019,395.435,"$<$ 0.001",0.958,"Niche"
"9","z.K_num",5.139,0.019,265.595,"$<$ 0.001",0.958,"Niche"
