"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",10.81,0.013,815.29,"$<$ 0.001",0.977,"Niche_Area_Migration"
"2","z.K_num",4.964,0.015,336.684,"$<$ 0.001",0.977,"Niche_Area_Migration"
"3","z.area",2.122,0.015,143.895,"$<$ 0.001",0.977,"Niche_Area_Migration"
"4","z.migration",1.241,0.013,93.615,"$<$ 0.001",0.977,"Niche_Area_Migration"
"5","(Intercept)",10.81,0.022,501.597,"$<$ 0.001",0.939,"Niche_Area"
"6","z.K_num",4.964,0.024,207.14,"$<$ 0.001",0.939,"Niche_Area"
"7","z.area",2.122,0.024,88.53,"$<$ 0.001",0.939,"Niche_Area"
"8","(Intercept)",10.81,0.034,319.284,"$<$ 0.001",0.85,"Niche"
"9","z.K_num",5.892,0.034,174.015,"$<$ 0.001",0.85,"Niche"
