"migration_rate","area","niches","mean_sp"
0.015,8,4,4.11
0.015,8,2,2.21
0.015,8,1,1.23
0.015,9,9,9
0.015,9,3,3.12
0.015,9,1,1.2
0.015,10,10,10
0.015,10,5,5.09
0.015,10,2,2.13
0.015,10,1,1.25
0.015,11,11,11
0.015,11,1,1.32
0.015,12,12,12
0.015,12,6,6.13
0.015,12,4,4.2
0.015,12,3,3.32
0.015,12,2,2.24
0.015,12,1,1.32
0.015,13,13,13
0.015,13,1,1.28
0.015,14,14,14
0.015,14,7,7.27
0.015,14,2,2.41
0.015,14,1,1.34
0.015,15,15,15
0.015,15,5,5.27
0.015,15,3,3.39
0.015,15,1,1.52
0.015,16,16,16
0.015,16,8,8.16
0.015,16,4,4.31
0.015,16,2,2.42
0.015,16,1,1.51
0.015,17,17,17
0.015,17,1,1.53
0.015,18,18,18
0.015,18,9,9.3
0.015,18,6,6.32
0.015,18,3,3.46
0.015,18,2,2.45
0.015,18,1,1.55
0.015,19,19,19
0.015,19,1,1.56
0.015,20,20,20
0.015,20,10,10.21
0.015,20,5,5.31
0.015,20,4,4.46
0.015,20,2,2.53
0.015,20,1,1.71
0.018,1,1,1
0.018,2,2,2
0.018,2,1,1.01
0.018,3,3,3
0.018,3,1,1.04
0.018,4,4,4
0.018,4,2,2.06
0.018,4,1,1.07
0.018,5,5,5
0.018,5,1,1.07
0.018,6,6,6
0.018,6,3,3.08
0.018,6,2,2.16
0.018,6,1,1.2
0.018,7,7,7
0.018,7,1,1.13
0.018,8,8,8
0.018,8,4,4.04
0.018,8,2,2.14
0.018,8,1,1.32
0.018,9,9,9
0.018,9,3,3.21
0.018,9,1,1.35
0.018,10,10,10
0.018,10,5,5.09
0.018,10,2,2.26
0.018,10,1,1.33
0.018,11,11,11
0.018,11,1,1.34
0.018,12,12,12
0.018,12,6,6.14
0.018,12,4,4.16
0.018,12,3,3.21
0.018,12,2,2.41
0.018,12,1,1.47
0.018,13,13,13
0.018,13,1,1.45
0.018,14,14,14
0.018,14,7,7.16
0.018,14,2,2.39
0.018,14,1,1.36
0.018,15,15,15
0.018,15,5,5.24
0.018,15,3,3.35
0.018,15,1,1.58
0.018,16,16,16
0.018,16,8,8.19
0.018,16,4,4.39
0.018,16,2,2.5
0.018,16,1,1.6
0.018,17,17,17
0.018,17,1,1.68
0.018,18,18,18
0.018,18,9,9.23
0.018,18,6,6.31
0.018,18,3,3.55
0.018,18,2,2.69
0.018,18,1,1.71
0.018,19,19,19
0.018,19,1,1.75
0.018,20,20,20
0.018,20,10,10.22
0.018,20,5,5.55
0.018,20,4,4.54
0.018,20,2,2.78
0.018,20,1,1.67
0.021,1,1,1
0.021,2,2,2
0.021,2,1,1.02
0.021,3,3,3
0.021,3,1,1.06
0.021,4,4,4
0.021,4,2,2.09
0.021,4,1,1.06
0.021,5,5,5
0.021,5,1,1.13
0.021,6,6,6
0.021,6,3,3.1
0.021,6,2,2.15
0.021,6,1,1.16
0.021,7,7,7
0.021,7,1,1.22
0.021,8,8,8
0.021,8,4,4.16
0.021,8,2,2.2
0.021,8,1,1.34
0.021,9,9,9
0.021,9,3,3.3
0.021,9,1,1.29
0.021,10,10,10
0.021,10,5,5.14
0.021,10,2,2.36
0.021,10,1,1.36
0.021,11,11,11
0.021,11,1,1.54
0.021,12,12,12
0.021,12,6,6.18
0.021,12,4,4.2
0.021,12,3,3.4
0.021,12,2,2.3
0.021,12,1,1.4
0.021,13,13,13
0.021,13,1,1.4
0.021,14,14,14
0.021,14,7,7.19
0.021,14,2,2.44
0.021,14,1,1.61
0.021,15,15,15
0.021,15,5,5.27
0.021,15,3,3.38
0.021,15,1,1.57
0.021,16,16,16
0.021,16,8,8.22
