"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.49,0.005,1197.82,"$<$ 0.001",0.999,"Niche_Area_Migration"
"2","z.K_num",4.847,0.005,987.994,"$<$ 0.001",0.999,"Niche_Area_Migration"
"3","z.area",0.29,0.005,59.111,"$<$ 0.001",0.999,"Niche_Area_Migration"
"4","z.migration",0.173,0.005,37.807,"$<$ 0.001",0.999,"Niche_Area_Migration"
"5","(Intercept)",5.49,0.007,829.624,"$<$ 0.001",0.998,"Niche_Area"
"6","z.K_num",4.847,0.007,684.296,"$<$ 0.001",0.998,"Niche_Area"
"7","z.area",0.29,0.007,40.941,"$<$ 0.001",0.998,"Niche_Area"
"8","(Intercept)",5.49,0.01,550.523,"$<$ 0.001",0.995,"Niche"
"9","z.K_num",4.95,0.01,496.143,"$<$ 0.001",0.995,"Niche"
