"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",16.053,0.026,628.729,"$<$ 0.001",0.95,"Niche_Area_Migration"
"2","z.K_num",5.398,0.034,158.991,"$<$ 0.001",0.95,"Niche_Area_Migration"
"3","z.area",5.21,0.034,153.456,"$<$ 0.001",0.95,"Niche_Area_Migration"
"4","z.migration",2.591,0.026,101.462,"$<$ 0.001",0.95,"Niche_Area_Migration"
"5","(Intercept)",16.053,0.039,415.732,"$<$ 0.001",0.887,"Niche_Area"
"6","z.K_num",5.398,0.051,105.129,"$<$ 0.001",0.887,"Niche_Area"
"7","z.area",5.21,0.051,101.469,"$<$ 0.001",0.887,"Niche_Area"
"8","(Intercept)",16.053,0.058,274.892,"$<$ 0.001",0.741,"Niche"
"9","z.K_num",8.833,0.058,151.247,"$<$ 0.001",0.741,"Niche"
