"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.998,0.005,1119.391,"$<$ 0.001",0.998,"Niche_Area_Migration"
"2","z.K_num",4.601,0.006,824.361,"$<$ 0.001",0.998,"Niche_Area_Migration"
"3","z.area",0.421,0.006,75.38,"$<$ 0.001",0.998,"Niche_Area_Migration"
"4","z.migration",0.267,0.005,49.762,"$<$ 0.001",0.998,"Niche_Area_Migration"
"5","(Intercept)",5.998,0.008,728.313,"$<$ 0.001",0.995,"Niche_Area"
"6","z.K_num",4.601,0.009,536.357,"$<$ 0.001",0.995,"Niche_Area"
"7","z.area",0.421,0.009,49.045,"$<$ 0.001",0.995,"Niche_Area"
"8","(Intercept)",5.998,0.013,477.899,"$<$ 0.001",0.987,"Niche"
"9","z.K_num",4.719,0.013,375.886,"$<$ 0.001",0.987,"Niche"
