"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",6.469,0.006,1100.826,"$<$ 0.001",0.997,"Niche_Area_Migration"
"2","z.K_num",4.704,0.006,766.306,"$<$ 0.001",0.997,"Niche_Area_Migration"
"3","z.area",0.534,0.006,86.962,"$<$ 0.001",0.997,"Niche_Area_Migration"
"4","z.migration",0.333,0.006,56.607,"$<$ 0.001",0.997,"Niche_Area_Migration"
"5","(Intercept)",6.469,0.009,698.307,"$<$ 0.001",0.992,"Niche_Area"
"6","z.K_num",4.704,0.01,486.105,"$<$ 0.001",0.992,"Niche_Area"
"7","z.area",0.534,0.01,55.164,"$<$ 0.001",0.992,"Niche_Area"
"8","(Intercept)",6.469,0.014,449.85,"$<$ 0.001",0.981,"Niche"
"9","z.K_num",4.858,0.014,337.735,"$<$ 0.001",0.981,"Niche"
